"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-08",104.654544877658,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-09",104.743291461348,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-10",104.781863414706,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-11",104.788657569566,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-12",104.778435553967,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-01",104.75552963729,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-02",104.724064745854,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-03",104.678251526462,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-04",104.601238384704,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-05",104.478311851208,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-06",104.276071164001,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-07",103.967516242593,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-08",103.636449815785,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-09",103.39467810546,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-10",103.321723015771,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-11",103.31523960585,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-12",103.229196885766,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-01",102.945586932715,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-02",102.525693317379,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-03",102.037121113079,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-04",101.517110567238,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-05",101.004529361781,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-06",100.538077508831,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-07",100.147062905999,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-08",99.7960475391872,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-09",99.449733554068,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-10",99.0978500915492,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-11",98.7753387415458,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-12",98.5554956210162,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-01",98.5137413394829,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-02",98.5887227350802,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-03",98.7219057154907,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-04",98.8804324217537,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-05",99.0217768072579,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-06",99.0982821971527,
