Time,Balance,Product,Value,Unit
September 2022,Used for pumped storage,Electricity,15.3113,GWh
September 2022,Distribution Losses,Electricity,2437.626,GWh
September 2022,Final Consumption (Calculated),Electricity,40192.5517,GWh
August 2022,Net Electricity Production,Electricity,53694.7258,GWh
August 2022,Net Electricity Production,Nuclear,8011.8033,GWh
August 2022,Net Electricity Production,Total Combustible Fuels,10739.1692,GWh
August 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3298.2249,GWh
August 2022,Net Electricity Production,Oil and Petroleum Products,399.79,GWh
August 2022,Net Electricity Production,Natural Gas,6175.3126,GWh
August 2022,Net Electricity Production,Combustible Renewables,854.5704,GWh
August 2022,Net Electricity Production,Other Combustible Non-Renewables,11.2713,GWh
August 2022,Net Electricity Production,Hydro,32265.0906,GWh
August 2022,Net Electricity Production,Wind,1997.3639,GWh
August 2022,Net Electricity Production,Solar,655.5489,GWh
August 2022,Net Electricity Production,Not Specified,25.75,GWh
August 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",35772.5737,GWh
August 2022,Total Imports,Electricity,826.6671,GWh
August 2022,Total Exports,Electricity,8015.3208,GWh
August 2022,Used for pumped storage,Electricity,17.7008,GWh
August 2022,Distribution Losses,Electricity,2659.3834,GWh
August 2022,Final Consumption (Calculated),Electricity,43828.988,GWh
July 2022,Net Electricity Production,Electricity,51842.53,GWh
July 2022,Net Electricity Production,Nuclear,7440.9108,GWh
July 2022,Net Electricity Production,Total Combustible Fuels,10050.1508,GWh
July 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3086.6128,GWh
July 2022,Net Electricity Production,Oil and Petroleum Products,374.1397,GWh
July 2022,Net Electricity Production,Natural Gas,5779.1084,GWh
July 2022,Net Electricity Production,Combustible Renewables,799.7417,GWh
July 2022,Net Electricity Production,Other Combustible Non-Renewables,10.5482,GWh
July 2022,Net Electricity Production,Hydro,31191.1543,GWh
July 2022,Net Electricity Production,Wind,2378.9081,GWh
July 2022,Net Electricity Production,Solar,755.656,GWh
July 2022,Net Electricity Production,Not Specified,25.75,GWh
July 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",35125.46,GWh
July 2022,Total Imports,Electricity,965.3288,GWh
July 2022,Total Exports,Electricity,7486.6207,GWh
July 2022,Used for pumped storage,Electricity,17.1116,GWh
July 2022,Distribution Losses,Electricity,2588.4132,GWh
July 2022,Final Consumption (Calculated),Electricity,42715.7132,GWh
June 2022,Net Electricity Production,Electricity,47611.9639,GWh
June 2022,Net Electricity Production,Nuclear,6858.4742,GWh
June 2022,Net Electricity Production,Total Combustible Fuels,8085.4432,GWh
June 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",2483.2098,GWh
June 2022,Net Electricity Production,Oil and Petroleum Products,300.999,GWh
June 2022,Net Electricity Production,Natural Gas,4649.3484,GWh
June 2022,Net Electricity Production,Combustible Renewables,643.3999,GWh
June 2022,Net Electricity Production,Other Combustible Non-Renewables,8.4861,GWh
June 2022,Net Electricity Production,Hydro,29469.028,GWh
June 2022,Net Electricity Production,Wind,2506.5278,GWh
June 2022,Net Electricity Production,Solar,666.7408,GWh
June 2022,Net Electricity Production,Not Specified,25.75,GWh
June 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",33285.6964,GWh
June 2022,Total Imports,Electricity,1184.8583,GWh
June 2022,Total Exports,Electricity,6450.0588,GWh
June 2022,Used for pumped storage,Electricity,16.1669,GWh
June 2022,Distribution Losses,Electricity,2417.405,GWh
June 2022,Final Consumption (Calculated),Electricity,39913.1915,GWh
May 2022,Net Electricity Production,Electricity,47800.5809,GWh
May 2022,Net Electricity Production,Nuclear,5878.3214,GWh
May 2022,Net Electricity Production,Total Combustible Fuels,8604.827,GWh
May 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",2642.7235,GWh
May 2022,Net Electricity Production,Oil and Petroleum Products,320.3343,GWh
May 2022,Net Electricity Production,Natural Gas,4948.0082,GWh
May 2022,Net Electricity Production,Combustible Renewables,684.7299,GWh
May 2022,Net Electricity Production,Other Combustible Non-Renewables,9.0312,GWh
May 2022,Net Electricity Production,Hydro,29751.6057,GWh
May 2022,Net Electricity Production,Wind,2888.579,GWh
May 2022,Net Electricity Production,Solar,651.4978,GWh
May 2022,Net Electricity Production,Not Specified,25.75,GWh
May 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",33976.4124,GWh
May 2022,Total Imports,Electricity,1194.3852,GWh
May 2022,Total Exports,Electricity,5175.0063,GWh
May 2022,Used for pumped storage,Electricity,16.3219,GWh
May 2022,Distribution Losses,Electricity,2503.494,GWh
May 2022,Final Consumption (Calculated),Electricity,41300.1439,GWh
April 2022,Net Electricity Production,Electricity,50101.9754,GWh
April 2022,Net Electricity Production,Nuclear,6680.4337,GWh
April 2022,Net Electricity Production,Total Combustible Fuels,8365.5053,GWh
April 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",2569.2228,GWh
April 2022,Net Electricity Production,Oil and Petroleum Products,311.425,GWh
April 2022,Net Electricity Production,Natural Gas,4810.3917,GWh
April 2022,Net Electricity Production,Combustible Renewables,665.6858,GWh
April 2022,Net Electricity Production,Other Combustible Non-Renewables,8.78,GWh
April 2022,Net Electricity Production,Hydro,31138.5495,GWh
April 2022,Net Electricity Production,Wind,3351.9337,GWh
April 2022,Net Electricity Production,Solar,539.8031,GWh
April 2022,Net Electricity Production,Not Specified,25.75,GWh
April 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",35695.9721,GWh
April 2022,Total Imports,Electricity,996.4431,GWh
April 2022,Total Exports,Electricity,4597.0997,GWh
April 2022,Used for pumped storage,Electricity,17.0828,GWh
April 2022,Distribution Losses,Electricity,2659.8442,GWh
April 2022,Final Consumption (Calculated),Electricity,43824.3918,GWh
March 2022,Net Electricity Production,Electricity,56451.9553,GWh
March 2022,Net Electricity Production,Nuclear,7048.5507,GWh
March 2022,Net Electricity Production,Total Combustible Fuels,9895.9607,GWh
March 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3039.2578,GWh
March 2022,Net Electricity Production,Oil and Petroleum Products,368.3997,GWh
March 2022,Net Electricity Production,Natural Gas,5690.4449,GWh
March 2022,Net Electricity Production,Combustible Renewables,787.472,GWh
March 2022,Net Electricity Production,Other Combustible Non-Renewables,10.3863,GWh
March 2022,Net Electricity Production,Hydro,35382.3953,GWh
March 2022,Net Electricity Production,Wind,3686.4818,GWh
March 2022,Net Electricity Production,Solar,412.8168,GWh
March 2022,Net Electricity Production,Not Specified,25.75,GWh
March 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",40269.1658,GWh
March 2022,Total Imports,Electricity,1318.9993,GWh
March 2022,Total Exports,Electricity,4291.9282,GWh
March 2022,Used for pumped storage,Electricity,19.411,GWh
March 2022,Distribution Losses,Electricity,3065.1681,GWh
March 2022,Final Consumption (Calculated),Electricity,50394.4473,GWh
February 2022,Net Electricity Production,Electricity,55930.4962,GWh
February 2022,Net Electricity Production,Nuclear,7006.1035,GWh
February 2022,Net Electricity Production,Total Combustible Fuels,10066.8631,GWh
February 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3091.7455,GWh
February 2022,Net Electricity Production,Oil and Petroleum Products,374.7619,GWh
February 2022,Net Electricity Production,Natural Gas,5788.7184,GWh
February 2022,Net Electricity Production,Combustible Renewables,801.0715,GWh
February 2022,Net Electricity Production,Other Combustible Non-Renewables,10.5657,GWh
February 2022,Net Electricity Production,Hydro,34920.3795,GWh
February 2022,Net Electricity Production,Wind,3647.7012,GWh
February 2022,Net Electricity Production,Solar,263.6989,GWh
February 2022,Net Electricity Production,Not Specified,25.75,GWh
February 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",39632.8511,GWh
February 2022,Total Imports,Electricity,1615.4004,GWh
February 2022,Total Exports,Electricity,4380.2578,GWh
February 2022,Used for pumped storage,Electricity,19.1575,GWh
February 2022,Distribution Losses,Electricity,3051.5,GWh
February 2022,Final Consumption (Calculated),Electricity,50094.9813,GWh
January 2022,Net Electricity Production,Electricity,64663.6739,GWh
January 2022,Net Electricity Production,Nuclear,8094.151,GWh
January 2022,Net Electricity Production,Total Combustible Fuels,12304.9466,GWh
January 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3779.1081,GWh
January 2022,Net Electricity Production,Oil and Petroleum Products,458.0796,GWh
January 2022,Net Electricity Production,Natural Gas,7075.6769,GWh
January 2022,Net Electricity Production,Combustible Renewables,979.1672,GWh
January 2022,Net Electricity Production,Other Combustible Non-Renewables,12.9147,GWh
January 2022,Net Electricity Production,Hydro,40191.7086,GWh
January 2022,Net Electricity Production,Wind,3850.9621,GWh
January 2022,Net Electricity Production,Solar,196.1556,GWh
January 2022,Net Electricity Production,Not Specified,25.75,GWh
January 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",45217.9935,GWh
January 2022,Total Imports,Electricity,1816.5485,GWh
January 2022,Total Exports,Electricity,5364.2814,GWh
January 2022,Used for pumped storage,Electricity,22.0494,GWh
January 2022,Distribution Losses,Electricity,3511.828,GWh
January 2022,Final Consumption (Calculated),Electricity,57582.0637,GWh
December 2021,Net Electricity Production,Electricity,60002.9646,GWh
December 2021,Net Electricity Production,Nuclear,7312.9289,GWh
December 2021,Net Electricity Production,Total Combustible Fuels,11529.6086,GWh
December 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",3145.5178,GWh
December 2021,Net Electricity Production,Oil and Petroleum Products,390.9069,GWh
December 2021,Net Electricity Production,Natural Gas,7056.5047,GWh
December 2021,Net Electricity Production,Combustible Renewables,924.8085,GWh
December 2021,Net Electricity Production,Other Combustible Non-Renewables,11.8706,GWh
December 2021,Net Electricity Production,Hydro,37355.71,GWh
December 2021,Net Electricity Production,Wind,3602.2384,GWh
December 2021,Net Electricity Production,Solar,168.1453,GWh
December 2021,Net Electricity Production,Geothermal,0.0,GWh
December 2021,Net Electricity Production,Other Renewables,0.0,GWh
December 2021,Net Electricity Production,Not Specified,34.3333,GWh
December 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",42050.9023,GWh
December 2021,Total Imports,Electricity,1414.704,GWh
December 2021,Total Exports,Electricity,4864.0021,GWh
December 2021,Used for pumped storage,Electricity,20.6943,GWh
December 2021,Distribution Losses,Electricity,3152.9907,GWh
December 2021,Final Consumption (Calculated),Electricity,53379.9815,GWh
November 2021,Net Electricity Production,Electricity,51341.3892,GWh
November 2021,Net Electricity Production,Nuclear,6437.1932,GWh
November 2021,Net Electricity Production,Total Combustible Fuels,10402.3665,GWh
November 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2837.9827,GWh
November 2021,Net Electricity Production,Oil and Petroleum Products,352.6882,GWh
November 2021,Net Electricity Production,Natural Gas,6366.595,GWh
November 2021,Net Electricity Production,Combustible Renewables,834.3906,GWh
November 2021,Net Electricity Production,Other Combustible Non-Renewables,10.71,GWh
November 2021,Net Electricity Production,Hydro,30389.5965,GWh
November 2021,Net Electricity Production,Wind,3729.2048,GWh
November 2021,Net Electricity Production,Solar,348.6948,GWh
November 2021,Net Electricity Production,Geothermal,0.0,GWh
November 2021,Net Electricity Production,Other Renewables,0.0,GWh
November 2021,Net Electricity Production,Not Specified,34.3333,GWh
November 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",35301.8868,GWh
November 2021,Total Imports,Electricity,1757.1395,GWh
November 2021,Total Exports,Electricity,4004.7273,GWh
November 2021,Used for pumped storage,Electricity,16.8352,GWh
November 2021,Distribution Losses,Electricity,2734.4665,GWh
November 2021,Final Consumption (Calculated),Electricity,46342.4996,GWh
October 2021,Net Electricity Production,Electricity,47981.1768,GWh
October 2021,Net Electricity Production,Nuclear,6989.6979,GWh
October 2021,Net Electricity Production,Total Combustible Fuels,9975.8645,GWh
October 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2721.624,GWh
October 2021,Net Electricity Production,Oil and Petroleum Products,338.2278,GWh
October 2021,Net Electricity Production,Natural Gas,6105.5615,GWh
October 2021,Net Electricity Production,Combustible Renewables,800.1802,GWh
October 2021,Net Electricity Production,Other Combustible Non-Renewables,10.2709,GWh
October 2021,Net Electricity Production,Hydro,27769.5292,GWh
October 2021,Net Electricity Production,Wind,2781.6782,GWh
October 2021,Net Electricity Production,Solar,430.0737,GWh
October 2021,Net Electricity Production,Geothermal,0.0,GWh
October 2021,Net Electricity Production,Other Renewables,0.0,GWh
October 2021,Net Electricity Production,Not Specified,34.3333,GWh
October 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",31781.4613,GWh
October 2021,Total Imports,Electricity,1171.3436,GWh
October 2021,Total Exports,Electricity,5004.5965,GWh
October 2021,Used for pumped storage,Electricity,15.3837,GWh
October 2021,Distribution Losses,Electricity,2455.4193,GWh
October 2021,Final Consumption (Calculated),Electricity,41677.1209,GWh
September 2021,Net Electricity Production,Electricity,45726.8912,GWh
September 2021,Net Electricity Production,Nuclear,7629.3452,GWh
September 2021,Net Electricity Production,Total Combustible Fuels,8921.7535,GWh
September 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2434.0406,GWh
September 2021,Net Electricity Production,Oil and Petroleum Products,302.4886,GWh
September 2021,Net Electricity Production,Natural Gas,5460.4105,GWh
September 2021,Net Electricity Production,Combustible Renewables,715.6283,GWh
September 2021,Net Electricity Production,Other Combustible Non-Renewables,9.1856,GWh
September 2021,Net Electricity Production,Hydro,25750.5166,GWh
September 2021,Net Electricity Production,Wind,2726.5551,GWh
September 2021,Net Electricity Production,Solar,664.3873,GWh
September 2021,Net Electricity Production,Geothermal,0.0,GWh
September 2021,Net Electricity Production,Other Renewables,0.0,GWh
September 2021,Net Electricity Production,Not Specified,34.3333,GWh
September 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",29857.0874,GWh
September 2021,Total Imports,Electricity,948.5698,GWh
September 2021,Total Exports,Electricity,4752.6762,GWh
September 2021,Used for pumped storage,Electricity,14.2652,GWh
September 2021,Distribution Losses,Electricity,2322.7056,GWh
September 2021,Final Consumption (Calculated),Electricity,39585.8139,GWh
August 2021,Net Electricity Production,Electricity,50182.5379,GWh
August 2021,Net Electricity Production,Nuclear,8071.5676,GWh
August 2021,Net Electricity Production,Total Combustible Fuels,11189.9807,GWh
August 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",3052.8603,GWh
August 2021,Net Electricity Production,Oil and Petroleum Products,379.392,GWh
August 2021,Net Electricity Production,Natural Gas,6848.6411,GWh
August 2021,Net Electricity Production,Combustible Renewables,897.5664,GWh
August 2021,Net Electricity Production,Other Combustible Non-Renewables,11.5209,GWh
August 2021,Net Electricity Production,Hydro,28331.6363,GWh
August 2021,Net Electricity Production,Wind,1893.8625,GWh
August 2021,Net Electricity Production,Solar,661.1574,GWh
August 2021,Net Electricity Production,Geothermal,0.0,GWh
August 2021,Net Electricity Production,Other Renewables,0.0,GWh
August 2021,Net Electricity Production,Not Specified,34.3333,GWh
August 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",31784.2227,GWh
August 2021,Total Imports,Electricity,1314.4648,GWh
August 2021,Total Exports,Electricity,5402.4681,GWh
August 2021,Used for pumped storage,Electricity,15.6951,GWh
August 2021,Distribution Losses,Electricity,2556.9126,GWh
August 2021,Final Consumption (Calculated),Electricity,43521.9268,GWh
July 2021,Net Electricity Production,Electricity,49854.2688,GWh
July 2021,Net Electricity Production,Nuclear,8216.9558,GWh
July 2021,Net Electricity Production,Total Combustible Fuels,9633.4871,GWh
July 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2628.2163,GWh
July 2021,Net Electricity Production,Oil and Petroleum Products,326.6197,GWh
July 2021,Net Electricity Production,Natural Gas,5896.0151,GWh
July 2021,Net Electricity Production,Combustible Renewables,772.7176,GWh
July 2021,Net Electricity Production,Other Combustible Non-Renewables,9.9184,GWh
July 2021,Net Electricity Production,Hydro,29499.468,GWh
July 2021,Net Electricity Production,Wind,1854.4572,GWh
July 2021,Net Electricity Production,Solar,615.5674,GWh
July 2021,Net Electricity Production,Geothermal,0.0,GWh
July 2021,Net Electricity Production,Other Renewables,0.0,GWh
July 2021,Net Electricity Production,Not Specified,34.3333,GWh
July 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",32742.2102,GWh
July 2021,Total Imports,Electricity,1002.441,GWh
July 2021,Total Exports,Electricity,6002.1866,GWh
July 2021,Used for pumped storage,Electricity,16.3421,GWh
July 2021,Distribution Losses,Electricity,2484.3713,GWh
July 2021,Final Consumption (Calculated),Electricity,42353.8098,GWh
June 2021,Net Electricity Production,Electricity,48851.1981,GWh
June 2021,Net Electricity Production,Nuclear,7908.1173,GWh
June 2021,Net Electricity Production,Total Combustible Fuels,9439.8715,GWh
June 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2575.394,GWh
June 2021,Net Electricity Production,Oil and Petroleum Products,320.0552,GWh
June 2021,Net Electricity Production,Natural Gas,5777.516,GWh
June 2021,Net Electricity Production,Combustible Renewables,757.1874,GWh
June 2021,Net Electricity Production,Other Combustible Non-Renewables,9.719,GWh
June 2021,Net Electricity Production,Hydro,28297.9357,GWh
June 2021,Net Electricity Production,Wind,2514.3776,GWh
June 2021,Net Electricity Production,Solar,656.5626,GWh
June 2021,Net Electricity Production,Geothermal,0.0,GWh
June 2021,Net Electricity Production,Other Renewables,0.0,GWh
June 2021,Net Electricity Production,Not Specified,34.3333,GWh
June 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",32226.0633,GWh
June 2021,Total Imports,Electricity,840.4524,GWh
June 2021,Total Exports,Electricity,5909.4836,GWh
June 2021,Used for pumped storage,Electricity,15.6765,GWh
June 2021,Distribution Losses,Electricity,2425.7089,GWh
June 2021,Final Consumption (Calculated),Electricity,41340.7816,GWh
May 2021,Net Electricity Production,Electricity,48126.371,GWh
May 2021,Net Electricity Production,Nuclear,7557.1472,GWh
May 2021,Net Electricity Production,Total Combustible Fuels,8194.6913,GWh
May 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2235.6828,GWh
May 2021,Net Electricity Production,Oil and Petroleum Products,277.8378,GWh
May 2021,Net Electricity Production,Natural Gas,5015.4241,GWh
May 2021,Net Electricity Production,Combustible Renewables,657.3094,GWh
May 2021,Net Electricity Production,Other Combustible Non-Renewables,8.437,GWh
May 2021,Net Electricity Production,Hydro,29155.367,GWh
May 2021,Net Electricity Production,Wind,2465.9689,GWh
May 2021,Net Electricity Production,Solar,718.8634,GWh
