Indicator,Indicator_Code,Base Year,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Financial Market Prices, Equities, Index",FPE_IX,,32.0317154136997,30.8366090923725,30.787572292939,28.9390009197022,28.8101964887579,29.455212632657,29.519324934619,28.5563150862858,26.9629504344248,25.7083704272981,25.7771213454227,26.796954241748,26.5548350445454,28.6056832154452,29.1131146906635,29.0521500210976,28.820136380535,29.2735611104314,29.1600806793101,29.1411120525022,28.4478874334845,28.3849347855632,29.1141086798412,28.1293967344615,29.8088242826255,29.6344620143698,28.8477195802163,27.9397932988143,28.004899589954,27.9860966280091,28.4254398445546,28.0936959564956,28.3348211645206,26.9178067592707,27.1928932642005,27.2980076197428,27.4095000725087,28.2647449274924,29.4222453249298,30.2665562989587,31.6120034834138,32.3732335286729,32.4937547164696,33.5527673528827,33.135706060404,34.2213079073208,35.0824338649392,35.2751849329825,37.0883040255478,36.6984946030245,36.9643867080606,35.1519302749471,35.2823085220894,34.3035605117759,34.2498022637483,34.9689534338179,36.1146916259858,35.6050236751176,34.3697436245247,34.114702568012,34.1494921892316,33.996749185591,34.8972205481602,35.433477709532,36.0286287296828,37.3054906608763,38.278523233418,38.0520593657642,37.7008498563085,36.8102355530848,38.1015931597865,38.9131853233826,40.0392093968594,41.4729559532673,41.1021979899834,41.966140250272,43.0374120865435,42.2004731989159,41.324106073906,42.2436288957146,43.3485306991651,45.4339199939901,48.4163016892624,48.4175441757345,49.9275794015313,51.1737933330789,50.9179239522514,48.2488973452506,51.9082685029714,53.6552044827879,55.4126601814017,56.0638059252299,56.8914675805323,58.2550550674805,55.9021998514214,55.0606223476312,54.0156912245689,57.3055469054779,61.1504627097036,63.5807662491922,63.6008945300407,60.7720013302924,60.4757925553363,52.453554399374,48.0997989685948,47.5105290510787,53.0210393874121,52.7201919962934,55.5289569151932,53.7038271200639,53.9311193120325,57.4973868167749,57.4756847197283,57.422837628447,59.2718231638412,58.1711458143959,57.8775048448156,58.1260849716733,62.3162463502886,66.7401608505274,70.0481568339295,76.0894573911573,79.3762482721017,75.7554770274485,77.0059154130013,82.4419593934383,87.6668635060444,90.6720241199724,89.3452970650307,83.8954200685373,76.1729524820846,74.8968360427743,74.1664196620242,71.9455993417368,65.1319691934323,64.6135210048277,67.4299893398547,65.4650384003949,63.372525516463,62.9195977811555,57.5646467511329,57.3280773268392,60.3435091622701,62.5055184562099,63.5102758500066,62.4319632570597,65.1303125448028,64.3367778512683,63.4445068994152,60.5642575921521,55.470560051003,54.6591335522699,52.6009961274003,50.9957036054068,53.4478749068049,54.7087501787236,55.6579270110004,54.0192530191223,52.800787952119,53.7099567199931,55.7358723290188,58.2149641706464,59.0955557496615,61.1222996830019,62.7080437511673,63.4927982069653,64.767423662509,66.6164920303346,70.2211937832817,71.9032719692529,71.368919953805,71.5935615079663,68.4952144086285,69.8457972038351,69.7566695075676,68.5697635969564,70.4048332838627,72.8323205206811,74.000174972053,75.5691040566288,75.2747175951652,78.9379818771653,80.3227744665713,78.4825691689135,78.4605357421411,81.6741855860927,84.8822856571354,87.5652281126241,90.4349577010897,86.8711751692916,89.0179432958399,92.364622024741,96.6011695649825,97.4960083222114,99.1648333191465,101.809838521019,98.7610252157039,93.9407575308552,96.5713498896513,99.6906535941524,97.4900443871451,99.1522427895623,102.897262681429,106.468085969902,105.584346758491,109.391076811807,107.898105066894,112.114110164129,115.379530277753,115.426413433968,117.59529781972,111.087650673286,114.838220338061,117.749780304422,113.799915809517,113.237152270073,109.467282648764,110.602086959977,109.71462028915,115.064684205715,121.042452288001,121.919150742737,112.842621398956,110.69825541292,103.130104646306,80.9615781781097,74.9113317182825,70.1815170486049,73.6269320358248,69.8907752141263,68.8673805232475,76.4101017333987,83.0918626507944,85.9162000668115,85.2578479014449,89.5944570189087,93.2283157877351,93.5301571680315,94.5283707997417,95.9208668052749,96.535234949528,94.8735335416998,99.1234171034088,100.700298101406,97.8417508911897,96.7496881146179,95.7425285803083,97.1503485856645,100.755878662926,104.102730925771,106.383419959724,110.041170583755,110.955375563463,115.294324697116,115.40947958584,115.65756719106,112.835693595596,108.726745635871,110.129303106341,102.775628657922,100.656095704184,98.6271798514773,99.7143436695544,98.2945129616344,102.005157394438,103.940122993704,103.242508255818,100.520800222399,96.4509115342861,95.221346921465,96.3084397521484,98.7446243942718,101.764529181002,102.195671986832,100.750577387312,101.80312909407,104.938999284866,105.503750802665,105.837399836648,101.877015622946,104.245609000985,101.233076300656,103.372058178646,104.55689327847,106.182314081312,108.160352544945,110.962987863916,110.49167132882,113.713024588899,115.670934771684,118.295894525139,119.614421169365,121.231310231765,123.921541941224,126.471372679331,127.47397642991,127.176690833344,119.782488172829,122.797091683945,118.702684596115,119.783067999849,125.53263273342,123.59907528549,126.727490557453,125.302524238782,122.88944984504,119.580377040029,116.051715459176,111.638237845303,113.910579937968,111.195829828793,108.635976366477,102.389168546758,104.637489234296,110.847188124713,113.069250931472,114.738490090565,116.31694490476,119.660227503971,121.604718832856,121.216648891394,121.914180796848,122.773650105837,126.356649761738,128.279024831419,129.547520687034,128.516753909754,129.568560124628,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Financial Market Prices, Equities, End of Period, Index",FPE_EOP_IX,,27.5558980660883,27.4242331822287,27.0731268252695,24.8519327958629,26.6454019200757,26.3619876785473,26.4899332154052,24.8921017434811,23.501809834251,22.9208478325877,23.4393248046227,24.2263386301794,24.3461016036337,25.7557341172725,26.0034426275848,25.8033417588941,26.3783528053547,25.781025676884,26.3300012943328,26.1685816344596,25.2015514140213,26.1529603770525,25.6523362706256,26.1276688174411,26.7502875055232,26.6446580506754,25.3815678089029,24.9612815977125,25.2015514140213,25.2000636752207,25.6143989312084,25.3131318240719,24.5320689537179,24.8162270646467,24.419744674267,24.9226003888949,24.5886030281436,25.6761400914364,26.7971512777445,28.1881870563749,28.8822172068894,29.5048358949716,29.5107868501743,30.7775964389484,29.6848522898532,31.6553623313462,31.0952286728924,32.1455722661684,33.8817634465552,32.9072945321136,32.206569556996,31.7416511817853,32.1857412137866,29.9429749717702,31.0863022400883,32.3545995676631,32.3895614294789,31.9238991848679,30.4495500333997,31.343681052605,29.8849531585439,30.6831250251056,32.0875504529421,31.8338909874271,33.0917741433972,33.6757116226618,34.3295728255582,33.5983492050268,33.6957960964709,33.1706242998329,34.6732404885139,35.0622841848902,36.9584072863495,36.7002846044326,36.9762601519576,38.28323868835,39.0263642192867,37.5215164224048,36.6660666120171,38.2601787369395,39.3588738412374,41.6477599860748,44.7563902100836,44.0891393579812,45.4474448829968,45.8059899339593,43.5178476585223,44.4580985805484,47.4744889989154,47.8880803855029,51.1611057469862,49.1831570114898,52.369893522534,50.8985198486672,48.4467263051561,49.8347866061851,49.8407375613878,52.7588628319703,56.2253686244813,57.0175151489003,56.4580509729068,54.8000404664954,51.5607867757873,41.1412593113852,41.7617207782064,46.1814952072495,47.1901077271666,48.2469229842255,50.0591376173268,46.9581692481414,49.0789409085026,52.1802068254481,50.8940566322652,52.1457656722125,52.6736153986917,51.8537225456401,51.756350041136,53.9768002011423,55.9630058869824,62.5873116708646,63.0883820989317,67.9077631698358,70.3878237505598,69.5340104528528,68.8227225322505,75.8408327766711,77.4093557942219,83.6697606674591,77.1981712714662,71.7058115540771,65.6086860142139,66.4549118440374,69.342538469206,60.0951260189151,56.5935839776482,59.1125489280098,60.7136534252954,57.5483403529809,57.2012508907836,55.0405334436244,50.8699552636943,51.2206152990132,55.2371381261335,57.1917293624593,56.8947766978447,56.8130254507477,58.404682806649,57.0056132384949,56.9516083200305,53.1540062574294,49.1356981437483,49.1842728155903,45.9742531923155,46.482836701326,48.8753438536303,49.203539033059,48.8684258682072,48.7615318353787,47.1857932846446,48.9917594147831,51.0279531243259,51.9454416427017,53.989445980948,55.8669723473989,55.2035152292382,57.8187368800034,58.4635972631557,61.1526851453744,63.3880126933874,65.3748878616879,63.868106004365,61.3243702029722,62.6138678084566,63.567954701329,62.916994589094,62.3141628270608,64.4807568424827,65.9884313430859,67.1717787851422,68.7829999062725,68.4661115417288,71.919674006674,71.5035534641254,69.6953557257859,71.4657648985883,73.6636758157644,77.532986888558,79.3629800003273,81.9136337871433,77.2383402190844,80.5174653096505,83.8508928664412,88.8599606344313,86.9459846673639,90.0871219841675,90.7830861951229,87.3638904964733,86.3845864309295,88.0068912061247,89.8129317232032,87.4884886210298,91.8276276070763,94.861052634711,96.021563286177,96.9568302832208,97.0379120478576,97.9341259013838,99.8025770611505,104.564085092708,103.446718866462,103.164494815974,101.616130659172,104.87732849719,108.790899799304,101.829174855429,102.899900470274,97.8567634837487,101.03747465265,99.3075319752262,103.673375872745,109.458373812227,107.615809307591,101.113498105365,102.440114793926,87.4262267522216,72.6221842683524,68.9613054015333,66.8567500940995,64.6787004899124,60.4246601632645,64.8683128000583,69.364557003456,77.1397775235397,77.1757808025161,80.2423080184658,80.8452885543791,84.7636206206549,81.1617305972825,85.152217995391,87.3757180199387,82.5271772685413,86.509258942426,89.5449899652018,90.8316608669649,87.5012831747156,84.0157343255559,87.1326214999085,88.6235589390042,92.0066025847974,94.2946704732943,96.352510782387,100,100.809106746747,105.157097778657,105.005348420988,103.731025751271,102.675400685253,98.9411019086201,96.2985802508625,94.9824521208461,86.4661889041465,91.1393252509444,90.7826398734827,88.9302562927632,92.6277335340789,94.0549213655657,92.1816350546967,91.4415593883013,85.6432461865535,86.2632613317345,86.7702083280643,88.8868887067235,91.6258158387648,92.4102261214203,91.0448538371015,92.4892250517361,94.3616187193247,95.3776699332452,94.8426046735827,92.6600918529936,94.1026033941273,90.2247378232299,92.8842940902552,94.128490049259,95.1199935729684,99.3903246394837,99.6442816527588,101.326542301621,101.872468054529,105.700791923364,106.635984533467,108.990777507175,108.635877416274,112.666533762,114.040683705243,116.235024049298,111.286656024375,108.704015853345,109.681311471508,108.846243682689,109.151527684587,113.323593603318,110.854691063599,113.250545628205,111.685221249076,108.257768600082,107.626297866136,103.093752836002,98.9864035551006,100.63935574959,100.19794364743,96.7770370491594,95.3799015414462,95.664208426255,100.380414811332,103.780567453333,104.631033338739,104.621809358175,108.476540590722,108.589683126513,109.541166476484,109.997976675231,112.196705848748,113.719704058998,114.451448388109,114.550234244474,115.654954690915,115.940451766764,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Prices, Producer Price Index, All Commodities, Index",PPPI_IX,2010=100,70.4806516714689,71.0467613234486,70.9052339104537,70.7637064974588,71.1175250299461,70.9759976169511,70.7637064974588,70.9052339104537,71.4713435624333,71.7543983884232,71.8959258014181,71.9666895079156,72.037453214413,71.7543983884232,71.1882887364435,70.7637064974588,70.4806516714689,70.4098879649714,70.1975968454791,69.7730146064943,69.7022508999969,69.6314871934994,69.6314871934994,69.560723487002,69.2776686610121,69.9145420194892,70.1268331389816,69.9853057259867,70.4098879649715,70.6221790844638,70.6929427909613,70.8344702039562,71.259052442941,71.7543983884232,71.9666895079156,72.2497443339054,72.8158539858851,72.95738139888,73.0989088118749,73.0281451053774,72.8158539858851,72.6743265728902,72.7450902793876,73.4527273443622,73.5234910508597,73.8773095833469,74.2311281158342,74.655710354819,74.8680014743114,75.7171659522809,76.1417481912656,76.4248030172555,76.8493852562402,77.7693134407072,78.1231319731945,78.8307690381691,78.6184779186767,79.0430601576614,80.0337520486258,80.7413891136004,82.5812454825344,82.9190010877799,83.3411955943369,83.0034399890913,83.0034399890913,83.594512298271,83.8478290022051,83.7633901008938,84.1011457061393,83.7633901008938,83.8478290022051,84.1855846074507,84.0167068048279,83.9322679035165,83.4256344956482,83.3411955943368,84.1011457061393,83.594512298271,83.5100733969596,84.1011457061393,84.2700235087621,83.8478290022051,83.7633901008938,84.1011457061393,83.9322679035165,84.0167068048279,84.1011457061393,84.7766569166304,84.692218015319,84.3544624100735,84.1011457061393,84.692218015319,84.5233402126962,84.4389013113849,84.8610958179418,84.692218015319,84.692218015319,84.6077791140076,83.594512298271,84.3544624100735,84.3544624100735,84.5233402126962,84.7766569166304,85.2832903244987,84.8610958179418,85.5366070284329,85.5366070284329,84.8610958179418,84.7766569166304,84.4389013113849,85.3677292258101,85.3677292258101,85.4521681271215,85.6210459297442,86.887629449415,86.9720683507264,87.3942628572833,87.3942628572833,87.4787017585947,88.0697740677744,87.985335166463,88.885185185211,89.5850685331259,89.5850685331259,89.8850185393753,89.8850185393753,89.8850185393753,89.8850185393753,90.284951881041,91.0848185643725,91.7847019122875,91.184801899789,90.7848685581232,91.184801899789,91.6847185768711,91.9846685831204,92.4845852602026,91.2847852352053,90.5849018872902,90.5849018872902,91.2847852352053,89.8850185393753,89.7850352039588,88.885185185211,89.7850352039588,90.1849685456245,90.7848685581232,90.9848352289561,90.4849185518739,90.1849685456245,90.4849185518739,91.0848185643725,91.7847019122875,92.0846519185368,91.7847019122875,91.4847519060382,91.884685247704,92.7845352664519,92.4845852602026,90.7848685581232,88.7852018497945,87.985335166463,89.0851518560438,89.5850685331259,89.5850685331259,88.4852518435451,88.0853185018794,88.2852851727123,88.9851685206273,90.9848352289561,91.6847185768711,92.7845352664519,94.6842186393641,94.184301962282,93.9843352914492,94.3842686331149,93.8843519560326,93.3844352789505,91.5847352414547,91.7847019122875,92.584568595619,93.7843686206163,94.184301962282,94.5842353039477,94.3842686331149,94.184301962282,93.8843519560326,94.2842852976984,94.9841686456135,95.0841519810298,94.4842519685314,94.184301962282,94.884185310197,94.4842519685314,95.3841019872792,96.5839020122764,96.7838686831093,96.6838853476929,98.2836187143559,97.6837187018572,96.0839853351943,95.9840019997778,96.0839853351943,97.3837686956079,97.691859011749,98.5917840179985,99.8916756936922,100.191650695775,99.7916840263311,98.6917756853595,98.0918256811932,97.0919090075827,96.2919756686943,95.0920756603616,95.792017331889,96.8919256728606,97.8918423464711,97.9918340138322,99.8916756936922,101.691525706191,102.691442379802,104.591284059662,105.491209065911,105.791184067994,104.591284059662,104.39130072494,101.391550704108,98.7917673527206,98.7917673527206,99.1917340221648,99.6916923589701,99.1917340221648,98.0918256811932,98.5917840179985,97.8918423464711,98.4917923506374,97.8918423464711,97.591867344388,98.3918006832764,98.4917923506374,99.0917423548038,98.9917506874427,98.9917506874427,99.491709024248,99.8916756936922,99.0917423548038,98.9917506874427,99.3917173568869,100.191650695775,101.091575702025,101.891509040913,102.891425714524,103.691359053412,104.891259061745,106.491125739522,107.691025747854,107.091075743688,107.191067411049,107.091075743688,107.991000749938,108.390967419382,107.791017415215,107.991000749938,106.991084076327,107.591034080493,108.490959086743,109.090909090909,109.090909090909,108.290975752021,107.691025747854,107.29105907841,107.391050745771,108.590950754104,108.290975752021,107.991000749938,107.591034080493,107.991000749938,109.590867427714,109.290892425631,108.19098408466,108.090992417299,108.390967419382,108.390967419382,108.890925756187,108.590950754104,108.090992417299,108.19098408466,108.990917423548,110.590784101325,111.99066744438,112.590617448546,112.290642446463,111.590700774935,111.790684109658,111.490709107574,111.790684109658,111.390717440213,110.690775768686,110.290809099242,108.590950754104,108.290975752021,110.390800766603,110.590784101325,109.690859095075,110.290809099242,110.890759103408,111.690692442296,111.290725772852,110.790767436047,110.290809099242,109.990834097159,109.690859095075,110.190817431881,109.19090075827,108.490959086743,107.891009082576,109.19090075827,110.09082576452,110.390800766603,109.990834097159,110.490792433964,111.290725772852,111.790684109658,112.190650779102,112.890592450629,113.190567452712,114.090492458962,114.690442463128,114.89042579785,113.590534122156,111.99066744438,112.390634113824,111.99066744438,113.190567452712,114.89042579785,114.790434130489,115.490375802016,115.690359136739,116.79026747771,117.490209149238,118.890092492292,119.690025831181,119.290059161737,118.69010915757,118.890092492292,119.090075827014,117.990167486043,117.090242479793,116.690275810349,117.090242479793,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Prices, Consumer Price Index, All items, Index",PCPI_IX,2010=100,65.8557527189468,66.2850601030338,66.542644533486,66.542644533486,66.8860904407556,67.1436748712078,67.40125930166,67.4871207784774,67.6588437321122,68.259874069834,68.689181453921,68.6033199771036,70.406410990269,70.406410990269,70.6639954207212,70.6639954207212,71.0074413279908,71.3508872352604,71.4367487120778,71.5226101888952,71.3508872352604,71.265025758443,71.5226101888952,71.1791642816256,71.5226101888952,71.5226101888952,71.7801946193474,71.8660560961648,71.9519175729822,72.1236405266171,72.2953634802519,72.2953634802519,72.2953634802519,72.3812249570693,72.7246708643389,72.7246708643389,72.9822552947911,73.2398397252433,73.1539782484259,73.1539782484259,73.3257012020607,73.3257012020607,73.4974241556955,73.5832856325129,73.5832856325129,73.7550085861477,74.0984544934173,73.9267315397825,73.9267315397825,73.3257012020607,73.3257012020607,73.3257012020607,73.1539782484259,73.3257012020607,73.5832856325129,73.6691471093303,73.7550085861477,73.5832856325129,74.0125930165999,74.0984544934173,74.3560389238695,74.6994848311391,74.8712077847739,75.1287922152261,75.3005151688609,75.3005151688609,75.4722381224957,75.3005151688609,75.3863766456783,75.3005151688609,75.5580995993131,75.3863766456783,75.5580995993131,75.6439610761305,75.9874069834001,76.1591299370349,76.4167143674871,76.4167143674871,76.4167143674871,76.4167143674871,76.5025758443045,76.6742987979393,77.0177447052089,77.0177447052089,77.1894676588437,77.3611906124785,77.4470520892959,77.4470520892959,77.5329135661133,77.7046365197481,77.7046365197481,77.7904979965655,77.7904979965655,77.7904979965655,77.7046365197481,77.6187750429307,78.0480824270177,78.1339439038351,78.2198053806525,78.1339439038351,78.3915283342873,78.4773898111047,78.4773898111047,78.4773898111047,78.3056668574699,78.6491127647395,78.6491127647395,78.3915283342873,78.5632512879221,78.6491127647395,78.9925586720092,79.4218660560962,79.593589009731,79.7653119633658,79.9370349170006,80.1087578706354,80.3663423010876,80.452203777905,80.3663423010876,80.452203777905,80.2804808242702,80.7956496851746,81.3966800228964,81.1390955924442,81.4825414997138,81.9977103606182,82.2552947910704,82.169433314253,82.5128792215226,82.6846021751574,82.9421866056096,83.028048082427,82.6846021751574,83.1139095592444,83.3714939896966,83.9725243274184,84.6594161419576,84.745277618775,84.4876931883228,84.4876931883228,84.6594161419576,84.2301087578706,83.457355466514,83.6290784201488,83.8008013737836,84.315970234688,84.9170005724098,85.4321694333142,85.603892386949,85.7756153405839,86.2907842014883,86.6342301087579,86.6342301087579,86.8918145392101,87.1493989696623,86.8059530623927,87.5787063537493,88.2655981682885,88.5231825987407,87.9221522610189,88.0080137378363,88.0080137378363,88.0938752146537,88.3514596451059,88.5231825987407,88.2655981682885,88.5231825987407,88.6090440755581,88.6949055523755,88.8666285060103,89.2100744132799,89.3817973669147,90.1545506582713,90.2404121350887,90.1545506582713,89.9828277046365,90.1545506582713,90.3262736119061,90.6697195191757,90.4979965655409,90.4121350887235,90.7555809959931,91.2707498568975,91.5283342873497,91.6141957641671,91.7859187178019,91.9576416714367,92.3010875787063,93.073840870063,92.644533485976,92.4728105323411,92.3869490555237,92.9021179164282,92.7303949627934,93.2455638236978,93.7607326846022,94.1900400686892,94.0183171150544,94.1041785918718,94.2759015455066,93.7607326846022,93.5890097309674,93.7607326846022,93.932455638237,93.932455638237,94.6193474527762,95.3921007441328,95.8214081282198,96.2507155123068,96.078992558672,96.1648540354894,95.9072696050372,96.078992558672,95.8214081282198,96.078992558672,96.1648540354894,95.9931310818546,96.3365769891242,96.6800228963938,97.4527761877504,98.3972524327418,99.084144247281,99.4275901545506,99.2558672009158,99.3417286777332,98.3113909559244,97.9679450486548,97.2810532341156,97.0234688036634,97.7103606182026,97.8820835718374,97.79622209502,98.4831139095592,98.8265598168288,98.4831139095592,98.4831139095592,98.4831139095592,98.3972524327418,98.9124212936462,98.5689753863766,98.8265598168288,99.2558672009158,99.2558672009158,99.5993131081855,99.8568975386376,99.7710360618203,100.286204922725,100.200343445907,100.372066399542,100.801373783629,100.887235260446,100.887235260446,101.144819690899,101.402404121351,102.518603319977,102.862049227247,103.548941041786,102.862049227247,103.033772180882,103.291356611334,103.548941041786,103.720663995421,103.806525472238,103.205495134516,103.634802518603,104.06410990269,104.493417286777,104.922724670864,104.836863194047,104.40755580996,104.321694333143,104.579278763595,104.75100171723,104.922724670864,104.665140240412,104.06410990269,104.149971379508,105.352032054951,105.523755008586,105.352032054951,105.609616485404,105.609616485404,105.695477962221,105.695477962221,105.867200915856,105.609616485404,105.609616485404,105.352032054951,105.695477962221,106.554092730395,107.155123068117,107.498568975386,108.013737836291,108.099599313108,107.927876359473,107.927876359473,108.013737836291,108.099599313108,107.670291929021,106.897538637665,106.72581568403,107.670291929021,108.443045220378,108.35718374356,108.958214081282,109.215798511734,109.301659988552,109.301659988552,109.129937034917,109.215798511734,109.129937034917,108.614768174013,108.872352604465,109.129937034917,109.816828849456,110.160274756726,110.589582140813,110.847166571265,110.67544361763,110.503720663995,110.589582140813,110.847166571265,110.417859187178,110.246136233543,111.190612478535,111.362335432169,111.534058385804,111.963365769891,112.049227246709,111.963365769891,111.963365769891,112.049227246709,112.306811677161,112.392673153978,112.736119061248,112.306811677161,113.079564968517,113.766456783057,114.109902690326,114.453348597596,114.539210074413,114.710933028048,115.31196336577,115.226101888952,114.796794504865,115.140240412135,114.625071551231,114.539210074413,114.710933028048,115.483686319405,116.256439610761,116.771608471666,117.28677733257,117.029192902118,117.63022323984,117.458500286205,116.9433314253,117.28677733257,117.115054378935,117.115054378935,117.458500286205,117.973669147109,117.28677733257,116.514024041213,116.857469948483,117.801946193475,117.801946193475,117.63022323984,117.544361763022,118.059530623927,118.231253577562,117.973669147109,118.660560961649,119.26159129937,119.862621637092,120.463651974814,121.064682312536,121.408128219805,122.180881511162,122.438465941614,122.696050372066,123.55466514024,123.812249570693,123.640526617058,124.756725815684,126.044647967945,127.84773898111,128.620492272467,130.423583285633,131.282198053807,131.453921007441,131.024613623354,131.110475100172,132.054951345163,132.226674298798,131.453921007441,132.140812821981,132.655981682885,133.342873497424
