Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08
Central Bank Policy Rate,FPOLM_PA,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.75,6.06,5.75,4.63,4.5,4.69,4.25,3.94,4.25,4.25,4.38,3.88,4.0,3.88,3.56,4.25,5.69,5.75,5.69,5.38,5.38,5.0,4.94,5.44,5.69,7.25,8.13,8.06,7.97,7.59,7.19,6.56,6.25,6.19,6.19,5.94,5.78,5.56,5.19,5.0,4.75,4.75,4.75,4.5,4.0,4.0,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.25,3.25,3.25,3.5,3.75,4.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.75,5.5,5.25,5.0,5.0,5.0,5.0,4.75,4.75,4.5,4.5,4.5,4.5,4.5,4.5,4.75,4.75,4.75,5.0,5.25,5.25,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.5,5.5,5.0,4.75,4.5,4.5,4.25,4.0,3.5,2.75,2.25,2.25,2.0,2.0,2.0,2.25,2.25,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.0,3.25,3.25,3.25,3.0,3.0,2.75,2.75,2.75,2.75,2.5,2.5,2.25,2.0,2.0,2.0,2.0,2.0,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,3.0,3.0,3.25,3.5,3.5,3.75,4.0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.5,4.5,4.5,4.5,4.5,4.25,4.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.25,2.25,1.5,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,1.5,2.5,2.5
Money Market Rate,FIMM_PA,12.776786,13.419643,12.973214,12.919643,13.803571,13.035714,13.625,13.089286,12.839286,12.125,12.5625,11.616071,11.669643,10.169643,9.5089286,9.3482143,9.1339286,8.7410714,8.6517857,8.5357143,8.9642857,8.3928571,7.1517857,7.4017857,7.0625,7.2053571,6.8303571,6.4285714,6.1964286,6.0803571,5.8214286,5.1339286,6.2946429,8.0625,7.8035714,6.7946429,6.4642857,5.9285714,4.7857143,4.4464286,4.5,4.2946429,3.9553571,4.4464286,4.3571429,4.5892857,3.9285714,3.7857143,3.8839286,3.6428571,4.3392857,5.6607143,5.9196429,5.6517857,5.4375,5.3839286,4.9196429,4.9375,5.3303571,5.5357143,7.0803571,8.0178571,8.0625,7.9942857,7.6285714,7.3228571,6.5571429,6.4228571,6.1257143,6.2128571,5.9357143,5.7085714,5.5057143,5.1771429,4.9385714,4.7557143,4.77,4.7171429,4.5442857,4.0157143,4.0328571,3.4157143,3.0071429,3.01,2.9985714,2.9842857,2.9628571,3.0357143,2.9571429,2.9657143,3.2428571,3.2671429,3.2357143,3.54,3.5528571,4.3357143,4.2843,4.7114,4.6829,4.7257,4.7386,4.74,4.77,4.72,5.7271,5.2329,4.9514,5.1129,4.9914,4.9957,4.9943,4.7771,4.5929,4.5957,4.6114,4.6229,4.5786,4.6057,4.7714,4.7586,4.77,4.9714,5.2486,5.2586,5.7529,5.75,5.7271,5.7514,5.7429,5.7514,5.75,5.8,5.4914,5.49,4.9927,4.7442,4.67,4.4935,4.2414,4.1679,3.4858,2.7412,2.5955,2.2443571,1.9923,1.9926143,1.9933286,2.2439571,2.2470857,2.4964429,2.7417857,2.7448143,2.7447286,2.7449143,2.7431286,2.7439,2.7439286,2.7469143,2.9919571,3.2372714,3.2415571,3.2448857,2.9946857,2.9971571,2.7489714,2.7492,2.7481143,2.7480857,2.4950714,2.4953,2.2482,1.9959429,1.9984857,2.0004571,1.9973,1.9979,2.2496,2.496,2.4977,2.4999,2.498,2.4971,2.4794,2.4954,2.4866,2.4936,2.4922,2.4882,2.7421,2.9873,2.9883,3.24,3.3,3.48,3.73,3.82,4.21,4.25,4.24,4.24,4.25,4.23,4.25,4.25,4.24,4.25,4.24,4.25,4.24,4.25,4.5,4.42,4.46,4.51,4.51,4.26,4.01,4.0,3.46,3.03,3.0,2.99,3.02,3.0,2.99,2.25,2.24,1.5,1.0,1.0,0.49,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.49,0.74,0.75,1.0,1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.0,1.01,1.01,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.75,0.76,0.76,0.75,0.73,0.75,0.5,0.5,0.5,0.5,0.5,0.52,0.52,0.5,0.5,0.5,0.5,0.5,0.51,0.49,0.5,0.49,0.49,0.49,0.49,0.49,0.5,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Treasury Bill Rate,FITB_PA,12.34,13.16,13.26,13.55,13.67,13.58,13.23,12.67,12.4,12.36,12.01,11.47,10.48,9.72,9.67,9.24,8.81,8.65,8.66,8.53,8.34,7.79,7.41,7.42,7.04,7.25,7.24,6.72,6.08,5.6,5.17,4.82,7.37,6.05,8.57,7.11,6.56,5.84,5.11,5.34,4.85,4.54,4.16,4.74,4.65,4.38,4.09,3.86,3.63,3.85,5.39,5.82,6.33,6.67,5.79,5.35,5.29,5.37,5.79,7.18,7.98,7.77,8.22,7.92,7.39,6.72,6.62,6.34,6.46,5.93,5.82,5.54,5.12,5.18,5.02,4.73,4.64,4.69,4.43,4.03,3.96,3.19,2.69,2.8,2.84,2.86,3.19,3.14,3.0,2.86,3.32,3.13,3.1,3.63,3.57,4.46,4.183,4.571,4.565,4.825,4.75,4.882,4.926,4.876,4.936,4.744,4.815,4.697,4.658,4.835,4.749,4.601,4.42,4.622,4.636,4.834,4.687,4.85,4.815,4.93,5.076,5.051,5.277,5.449,5.751,5.551,5.625,5.622,5.564,5.619,5.736,5.557,5.142,4.804,4.604,4.41,4.401,4.242,4.029,3.805,3.039,2.54,2.207,2.0,1.97,2.07,2.34,2.41,2.622,2.738,2.849,2.996,2.826,2.805,2.734,2.669,2.813,2.861,3.142,3.241,3.197,3.127,2.808,2.7,2.597,2.651,2.714,2.59,2.26,2.133,1.99,1.944,2.018,2.042,2.084,2.14,2.412,2.583,2.556,2.477,2.437,2.464,2.546,2.461,2.451,2.473,2.581,2.758,2.813,3.025,3.304,3.4,3.49,3.71,3.79,3.97,4.18,4.3,4.16,4.13,4.17,4.17,4.18,4.16,4.16,4.18,4.17,4.17,4.29,4.42,4.56,4.01,4.11,3.97,3.92,3.86,3.46,3.24,2.03,2.7,2.73,2.69,2.42,2.52,1.88,2.22,1.84,0.95,0.93,0.8,0.42,0.25,0.2,0.24,0.24,0.24,0.22,0.23,0.23,0.2,0.18,0.17,0.29,0.4,0.43,0.58,0.64,0.69,0.89,0.92,0.98,1.0,0.99,0.97,0.92,0.98,0.96,0.92,0.93,0.93,0.87,0.87,0.89,0.83,0.88,0.94,0.93,1.04,1.01,0.9,0.97,1.03,1.0,1.0,0.99,0.98,0.93,0.96,0.98,0.99,1.0,1.02,1.01,1.0,0.99,0.92,0.94,0.89,0.89,0.87,0.88,0.94,0.92,0.93,0.95,0.94,0.92,0.88,0.9,0.91,0.59,0.47,0.53,0.65,0.67,0.58,0.43,0.38,0.41,0.39,0.44,0.5,0.48,0.46,0.46,0.54,0.55,0.49,0.5,0.51,0.53,0.5,0.51,0.47,0.46,0.48,0.51,0.55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Savings Rate,FISR_PA,8.25,8.75,8.75,9.5,9.5,9.5,9.5,9,8.5,8.5,8,7.5,6.75,6,5.5,5,4.25,4.25,4.25,4,4,3.5,3.25,3,2.5,2.5,3.25,2.5,2.5,2,1.75,1.5,1.25,2.75,3.25,1.5,1.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Deposit Rate,FIDR_PA,9.25,10,10,10.5,10.5,10.5,10.5,10,9.5,9.5,9,9,8,7,7,6.5,5.5,5.5,5.5,5.5,5.25,4.75,4.5,4,4,4,5,4.25,4,3.5,3.25,3,2.5,4.5,4.75,4.25,4.25,4.0,3.5,3.5,3.5,3.25,3.0,2.75,2.75,2.75,2.75,2.5,2.5,2.5,3.38,4.13,4.5,5.0,4.75,4.13,4.13,4.0,4.0,4.75,5.75,5.75,6.25,6.0,6.13,5.5,5.0,5.0,4.88,4.63,4.25,4.25,3.75,3.5,3.5,3.38,3.38,3.38,3.38,3.13,3.13,2.0,1.75,1.75,1.75,1.75,1.75,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,2.55,2.55,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.5,3.25,3.25,3.05,3.05,3.05,3.05,2.8,2.6,2.75,2.75,2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.4,3.3,2.85,2.85,2.7,2.75,2.75,2.25,1.5,1.0,0.85,0.85,0.6,0.65,0.65,0.65,0.75,0.75,0.75,0.75,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.95,0.95,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.95,0.95,0.95,1.55,1.55,1.55,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.0,2.0,2.0,1.8,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.3,1.3,0.75,0.4,0.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Lending Rate,FILR_PA,13.5,14.25,14.25,14.75,14.75,14.75,14.75,14.25,13.75,13.75,13.25,12.75,12.25,11.25,11.25,10.75,9.75,9.75,9.75,9.75,9.5,8.75,8.5,8,7.5,7.5,8.25,7.75,7.5,7,6.75,6.5,6.25,7.75,9.75,7.25,6.75,6.5,6.0,6.0,6.0,6.0,5.75,5.75,5.75,5.75,5.5,5.5,5.5,5.5,6.25,6.75,6.75,8.0,7.5,7.25,7.0,7.0,7.0,8.0,9.25,9.5,9.75,9.75,9.25,8.75,8.25,8.0,8.0,8.0,7.75,7.5,7.25,7.0,6.75,6.5,6.5,6.5,6.25,5.75,5.75,5.0,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.25,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.25,7.0,6.75,6.75,6.75,6.75,6.75,6.5,6.25,6.25,6.25,6.25,6.25,6.25,6.5,6.5,6.5,6.75,7.0,7.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.25,7.25,6.75,6.5,6.25,6.25,6.0,5.75,5.25,4.5,4.0,4.0,3.75,3.75,3.75,4.0,4.0,4.25,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.75,5.0,5.0,5.0,4.75,4.75,4.5,4.5,4.5,4.5,4.25,4.25,4.0,3.75,3.75,3.75,3.75,3.75,4.0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.5,4.75,4.75,5.0,5.25,5.25,5.5,5.75,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.25,6.25,6.25,6.25,6.25,6.0,5.75,5.75,5.25,4.75,4.75,4.75,4.75,4.75,4.75,4.0,4.0,3.5,3.0,3.0,2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.5,2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.85,2.85,2.85,2.85,2.85,2.85,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Government Bonds,FIGB_PA,10.04,10.64,10.91,11.54,10.86,10.72,10.78,10.83,11.54,11.15,10.7,10.51,10.22,9.89,9.88,9.91,9.91,10.36,10.17,9.97,9.59,9.12,9.18,8.97,8.92,8.97,9.28,9.51,9.17,8.87,8.21,8.19,8.53,8.33,8.66,8.54,8.67,8.19,8.27,8.27,8.12,7.96,7.79,7.4,7.55,7.35,7.45,7.12,6.86,7.33,8.25,8.18,8.55,9.29,9.5,8.89,9.04,9.29,9.24,9.16,9.41,8.86,8.7,8.44,8.11,8.02,8.5,8.24,8.11,8.11,7.44,7.43,7.35,7.84,7.94,8.07,7.92,7.98,7.86,7.6,7.48,6.81,6.42,6.77,7.07,6.78,6.97,6.97,6.95,6.49,6.11,6.38,5.99,5.8,5.78,5.8,5.63,5.64,5.54,5.64,5.49,5.45,5.56,5.78,5.15,5.27,5.35,5.08,5.08,5.37,5.23,5.34,5.54,5.63,5.74,5.69,5.92,6.38,6.12,6.25,6.36,5.98,5.96,6.03,5.94,5.9,5.83,5.79,5.83,5.79,5.63,5.59,5.71,5.63,5.74,5.94,6.08,5.97,6.01,5.72,5.86,5.32,5.66,5.75,5.72,5.68,6.0,5.89,5.76,5.73,5.7,5.55,5.38,5.61,5.55,5.37,5.45,5.39,5.52,5.34,5.01,4.98,5.35,5.4,5.19,5.33,5.24,5.14,5.15,4.98,4.94,5.23,5.23,5.3,5.29,5.14,5.02,4.96,4.87,4.86,4.69,4.71,4.75,4.55,4.41,4.27,4.31,4.11,4.21,4.38,4.2,4.04,4.22,4.17,4.26,4.59,4.51,4.69,4.46,4.22,4.08,4.25,4.03,4.11,4.23,4.1,4.21,4.21,4.43,4.59,4.52,4.44,4.5,4.39,4.22,4.18,4.17,4.14,3.91,4.02,4.07,4.07,4.18,4.02,4.14,4.31,4.0,3.45,3.74,3.7,3.63,3.72,4.11,3.96,4.1,3.96,3.87,3.98,3.84,4.08,3.92,3.98,3.99,3.99,3.58,3.59,3.71,3.39,3.25,3.38,3.6,3.51,3.71,3.69,3.66,3.67,3.41,3.47,3.28,3.0,2.74,2.91,2.61,2.42,2.55,2.48,2.56,2.55,2.2,2.24,2.14,2.28,2.24,2.27,2.2,2.27,2.47,2.39,2.34,2.19,2.48,2.9,2.88,3.0,3.0,2.87,3.01,3.09,2.8,2.8,2.82,2.76,2.6,2.72,2.59,2.44,2.61,2.46,2.36,2.22,1.75,1.76,1.79,2.01,2.08,2.29,2.09,2.08,2.09,2.13,2.17,2.04,1.9,1.78,1.86,1.94,1.87,1.67,1.6,1.53,1.52,1.68,2.06,2.24,2.34,2.29,2.14,2.01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
