Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Labor Force, Persons, Number of",LLF_PE_NUM,13925.289,13961.026,13968.412,14036.273,14314.323,14490.172,14696.933,14671.076,14281.13,14297.611,14196.323,14097.174,14005.829,14062.425,14167.721,14152.422,14451.629,14649.529,14837.317,14780.575,14302.395,14320.694,14209.746,14095.548,13981.285,14032.575,14158.367,14078.031,14397.022,14657.752,14815.854,14750.327,14308.698,14302.474,14342.053,14209.189,14039.927,14088.839,14244.636,14222.416,14521.977,14772.932,14944.299,14832.99,14446.363,14406.91,14394.684,14304.108,14178.676,14248.475,14294.682,14328.978,14692.887,14846.562,15041.26,15009.926,14623.512,14586.189,14565.118,14468.33,14403.796,14404.329,14530.114,14444.599,14784.469,14970.247,15177.721,15106.293,14665.323,14675.846,14557.585,14550.293,14496.297,14559.704,14594.13,14593.288,14911.061,15137.992,15338.988,15263.422,14875.899,14861.127,14814.121,14736.065,14659.834,14725.716,14762.965,14811.218,15168.156,15398.027,15525.056,15541.146,15145.91,15149.519,15102.842,14976.511,14895.108,14967.215,15003.324,15069.791,15385.04,15592.703,15771.452,15733.816,15386.804,15357.581,15338.186,15277.073,15182.658,15240.752,15274.123,15426.292,15724.732,15844.414,16052.42,15998.588,15620.506,15602.214,15538.815,15498.891,15385.866,15496.466,15548.446,15604.093,15949.574,16075.2,16256.765,16275.501,15888.498,15910.467,15882.874,15829.273,15707.681,15747.94,15819.735,15905.003,16228.094,16332.469,16494.41,16508.957,16092.874,16104.958,16101.725,16084.902,16062.66,16092.658,16201.101,16273.299,16663.588,16788.75,17009.814,17052.618,16652.26,16646.466,16652.64,16632.136,16515.04,16607.474,16640.336,16706.007,17062.544,17210.306,17363.838,17380.22,16982.828,16975.075,16971.274,16914.866,16780.125,16818.998,16857.829,16931.098,17283.261,17446.357,17565.09,17534.691,17131.548,17159.707,17166.751,17089.73,16922.387,17003.512,17004.385,17048.975,17456.539,17554.204,17708.501,17728.112,17282.504,17326.633,17258.824,17211.022,17093.257,17108.571,17184.801,17241.695,17678.097,17765.503,17971.585,17944.011,17527.419,17509.61,17526.068,17475.723,17443.836,17476.856,17562.958,17599.042,17959.167,18111.695,18251.638,18253.902,17852.603,17906.06,17918.133,17822.4,17725.556,17805.181,17875.852,17917.923,18294.245,18410.301,18469.223,18489.784,18134.572,18191.974,18116.806,18037.34,17892.207,17968.706,18019.869,18084.325,18457.631,18553.3,18630.796,18634.914,18166.957,18179.037,18270.247,18147.198,18073.94,18109.512,18152.89,18295.866,18645.929,18791.925,18872.007,18945.139,18441.224,18407.852,18364.721,18305.436,18288.632,18315.966,18357.525,18479.781,18806.715,18934.226,18990.985,19041.685,18620.19,18575.864,18555.476,18467.787,18392.76,18400.612,18491.41,18684.883,19045.121,19093.992,19135.834,19228.507,18839.982,18850.236,18808.391,18742.737,18677.004,18731.695,18769.452,18859.274,19243.934,19331.67,19397.625,19468.705,19043.292,19025.281,18980.239,18925.174,18805.438,18863.402,18895.629,18959.031,19313.92,19446.895,19501.811,19497.073,19112.863,19099.981,19054.246,18943.312,18852.554,18945.533,18980.777,19058.678,19484.221,19581.87,19628.65,19708.763,19313.795,19318.045,19257.303,19206.159,19102.744,19177.328,19199.17,19269.008,19620.85,19671.873,19720.938,19799.238,19455.492,19482.223,19405.974,19381.355,19340.478,19342.73,19412.229,19416.603,19881.994,19973.415,20005.134,20029.777,19633.906,19676.194,19635.726,19607.203,19440.982,19469.002,19540.19,19611.267,19972.939,20122.186,20145.185,20177.028,19824.542,19813.872,19843.1,19793.273,19788.357,19871.238,19895.928,20044.671,20347.967,20464.281,20497.348,20623.031,20268.182,20258.093,20206.176,20129.314,20006.175,20095.515,19499.497,18507.927,19290.252,20171.7,20354.943,20551.293,20264.568,20287.8,20229.674,20108.466,19887.509,19971.953,20132.651,20115.83,20422.559,20685.491,20746.779,20828.425,20515.521,20457.131,20463.991,20396.2,20189.181,20368.539,20447.585,...,...,...,...,...,...,...,...,...,...,...,...
"Employment, Persons, Number of",LE_PE_NUM,12717.819,12787.452,12815.833,12924.149,13202.121,13448.627,13567.984,13515.828,13186.603,13138.469,12935.663,12796.17,12508.944,12504.233,12507.438,12626.74,12969.668,13189.321,13309.367,13281.053,12969.678,12966.835,12782.411,12672.693,12396.785,12432.756,12424.637,12490.122,12814.57,13067.19,13153.877,13097.189,12815.253,12819.491,12671.294,12587.803,12346.257,12425.681,12465.547,12496.792,12829.308,13123.506,13202.88,13177.619,12954.71,12926.829,12844.655,12719.159,12440.492,12555.207,12620.124,12683.001,13124.418,13378.53,13507.357,13494.117,13290.082,13261.465,13227.147,13122.994,12894.412,12925.883,12985.101,13005.554,13372.358,13605.724,13678.455,13676.654,13445.339,13431.281,13283.517,13240.228,12997.864,13067.554,13086.327,13179.813,13520.963,13717.192,13841.38,13838.978,13531.6,13486.806,13403.93,13369.089,13147.65,13215.294,13289.564,13355.857,13732.866,14040.693,14117.309,14172.547,13923.831,13901.546,13820.213,13780.619,13474.595,13597.248,13654.865,13766.501,14091.533,14341.169,14441.046,14468.356,14235.477,14224.517,14162.411,14106.36,13881.51,13952.586,13988.285,14102.312,14454.454,14698.712,14804.553,14776.014,14556.535,14575.186,14517.425,14516.164,14256.981,14363.718,14418.008,14493.138,14874.876,15056.254,15112.887,15096.994,14883.917,14896.321,14846.195,14822.232,14526.008,14572.406,14619.084,14724.324,15080.89,15230.566,15297.759,15273.143,15029.488,15023.047,14951.369,14859.53,14659.943,14732.784,14846.733,14968.269,15352.02,15597.938,15688.909,15740.135,15498.873,15496.261,15464.573,15449.537,15179.324,15291.39,15339.584,15386.711,15700.672,15984.721,16002.858,15971.884,15750.111,15801.789,15772.582,15748.414,15452.408,15513.434,15537.98,15663.034,16016.349,16273.696,16287.798,16224.395,16023.14,16049.278,15993.665,15945.215,15658.417,15742.062,15754.358,15850.261,16242.462,16446.225,16482.751,16460.867,16200.507,16266.64,16222.339,16155.22,15868.013,15954.942,16022.737,16107.838,16584.53,16758.68,16764.863,16710.337,16484.324,16531.737,16485.162,16478.829,16267.885,16343.708,16412.124,16479.107,16863.762,17093.542,17117.051,17088.24,16876.73,16957.657,16904.039,16827.647,16600.106,16702.929,16718.784,16797.212,17154.203,17372.176,17305.896,17293.852,17121.384,17172.839,16993.995,16889.141,16476.471,16472.807,16428.53,16510.187,16819.866,17034.034,16962.362,16944.323,16771.953,16785.332,16809.075,16716.392,16484.733,16552.412,16537.926,16738.558,17081.048,17383.713,17303.193,17283.76,17060.727,17081.883,17055.62,17007.474,16793.166,16844.503,16842.656,17000.636,17379.616,17591.854,17547.046,17540.905,17362.444,17311.757,17246.542,17191.303,16914.749,16970.887,17051.057,17283.812,17611.912,17800.539,17704,17740.722,17589.377,17570.137,17535.177,17483.459,17274.903,17351.681,17313.58,17466.536,17865.41,18030.725,17964.941,17983.585,17828.91,17805.133,17755.398,17652.649,17408.848,17466.443,17491.391,17577.382,17924.368,18141.933,18077.431,18037.812,17915.062,17948.563,17871.172,17765.866,17539.958,17582.01,17574.03,17697.924,18110.473,18314.587,18240.254,18228.82,18068.719,18094.256,17993.21,17914.972,17661.91,17697.083,17726.607,17824.191,18258.669,18410.566,18301.571,18296.599,18212.149,18256.696,18179.732,18133.048,17956.084,17992.723,18018.15,18096.904,18575.072,18769.283,18698.817,18675.293,18524.833,18561.987,18566.866,18560.439,18231.451,18273.831,18317.355,18417.745,18785.207,18978.804,18933.903,18838.975,18753.929,18771.111,18820.165,18768.102,18569.745,18662.169,18664.86,18852.302,19237.873,19392.922,19283.904,19317.907,19248.637,19238.734,19103.357,19096.363,18838.593,18917.041,17856.709,16011.367,16631.905,17777.814,18069.615,18289.415,18564.494,18636.8,18617.049,18503.257,17942.245,18251.571,18501.029,18427.065,18715.88,19159.552,19143.922,19180.844,19215.18,19224.786,19318.337,19304.844,18819.796,19208.139,19275.926,...,...,...,...,...,...,...,...,...,...,...,...
"Unemployment, Persons, Number of",LU_PE_NUM,1207.47,1173.574,1152.579,1112.124,1112.202,1041.545,1128.949,1155.248,1094.527,1159.142,1260.66,1301.004,1496.885,1558.192,1660.283,1525.682,1481.961,1460.208,1527.95,1499.522,1332.717,1353.859,1427.335,1422.855,1584.5,1599.819,1733.73,1587.909,1582.452,1590.562,1661.977,1653.138,1493.445,1482.983,1670.759,1621.386,1693.67,1663.158,1779.089,1725.624,1692.669,1649.426,1741.419,1655.371,1491.653,1480.081,1550.029,1584.949,1738.184,1693.268,1674.558,1645.977,1568.469,1468.032,1533.903,1515.809,1333.43,1324.724,1337.971,1345.336,1509.384,1478.446,1545.013,1439.045,1412.111,1364.523,1499.266,1429.639,1219.984,1244.565,1274.068,1310.065,1498.433,1492.15,1507.803,1413.475,1390.098,1420.8,1497.608,1424.444,1344.299,1374.321,1410.191,1366.976,1512.184,1510.422,1473.401,1455.361,1435.29,1357.334,1407.747,1368.599,1222.079,1247.973,1282.629,1195.892,1420.513,1369.967,1348.459,1303.29,1293.507,1251.534,1330.406,1265.46,1151.327,1133.064,1175.775,1170.713,1301.148,1288.166,1285.838,1323.98,1270.278,1145.702,1247.867,1222.574,1063.971,1027.028,1021.39,982.727,1128.885,1132.748,1130.438,1110.955,1074.698,1018.946,1143.878,1178.507,1004.581,1014.146,1036.679,1007.041,1181.673,1175.534,1200.651,1180.679,1147.204,1101.903,1196.651,1235.814,1063.386,1081.911,1150.356,1225.372,1402.717,1359.874,1354.368,1305.03,1311.568,1190.812,1320.905,1312.483,1153.387,1150.205,1188.067,1182.599,1335.716,1316.084,1300.752,1319.296,1361.872,1225.585,1360.98,1408.336,1232.717,1173.286,1198.692,1166.452,1327.717,1305.564,1319.849,1268.064,1266.912,1172.661,1277.292,1310.296,1108.408,1110.429,1173.086,1144.515,1263.97,1261.45,1250.027,1198.714,1214.077,1107.979,1225.75,1267.245,1081.997,1059.993,1036.485,1055.802,1225.244,1153.629,1162.064,1133.857,1093.567,1006.823,1206.722,1233.674,1043.095,977.873,1040.906,996.894,1175.951,1133.148,1150.834,1119.935,1095.405,1018.153,1134.587,1165.662,975.873,948.403,1014.094,994.753,1125.45,1102.252,1157.068,1120.711,1140.042,1038.125,1163.327,1195.932,1013.188,1019.135,1122.811,1148.199,1415.736,1495.899,1591.339,1574.138,1637.765,1519.266,1668.434,1690.591,1395.004,1393.705,1461.172,1430.806,1589.207,1557.1,1614.964,1557.308,1564.881,1408.212,1568.814,1661.379,1380.497,1325.969,1309.101,1297.962,1495.466,1471.463,1514.869,1479.145,1427.099,1342.372,1443.939,1500.78,1257.746,1264.107,1308.934,1276.484,1478.011,1429.725,1440.353,1401.071,1433.209,1293.453,1431.834,1487.785,1250.605,1280.099,1273.214,1259.278,1402.101,1380.014,1455.872,1392.738,1378.524,1300.945,1432.684,1485.12,1214.382,1220.148,1224.841,1272.525,1396.59,1396.959,1404.238,1381.649,1389.552,1304.962,1424.38,1459.261,1197.801,1151.418,1183.074,1177.446,1312.596,1363.523,1406.747,1360.754,1373.748,1267.283,1388.396,1479.943,1245.076,1223.789,1264.093,1291.187,1440.834,1480.245,1472.563,1444.817,1362.181,1261.307,1419.367,1502.639,1243.343,1225.527,1226.242,1248.307,1384.394,1350.007,1394.079,1319.699,1306.922,1204.132,1306.317,1354.484,1109.073,1114.207,1068.86,1046.764,1209.531,1195.171,1222.835,1193.522,1187.732,1143.382,1211.282,1338.053,1070.613,1042.761,1022.935,1025.171,1218.612,1209.069,1231.068,1192.369,1110.094,1071.359,1213.444,1305.124,1019.545,1019.359,1102.819,1032.951,1167.582,1178.474,1642.788,2496.56,2658.347,2393.886,2285.328,2261.878,1700.074,1651,1612.625,1605.209,1945.264,1720.382,1631.622,1688.765,1706.679,1525.939,1602.857,1647.581,1300.341,1232.345,1145.654,1091.356,1369.385,1160.4,1171.659,...,...,...,...,...,...,...,...,...,...,...,...
"Labor Markets, Unemployment Rate, Percent",LUR_PT,8.67,8.41,8.25,7.92,7.77,7.19,7.68,7.87,7.66,8.11,8.88,9.23,10.69,11.08,11.72,10.78,10.25,9.97,10.3,10.15,9.32,9.45,10.04,10.09,11.33,11.4,12.25,11.28,10.99,10.85,11.22,11.21,10.44,10.37,11.65,11.41,12.06,11.8,12.49,12.13,11.66,11.17,11.65,11.16,10.33,10.27,10.77,11.08,12.26,11.88,11.71,11.49,10.68,9.89,10.2,10.1,9.12,9.08,9.19,9.3,10.48,10.26,10.63,9.96,9.55,9.11,9.88,9.46,8.32,8.48,8.75,9,10.34,10.25,10.33,9.69,9.32,9.39,9.76,9.33,9.04,9.25,9.52,9.28,10.32,10.26,9.98,9.83,9.46,8.82,9.07,8.81,8.07,8.24,8.49,7.99,9.54,9.15,8.99,8.65,8.41,8.03,8.44,8.04,7.48,7.38,7.67,7.66,8.57,8.45,8.42,8.58,8.08,7.23,7.77,7.64,6.81,6.58,6.57,6.34,7.34,7.31,7.27,7.12,6.74,6.34,7.04,7.24,6.32,6.37,6.53,6.36,7.52,7.46,7.59,7.42,7.07,6.75,7.25,7.49,6.61,6.72,7.14,7.62,8.73,8.45,8.36,8.02,7.87,7.09,7.77,7.7,6.93,6.91,7.13,7.11,8.09,7.92,7.82,7.9,7.98,7.12,7.84,8.1,7.26,6.91,7.06,6.9,7.91,7.76,7.83,7.49,7.33,6.72,7.27,7.47,6.47,6.47,6.83,6.7,7.47,7.42,7.35,7.03,6.95,6.31,6.92,7.15,6.26,6.12,6.01,6.13,7.17,6.74,6.76,6.58,6.19,5.67,6.71,6.88,5.95,5.58,5.94,5.7,6.74,6.48,6.55,6.36,6.1,5.62,6.22,6.39,5.47,5.3,5.66,5.58,6.35,6.19,6.47,6.25,6.23,5.64,6.3,6.47,5.59,5.6,6.2,6.37,7.91,8.33,8.83,8.7,8.87,8.19,8.96,9.07,7.68,7.67,8,7.88,8.79,8.6,8.9,8.51,8.39,7.49,8.31,8.77,7.49,7.2,7.13,7.09,8.18,8.03,8.25,8,7.59,7.09,7.6,7.88,6.75,6.81,7.05,6.91,8.04,7.77,7.79,7.5,7.53,6.77,7.48,7.74,6.64,6.79,6.77,6.72,7.51,7.37,7.76,7.38,7.16,6.73,7.39,7.63,6.38,6.41,6.45,6.72,7.43,7.41,7.43,7.29,7.19,6.71,7.3,7.48,6.27,6.03,6.21,6.22,6.96,7.2,7.41,7.14,7.05,6.47,7.07,7.51,6.45,6.34,6.56,6.72,7.54,7.72,7.67,7.5,6.94,6.41,7.2,7.59,6.39,6.29,6.32,6.44,7.16,6.98,7.18,6.8,6.57,6.03,6.53,6.76,5.65,5.66,5.44,5.34,6.22,6.14,6.26,6.09,5.95,5.68,6.01,6.63,5.4,5.26,5.16,5.18,6.16,6.08,6.19,5.95,5.46,5.24,5.92,6.33,5.03,5.03,5.46,5.13,5.84,5.86,8.42,13.49,13.78,11.87,11.23,11.01,8.39,8.14,7.97,7.98,9.78,8.61,8.1,8.4,8.36,7.38,7.73,7.91,6.34,6.02,5.6,5.35,6.78,5.7,5.73,...,...,...,...,...,...,...,...,...,...,...,...
