Indicator,Indicator_Code,Base Year,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Economic Activity, Industrial Production, Manufacturing, Index",AIPMA_IX,2010=100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,91.9884920335724,94.5733767467182,96.4047766453844,94.8341456260464,96.0626098689056,97.8089167648436,91.6846487806548,97.2010191101183,97.7207621032084,99.7146410728405,98.7837911906396,97.6662856895512,100.164388208848,102.009512785373,104.640744679906,103.681706420871,103.731115261164,106.841866285215,100.406153688063,104.573071460615,106.228795482681,105.850522245987,104.004130776121,101.928748334893,99.6704053803553,101.131977997934,102.734175776348,99.686030398226,100.629760362726,102.59017223327,96.1884546074316,100.359384208896,100.758033313488,100.046672702592,98.138836905694,96.5712675452631,96.1001943713513,97.9403569489584,100.135988683123,99.7229814540012,100.283370608444,104.087534587728,97.0999843661843,102.55332675194,103.589012058097,102.970345809975,101.348511184777,98.8775412978637,98.7676383005436,100.76785173688,102.703770336168,100.323383323126,101.044140059634,104.094291352213,97.3609643944026,102.756874282039,104.495263094596,104.095135947773,103.458205320653,101.1037896211,99.6501350869015,103.033162604793,104.622269152018,103.248428898295,104.907953600383,106.990726252766,101.952924882815,107.037601306378,107.427065434249,108.336800427436,106.596300125977,105.267962458079,105.062831311304,107.613509904247,108.454727082581,108.750652252118,109.153629908959,112.230913833921,106.129449929868,111.056186983604,110.676646853569,111.659544937191,110.700295529265,109.028840914884,108.433506619122,109.975949261626,111.962860317883,110.397402446353,111.767864317835,115.0625260252,109.306290556533,114.20621170122,114.950089241199,113.817064296685,112.176648569154,112.007096010368,109.758677053667,111.754667512201,114.87872091633,114.430029524773,115.370592255921,118.572031728288,113.259947950039,117.26533682163,118.317597315664,117.085226818337,116.089448652417,114.335751545324,112.475107525373,113.030640255342,114.347153585392,113.271244415662,112.670842546537,114.790777403585,109.119423788755,111.124071351785,107.892437588127,106.303225466456,102.447013285752,97.7926583003024,93.3691946262255,94.1550907953424,94.0319909923883,92.1694466324259,92.4664275464138,94.2464126903298,92.4080448782889,96.1386234693575,96.6793757770169,96.8198953634079,96.4608366757176,94.9473214311636,94.9034024620136,95.7551770848555,98.8479804532434,98.8257042453332,100.691415838648,102.961899854369,99.3049066515155,102.660695962578,102.601151975557,102.437828309031,100.875220947518,100.134616215337,99.4803713792254,100.323805620907,103.048154175993,101.523764763596,102.153833051787,104.713907770341,101.568950626087,104.791399413024,105.295728537133,105.29108326155,103.58510580363,103.236287837111,102.994522357896,104.493151605695,105.909327211892,105.350521674126,105.584896942186,108.227847600121,104.046043830814,107.009940801769,106.996110549465,106.026725994813,105.315259809472,104.93909806168,103.79762716156,105.234178635656,106.500544104296,106.359391071235,106.541401414539,109.035280956033,104.391800138426,108.439735511381,108.303861200573,108.048159894608,106.555865113514,105.04256101785,103.179805508998,105.475205093756,108.146766426306,107.350207238237,107.934245068376,110.576245556305,106.474572790808,109.831417846322,109.548372759083,109.103376473104,108.439946660271,106.721089120052,105.235128805662,106.044884799365,108.102530733821,107.286334698968,107.693957631391,109.36762930912,106.040450672672,109.120901830986,107.650883257802,108.204621222205,106.499910657626,104.539393212636,104.278202035528,105.16724443748,105.885678536196,106.222988888202,105.882722451734,108.346090978602,104.484388926754,107.458526618881,107.524827370386,108.147505447421,106.65236015631,105.467920457046,105.05734144016,106.558807833878,107.548099327289,107.208734913564,108.115504545405,110.431833870234,106.19452505411,109.08440828478,108.545157584141,110.108110855107,108.626169241709,106.981988569747,105.66972916321,108.299102203434,109.523014675818,110.051370333296,108.954854355701,111.741720099052,108.036434578698,111.58821864936,111.069032087612,110.642075841737,108.776218796538,107.564819443032,106.207577531561,107.232790305891,108.303093456869,106.820828228327,106.839490034931,109.512551119515,104.898554276459,108.90318380447,107.673014772646,107.184248034379,106.729137271027,105.403393900182,104.41550473906,106.252560036496,102.318802224893,84.9813366600181,89.7281235835868,98.1896887383831,98.1876391758081,103.217265734719,101.984507781748,104.488641761471,103.68683130781,102.972073327727,104.176245276364,101.971886791155,106.054939055585,105.065755433889,105.9469594694,107.660285910338,105.622804967416,107.794586194854,105.845667929512,108.400285871607,107.914431669631,106.845207235798,106.491495884048,109.148268339747,111.033542293552,109.380408269288,110.037023395271,111.444857140828,108.748819381062,111.191574355251,...,...,...,...,...,...,...
"Economic Activity, Industrial Production, Index",AIP_IX,2010=100,67.3314899137679,68.3382829161511,68.5767338903998,67.1548595624727,67.7289082041824,69.733662691384,67.2961638435089,69.548200822524,70.0780918764098,69.13311949698,67.3403214313327,66.351191464079,66.7486097544935,66.5543163680686,65.7329852345455,65.7859743399341,66.0862459371361,68.5060817498817,66.1215720073952,68.5149132674465,69.1949401199334,68.6915436187418,67.4904572299337,66.616136991022,66.9870607287421,68.0291798013844,68.5590708552703,67.7995603447005,68.2676307756331,69.9721136656327,67.9232015906072,70.3518689209176,70.4755101668243,70.7846132815911,70.1222494642337,69.6895051035602,70.2635537452699,71.049558808534,71.1908630895703,70.0604288412803,69.9897767007622,71.9503736001401,69.7513257265136,72.2948027851659,72.7717047336632,72.7628732160984,72.1534985041297,72.0033627055286,72.9041774971347,73.4605631037149,74.1582529913313,73.3280903402434,73.7520031833521,76.3043117595692,73.3722479280672,76.8783604012789,77.4347460078591,77.2934417268228,76.7723821905017,77.0549907525742,77.6113763591544,78.3778599443676,78.8790222885455,76.8154126360483,77.4541489570594,80.1761483558294,76.8055859234174,80.7952312515785,81.5322346988989,80.4119894589719,79.7830798505918,79.6258524484968,79.0755565411642,80.9328052284117,81.2963935957564,80.1958017810913,80.8345381021023,84.1854471092524,80.6478305621145,84.5097286260734,85.6496272912623,84.57851561449,84.4016347871331,84.1854471092524,84.3525012239784,86.1262191419341,87.0502518297314,86.0731138150492,86.179324468819,88.877075074572,85.3190181732836,90.1197397236787,91.6916573994718,91.6916573994718,92.0527736222892,91.8509733801265,91.4261307650473,92.6475532834001,93.4972385135585,91.2349515882617,92.6050690218921,94.1026392400464,90.6083087310198,95.6533147850855,95.377167085284,96.0569152694108,95.1435036469905,94.9948087317127,94.6825494096295,95.7696154509635,97.2443503785572,95.1636836712067,96.1283950393979,98.6753265167977,94.6590768551464,99.2783906089027,98.7654993618483,99.8230388414343,99.1617713110635,99.2394112989692,98.9892852093413,99.8224015775116,101.606103296922,100.167373780956,100.550688030411,103.82335690502,98.8857298219157,102.718978527122,103.227408926718,102.286913587586,101.104045536552,100.643091299191,99.3880000035931,99.503875826856,100.506291977135,97.1057454753876,97.9355693132911,100.290153296714,95.5739754267195,99.356667860731,98.5117621099922,97.3391964923736,95.6555452088147,95.1957592886452,95.6861338771004,96.3844689256369,98.0092795070073,97.0046329329988,97.5491749548765,101.558945766648,96.5753294704612,101.067721492963,100.935170597058,99.6745563474641,98.5909952577046,97.7203865287535,98.4960429332344,99.5252241682638,100.307040790663,97.4810939258101,98.1348204997633,101.208131977246,96.7895563591149,101.494369689156,101.744708200091,100.787112945703,100.346975996481,99.8077445072914,99.6304789261496,101.510301287221,101.90975955605,100.01506770345,101.610033091111,103.970246239184,100.643091299191,104.462107776792,103.819108478869,104.039495585442,103.017111832254,103.415295573237,103.674555779089,104.929647074686,105.507645452502,104.67421045237,105.00441937494,108.626202668491,104.592109617006,108.425358322212,105.817674350856,105.926115428355,105.673971336305,106.245809496202,105.537809278172,106.374536808571,107.822612862068,105.721766130502,107.264900719123,110.959225889198,107.619007038792,111.326608540588,110.240179763177,108.876328758119,107.57471719617,108.670917353728,107.410090682826,109.066870670982,110.337893564645,109.264847329609,110.369544339468,113.680767681396,110.173267051302,113.858882947768,113.350452548172,111.492828213738,110.987265501793,111.021146700346,110.217132051309,110.087661264363,110.492111433919,108.919981336818,108.611014545002,111.526284569675,108.47995059825,109.296604315086,103.827605331171,103.375147946112,101.191669325912,98.9454202093343,96.1758712016329,95.3699447608277,94.3507473272526,91.7373279805928,91.9611138280858,94.3522342764054,93.6297894094632,96.9167967223311,96.1122510200248,95.5673903661857,95.2315522789656,96.0825120369693,97.0627301606108,97.1153915171059,98.3418668777967,97.2417569667495,99.1740907579774,102.236844723411,100.488553105607,103.317547343659,102.174479721516,101.074805929363,100.067044194199,101.704888702004,101.570455052814,100.667579911746,102.473330193883,100.445595394512,101.24859930877,104.340791299573,103.200558450244,105.807459141338,104.704514457478,104.319966622367,103.645726811672,104.688923207004,105.06180486169,105.307012710049,105.403394985705,104.477732632405,105.291421459575,107.981729889218,106.382154814394,108.171768697439,107.115270675829,106.122991161415,106.113069456568,106.65004084526,106.725162324815,107.041130463786,107.721912057897,106.700521607283,106.933082007706,109.808631937732,107.788856308183,110.687193450439,110.097233616081,108.815480185529,108.551628254435,108.849933578184,108.805667510405,109.48383239115,111.05080757862,109.470312705425,110.402952961034,113.524037828589,111.6274657867,114.270346286579,113.353406311167,112.165963591523,112.426980749803,112.304540370209,111.676747221764,111.233868484531,111.172266690702,108.669816474809,108.888093981441,111.499573920926,110.191980445883,112.623888430611,110.196995813168,109.115748044302,107.710900055814,107.008857665603,108.053907566236,107.438107687386,106.438850270662,105.971221786174,105.86698937042,109.459736822236,107.581045655016,109.997144329823,108.38666628264,107.717550868953,106.463163899023,107.684514862705,107.580827595568,107.068169835237,108.25648479267,106.586258456959,107.830505662595,111.073049642233,109.120218262969,110.917028107772,109.342420839651,110.149458853682,109.897709221907,110.53455183741,110.675418240291,110.760025305799,111.643166066897,111.131053455184,110.529536470125,114.174727218989,112.649510415655,115.815079410436,114.197623460943,113.103728244141,112.558252537008,112.735425837846,112.375082601373,111.841927253006,112.202488548926,109.668419713192,110.254781566672,113.223333850922,110.925205337041,114.272962999946,112.258420797129,110.586013866945,110.73124145877,110.668876456876,109.953205351215,110.598552285159,106.279557844493,89.5111134451548,92.392660009978,100.920746929927,103.355925806363,107.043311058258,104.341336448191,105.455729253029,105.433487189416,107.175346053528,108.540943341523,105.416369522812,108.208184625119,106.365800355855,107.511920810258,110.516234843846,109.870778880179,111.792645817942,108.524479853261,110.132232157354,110.679779429235,110.78008677494,112.062930502728,112.740441205131,113.544535416625,111.301466913159,112.278264206823,114.77297331234,113.877076073582,115.443615142157,...,...,...,...,...,...,...
"Industrial Production, Seasonally adjusted, Index",AIP_SA_IX,2010=100,67.5627387960091,68.1371767321426,68.4288144535642,68.4199769468544,68.4906770005324,68.7116146682761,68.6055645877591,68.782314721954,68.888364802471,68.4199769468544,67.598088822848,67.1297009672315,66.8645757659391,66.3961879103226,66.0426876419327,66.1840877492887,66.8645757659391,67.5185512624603,67.5185512624603,67.5450637825896,68.1283392254328,67.9869391180769,67.8897265442697,67.6599513698163,67.2711010745875,67.8720515308502,68.366951906596,68.8353397622125,69.1004649635049,69.0651149366659,69.5953653392507,69.3567526580876,69.445127725185,69.96654062106,70.3112033827401,70.3200408894499,70.594003597452,70.8679663054541,70.9563413725516,71.115416493327,70.8679663054541,71.0182039195198,71.2833291208122,71.2037915604245,71.6103168690728,72.0698672179796,72.3968549662402,72.8475678084373,73.2275805969564,73.2894431439246,73.9345811337361,74.2969189088357,74.7564692577425,75.2690446469077,75.3839322341344,75.7992950494925,75.9230201434289,76.5416456131112,77.0188709754375,77.8672716195731,78.2826344349312,78.2826344349312,78.4104027020566,78.3710893890949,78.5283426409416,78.7740508469521,78.4890293279799,79.5504887779451,79.8649952816385,79.7077420297918,79.9141369228406,80.2679567394956,79.6979137015514,81.0247380140078,80.8969697468824,81.5358110825096,82.0567124792517,82.7840087690427,82.7053821431193,83.2262835398615,83.6882149671612,83.6980432954016,84.3958546004713,84.9462409819347,85.0346959360985,86.0647116086511,86.6699785502542,86.6912159868017,87.2115331822149,87.6362819131644,88.2946424461362,89.2290896542252,90.0361122430293,90.8006599587385,91.5970638292689,91.8837692226598,92.3509928267043,92.4571800094417,92.5315110373579,92.8606913038438,93.4553395271731,92.8713100221175,92.5421297556316,94.4428803266308,94.272980834251,95.0269098316864,94.9738162403177,95.3348526616249,95.4216075899213,95.9138913690918,96.0684999071574,96.3420380898889,97.0018852434191,96.8416487846683,97.4550921393422,97.8700716494799,97.4598705625654,98.751531453383,99.2255510371227,99.9810728422992,100.002628840395,100.299846764877,100.663325491387,101.388371575118,101.561138121431,101.658617955184,101.504965101763,101.208278113195,101.598834571303,101.299386715984,101.326889196313,101.044856038962,100.394459544696,99.7520270891347,99.5187338486606,99.2286304654221,98.6224078391743,98.0328566006164,97.4727192116767,97.3518781977215,96.9795859350443,96.5575980708459,96.0845341717508,96.1071520416739,96.7146489141145,96.6890578030748,97.4777100092653,97.8802656190228,98.2940770701504,99.2293737757012,98.9916206735522,99.0045755098462,99.1420879114911,98.8426400561717,99.3586035770926,98.871204408328,99.6246024698498,99.7662561716214,99.5354052363504,98.8238449248271,98.8515597795216,99.0169994102264,99.4530039825461,99.311137906409,99.8956983473783,100.036714926054,100.807527685544,100.735745150014,100.993036693786,101.604887240719,101.099542438072,101.555828762295,102.360833794627,101.516964253413,102.299139041456,102.3745319412,102.460755933583,103.436297581391,103.653237995723,104.415768154961,104.896477531213,105.617913250731,105.450349876371,105.628001033091,105.765938183466,106.171573221523,105.83591553689,106.127186979139,104.14615889799,105.459694348452,106.528680717069,107.189271180878,107.315633928336,107.320093790011,107.54117550447,107.972507840749,107.863878352809,108.278326927033,108.238612920689,108.664211149101,108.44387274492,108.381859430202,108.277795991119,109.403804876866,108.834747764577,109.931767549437,110.171432020875,110.945855144579,110.999798233409,111.031123452317,110.989710451049,111.237020399645,111.667609425645,111.196138334291,111.850994690232,111.863630964978,111.562271740369,111.18796192122,110.924830082397,110.084677092579,109.464437758209,109.20767715035,108.629700314711,106.967977092053,102.328977639805,103.302289356776,102.003938673446,99.0217778334494,96.6699441101818,96.0465191603306,94.5235825855111,93.7692288393447,92.8240567257992,92.4616398711165,93.4790192689234,94.5267682009932,95.2420450639122,95.5469084655513,95.9268462053856,96.2196042681926,97.3356315587625,97.6522538760748,98.377083478517,98.747021330666,100.116216599539,100.314977785648,100.739866618488,101.083419277527,101.316088707673,101.083092188356,101.128884672265,102.105463906482,101.917496663009,101.464914280377,102.514543429401,102.162050333027,102.32330529422,102.579961263556,103.129143981291,103.753230119134,103.67145782644,104.330760565003,104.374917603058,104.891718492886,105.515913660452,105.814437043648,105.291530489299,106.101076186973,106.267891664069,106.257860929498,106.498707588914,106.068694359066,106.009055100261,106.341486727494,106.831357275594,107.080490194003,107.030554580598,107.5532430755,108.004517101448,107.931467186642,108.018581935792,108.164572735682,107.852638696484,108.484138855531,109.091652475388,108.939010862359,109.221833965357,109.428554321289,109.071154887353,109.893020943792,110.968490137307,111.029001633901,111.463812171588,111.834186142631,112.134781090575,111.918030000074,112.285133079409,112.29091165476,113.027734526797,112.969948773293,112.134781090575,111.460214190709,111.095291705845,110.431736808062,109.946445508352,109.581741082936,110.319654252209,110.023529522932,109.649012422392,109.202862793452,108.386339193469,107.757237688341,108.462441940536,107.893960961726,107.062173200439,107.358625018887,107.164115991998,107.634252160129,107.829524395083,107.639485586861,107.50984924551,107.57995535778,107.098589128119,107.82581738448,107.660964442409,107.249922384465,108.05554301209,109.069301382052,109.189997286068,109.361392011556,109.257813774143,108.708631056408,108.755513837553,110.10693726148,110.417671973719,110.522994686709,110.508275674024,110.828168883044,111.535226640541,112.74709201827,111.799950809423,112.632610808498,112.897444007104,113.571792847523,113.534286622607,113.377174790911,113.295729587387,113.245903003705,112.630212154579,112.004054451988,112.151789727456,111.487580651331,111.703023385149,111.62899220283,111.272246947236,111.960660621998,111.552998485486,110.626463894398,111.19679837851,110.793715490389,110.220110114569,110.474040340816,106.246957957139,91.8049897998151,93.5948217423077,99.3938946807396,103.45688733041,104.551218666107,104.234487319071,105.372212484757,105.934260709876,107.160299951673,108.227809975366,104.911779962027,107.78907436763,107.966247668468,108.788222754631,109.239387750856,109.980898901008,109.942302378856,108.865960947552,110.512745892691,111.167796472034,110.947229341207,111.36950146068,112.19016819016,112.923938229937,113.671882133781,113.594580059754,113.58476738463,114.174727218989,113.986650945792,...,...,...,...,...,...,...
