TIME,Value
1960-01,101.644029908115
1960-02,101.37960871528
1960-03,101.15117162914
1960-04,101.02516239478
1960-05,101.056975819451
1960-06,101.147021345794
1960-07,101.166042176421
1960-08,101.022202296835
1960-09,100.799198194065
1960-10,100.614036915397
1960-11,100.553978351509
1960-12,100.575634694282
1961-01,100.625464596564
1961-02,100.678552425261
1961-03,100.749213954926
1961-04,100.874169896586
1961-05,101.078145725591
1961-06,101.285177097485
1961-07,101.384579680139
1961-08,101.293863444215
1961-09,101.129275741657
1961-10,101.046717078288
1961-11,101.156528354245
1961-12,101.356249064023
1962-01,101.498809761511
1962-02,101.470815091217
1962-03,101.327986831774
1962-04,101.141851778632
1962-05,100.961263215885
1962-06,100.817229181815
1962-07,100.750397521695
1962-08,100.801986413131
1962-09,100.927512516246
1962-10,101.082189432475
1962-11,101.232388952897
1962-12,101.337951492235
1963-01,101.338973918668
1963-02,101.187234365938
1963-03,100.982157157151
1963-04,100.852606696358
1963-05,100.892019014989
1963-06,101.0180065715
1963-07,101.122310800203
1963-08,101.134179421006
1963-09,101.105427078164
1963-10,101.11798592459
1963-11,101.232077171001
1963-12,101.393071444605
1964-01,101.522878568641
1964-02,101.564434314729
1964-03,101.557374304791
1964-04,101.55618786812
1964-05,101.596987653266
1964-06,101.65840566786
1964-07,101.705403327691
1964-08,101.712463276326
1964-09,101.701201559494
1964-10,101.705104402409
1964-11,101.752586640473
1964-12,101.834885602315
1965-01,101.943188705947
1965-02,102.070944331136
1965-03,102.190168549992
1965-04,102.260676848384
1965-05,102.247847265778
1965-06,102.189099443454
1965-07,102.126143408591
1965-08,102.083146610158
1965-09,102.049109155253
1965-10,102.000715404884
1965-11,101.916226238311
1965-12,101.803727600763
1966-01,101.668777513968
1966-02,101.510062569744
1966-03,101.337505860753
1966-04,101.157733216967
1966-05,100.973381205702
1966-06,100.78962106764
1966-07,100.617203940494
1966-08,100.474914209458
1966-09,100.380679846747
1966-10,100.377019990217
1966-11,100.508437154868
1966-12,100.708234936961
1967-01,100.900785152985
1967-02,101.035414362399
1967-03,101.127537955237
1967-04,101.19655365773
1967-05,101.246240654515
1967-06,101.268266601184
1967-07,101.236820064872
1967-08,101.130904013754
1967-09,101.010101790729
1967-10,100.955302535425
1967-11,101.024312779327
1967-12,101.141465071963
1968-01,101.20185644476
1968-02,101.127444827371
1968-03,100.979906382633
1968-04,100.841653217176
1968-05,100.76997791938
1968-06,100.74191281805
1968-07,100.72590528021
1968-08,100.709882812439
1968-09,100.717260598705
1968-10,100.794760690469
1968-11,100.976830941544
1968-12,101.179941638656
1969-01,101.282402832874
1969-02,101.183141223791
1969-03,100.961126547808
1969-04,100.704687526073
1969-05,100.463580878109
1969-06,100.235484682399
1969-07,100.001623998404
1969-08,99.7493860363092
1969-09,99.5006998150716
1969-10,99.2943284633638
1969-11,99.1646097784594
1969-12,99.0778819167947
1970-01,98.9977374436821
1970-02,98.9072865585755
1970-03,98.8248369329921
1970-04,98.7855605230545
1970-05,98.8151591225098
1970-06,98.8603567001032
1970-07,98.8479396736603
1970-08,98.7281982072418
1970-09,98.5759821111242
1970-10,98.500932242942
1970-11,98.5901865373195
1970-12,98.773919808777
1971-01,98.9657447216557
1971-02,99.1086337829624
1971-03,99.2127496937939
1971-04,99.2971661222462
1971-05,99.3703616268007
1971-06,99.4304130620879
1971-07,99.4683518286978
1971-08,99.484664193466
1971-09,99.5279042772285
1971-10,99.6743526507315
1971-11,99.9807472103387
1971-12,100.333805765207
1972-01,100.578967767935
1972-02,100.602472049956
1972-03,100.521331109062
1972-04,100.490607158953
1972-05,100.615333401698
1972-06,100.812018309407
1972-07,100.949836003313
1972-08,100.919857967885
1972-09,100.76315197875
1972-10,100.519453350508
1972-11,100.202564138263
1972-12,99.8627449782575
1973-01,99.5490488047572
1973-02,99.2945845134816
1973-03,99.0756576397436
1973-04,98.8688117036223
1973-05,98.6723321363896
1973-06,98.5156692705283
1973-07,98.4544659203316
1973-08,98.5257682623404
1973-09,98.6077771989062
1973-10,98.5298528037901
1973-11,98.1718121732035
1973-12,97.7231606085325
1974-01,97.4488634074066
1974-02,97.5457285888527
1974-03,97.8244352549044
1974-04,98.0276595003872
1974-05,97.9663588393069
1974-06,97.7315390505982
1974-07,97.4453187800079
1974-08,97.1855132708141
1974-09,96.9616185752196
1974-10,96.7771941174423
1974-11,96.6563344419986
1974-12,96.6306707253779
1975-01,96.7836786971214
1975-02,97.1997906008698
1975-03,97.7348354682553
1975-04,98.2123412536956
1975-05,98.5009040043435
1975-06,98.6490961131887
1975-07,98.7137457208273
1975-08,98.7285867578239
1975-09,98.7564514894895
1975-10,98.8704004395632
1975-11,99.1218286180162
1975-12,99.4224875316565
1976-01,99.6556705808903
1976-02,99.7381677212962
1976-03,99.7496959896063
1976-04,99.7980248472828
1976-05,99.9550703949828
1976-06,100.156188998864
1976-07,100.300990284858
1976-08,100.310077077967
1976-09,100.238102658245
1976-10,100.155899895125
1976-11,100.113671594571
1976-12,100.11440918964
1977-01,100.160150080354
1977-02,100.255269079164
1977-03,100.364766559555
1977-04,100.444049688297
1977-05,100.454335177322
1977-06,100.408266386046
1977-07,100.311279355639
1977-08,100.159323123618
1977-09,99.9874982775492
1977-10,99.8366773601423
1977-11,99.739993887184
1977-12,99.688327438014
1978-01,99.6544644134411
1978-02,99.5722417698703
1978-03,99.4308456397446
1978-04,99.4295566901588
1978-05,99.4543546984249
1978-06,99.4176468385254
1978-07,99.3906022221063
1978-08,99.2893333023363
1978-09,99.1920313504971
1978-10,98.9567506088011
