Indicator,Indicator_Code,Base Year,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Financial Market Prices, Equities, Index",FPE_IX,,25.1269737127468,24.5168152686539,25.3228884052936,25.3991347648152,26.2014565430529,27.1487683235297,27.5183709100913,25.1518264621603,23.9213809062891,23.0759185064279,23.6200530426447,24.4862416976772,24.2675375028379,26.8507228984871,27.385947958499,27.4368726488068,27.4638824293015,27.8363923186248,27.9306451984762,28.1923024470189,28.2322544140007,28.3203175524887,28.0050158787967,27.7472975565762,30.2646466122694,30.5479679555839,30.4555907549335,30.8931867125322,31.6688738461154,31.3031164019158,31.224525443393,31.0185758671206,30.8916861691714,29.9986753015643,30.3718416786078,30.9782487642986,30.7397561538885,31.5794977321866,32.2686222706425,32.1080641310349,32.619655633114,32.9539016667364,33.1003922123363,33.734184214362,33.6899181852178,34.0042820193093,34.4627917999995,35.1136524827545,36.2790119703502,36.6284510055008,35.7971499836073,34.3388094048118,34.7749986030098,35.0525053408011,34.8716898658225,35.6142712615076,36.3938035374528,36.2765735873889,35.5669103616817,35.3594602420486,36.3174633939712,37.0795518533469,38.1023597216648,39.6768048430037,41.1858825441869,42.3036935640367,43.9355344689268,43.5089112346541,44.516995021244,44.6454790465141,46.2899807860112,48.1683797218759,48.5741829170172,51.7568353853134,52.6338091957517,52.3301367331061,52.6757306258946,53.189666726975,51.5461028270784,53.3208704870865,54.4323041976528,56.2348319098361,59.2560821828842,60.3581374974454,62.9011833581926,64.8748667974692,64.7214362388255,62.4366714040592,67.9217200916113,71.2720582804789,74.9394800382795,74.5435241589435,73.7759962298848,73.862558825012,72.0013223538367,74.181424289186,73.2297984465469,78.0621107721429,81.6808586546769,84.7566911924748,85.1564922141729,83.2141326175533,85.3165814339802,79.5149180972954,74.1811429373058,76.5696328318887,84.4594898230727,84.5807524834188,87.6491760883726,87.4342232519354,91.4734046273787,97.9432786794281,101.791891048047,100.386538406681,103.652095895662,102.557168162065,100.480416150692,97.5060578576695,101.378585136102,105.472817696095,105.800123716674,98.8663941982116,98.3173828960721,102.64007318275,99.2259619010478,99.2509084344214,100.001367682751,103.298436582309,102.861028192631,97.9194575535751,100.030534494327,99.9025193888568,100.186966139692,101.048184244842,94.5466112142952,95.9833814822789,103.20887290046,100.979065466284,97.9526570754332,96.735153706049,84.804708580021,86.4758449641726,91.175077850456,93.5952667235362,93.0693262755693,92.7621838064018,98.482067529922,95.3330835032842,94.5387333616509,89.0238613748025,80.8091367460014,81.4558709345142,76.5350265506299,75.4784564566935,80.8954179892484,79.9663940809817,79.4780610009953,74.2410708877785,74.8183111618934,78.1416395702663,80.8737538944766,85.3253033422649,85.8534946052731,87.0763436603801,89.024799214403,90.8059441836946,91.5537774811426,94.9530708971569,98.848762813722,99.4250652482364,96.8200281898953,97.7078809396996,94.5699634203479,97.2061367534259,95.2103202995772,94.0915714401269,95.7034363615262,93.7989654847673,97.6456083902257,100.099184353084,98.8436984798792,100.572230647582,100.180870182289,96.4398280158479,97.3213034563688,98.348237818929,98.8987496644293,98.9821236049147,98.7783310597236,96.8254676595783,100.304289873716,101.547302480234,101.966422997703,102.892164467368,104.517065359214,105.363278030756,106.293614914463,103.143317912385,103.467435278321,105.575886268192,108.166668164605,112.194876816722,114.277162081738,116.082221960843,117.350837588455,118.463021570702,115.059132740645,119.619565366052,125.743282821553,126.422747612124,128.276668934415,124.167243372893,127.1493857346,130.371708817998,123.800266737213,125.736061456629,117.587454519664,116.475645673257,114.359035478863,118.69888823023,120.160511247628,113.072225763001,106.185763360404,108.13993973599,104.232243472539,86.0628204041073,80.7906613058713,80.6125655657341,78.7428885381543,72.1245544773439,67.8571029431361,74.953266280407,78.7632396574854,80.5885568719611,81.4021327254049,87.923025251722,90.3605641574117,92.4460380770693,95.9180140621233,97.8489320156166,98.20343538461,95.7957197782166,100.138010912545,103.651439407942,98.4749399489581,95.277657182894,95.8682147793361,97.0701500113518,99.3928973499388,103.579600894543,105.02218576805,107.525748581615,110.6872996589,114.322647302363,113.304903767888,116.619228916096,117.980127960398,113.453363776649,117.345585686692,106.225527759466,104.807795635373,108.000951907195,110.70568131507,113.250509071058,117.707216636649,120.878615029739,122.664449197033,122.207533743664,119.30332585276,117.651040044579,120.175704249156,123.184293687597,125.844006794648,125.489034505854,120.947921376217,123.271325202525,127.689862696375,130.991151874136,135.220151984723,137.636495715441,142.2907123009,141.011217733922,144.335483981895,142.508009736338,143.206606454759,143.389016257059,148.842928669874,150.952505067265,152.340038756221,149.664569943882,152.948790440914,153.801005285898,155.374231215757,157.967357711171,159.32262971787,157.32399974522,160.353034086953,156.636750885965,165.519123526371,166.506293489869,164.518261104705,168.299161454167,168.171052564737,168.534559193896,169.980707857884,168.128568430834,166.888744478958,160.010347496926,153.242521803794,161.142226110783,166.220533763593,164.523888142308,152.917091462416,152.866917043789,162.266320655956,167.35156832181,165.925583209232,166.512201879352,172.010849241112,173.45521600986,171.318911183854,170.541911074831,175.350964978334,184.870880979167,186.706514429248,191.545672983928,195.286902718289,193.989214063061,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Prices, Producer Price Index, All Commodities, Index",PPPI_IX,2010=100,63.6957152369839,63.4185363195036,63.3076647525114,63.1967931855193,63.4739721029996,63.3631005360075,63.3631005360075,64.582687772921,65.5805318758503,66.966426463252,66.5783759787795,65.7468392263385,65.9685823603228,64.9707382573935,64.3609446389367,64.3055088554407,64.582687772921,64.4718162059289,64.3055088554407,64.4163804224328,64.3055088554407,64.5272519894249,64.5272519894249,64.2500730719446,64.0837657214564,64.3055088554406,64.3609446389367,64.4718162059288,64.9707382573935,65.414224525362,65.358788741866,65.2479171748738,65.4142245253621,65.4696603088581,65.3033529583699,65.1924813913778,65.4142245253621,65.6359676593463,65.8022750098345,66.134889710811,66.3566328447952,66.2457612778031,66.0794539273149,65.8022750098345,65.8022750098345,66.0240181438188,65.9685823603227,65.7468392263385,66.0240181438188,66.134889710811,66.3566328447952,66.3566328447952,66.4675044117874,66.8001191127638,66.9109906797559,67.1881695972363,67.0772980302441,67.021862246748,67.3544769477245,67.5762200817088,68.1305779166694,68.4631926176458,68.6849357516301,69.0729862361026,69.2392935865908,69.4610367205751,69.4610367205751,69.350165153583,69.405600937079,69.4610367205751,69.5164725040712,69.6827798545594,70.0153945555358,69.9599587720397,70.0708303390319,70.6251881739926,71.013238658465,70.957802874969,70.957802874969,71.1241102254572,71.0686744419611,70.957802874969,71.0686744419611,71.5675964934257,71.9002111944021,71.2349817924493,70.5697523904965,70.4034450400083,70.6251881739926,70.5143166070004,70.3480092565122,70.5143166070004,70.6806239574886,70.8469313079768,70.9023670914729,70.2925734730161,69.5164725040712,69.2947293700869,69.1284220195987,69.2392935865908,69.350165153583,69.1838578030948,69.2392935865908,68.8512431021184,68.6294999681341,68.7403715351262,68.5186284011419,68.0751421331734,68.1305779166694,67.797963215693,67.9642705661812,68.5186284011419,69.1284220195987,69.405600937079,69.6827798545594,70.3480092565122,70.957802874969,70.7914955244808,71.1241102254572,70.8469313079768,71.1241102254572,71.9556469778982,72.5100048128589,72.4545690293628,72.9534910808274,74.173078317741,74.1176425342449,73.6741562662764,74.5611288022135,75.0600508536781,74.8383077196938,75.5035371216467,77.6100968944973,76.1687665235995,75.3372297711584,75.6144086886388,75.8361518226231,75.1154866371742,73.9513351837567,73.9513351837567,73.8958994002606,72.2328258953785,71.9556469778982,71.013238658465,71.2349817924493,71.1795460089532,71.9556469778982,72.5100048128589,72.5100048128589,72.5654405963549,72.7317479468431,72.8980552973313,73.3415415652999,73.8404636167645,73.7850278332684,73.6741562662763,75.004615070182,76.2796380905915,78.27532629645,75.836151822623,75.7807160391269,76.5013812245758,76.3350738740876,76.5013812245758,76.7785601420562,77.2220464100248,77.0003032760405,77.3329179770169,78.3861978634422,78.7742483479147,79.3286061828754,80.2710145023086,81.37973017223,81.6014733062142,81.7123448732064,82.0449595741828,81.8786522236946,83.1536752441042,83.8743404295531,83.2645468110963,83.6525972955688,84.0406477800413,85.2047992334588,85.9254644189077,85.5374139344352,85.5374139344352,86.6461296043566,87.3667947898055,89.9168408306247,92.1342721704675,90.7483775830657,90.3603270985932,91.0809922840422,89.6950976966404,89.9168408306247,91.0809922840422,91.9125290364832,92.0788363869714,92.4668868714439,93.0766804899007,91.6907859024989,89.9168408306247,91.2472996345304,91.801657469491,90.914684933554,92.4668868714439,93.8527814588456,95.0169329122631,96.0702127986884,96.3473917161687,97.0680569016177,95.5712907472238,96.1810843656805,96.8463137676334,99.2300524579644,99.0083093239801,100.338768127886,101.281176447319,104.163837189115,105.826910693997,108.986750353273,111.148745909619,113.920535084423,110.317209157178,109.153057703761,103.332300436674,98.0104652210509,94.7397539947828,94.906061345271,93.8527814588457,93.1875520568928,93.7419098918535,94.6843182112867,96.513699066657,95.6267265307199,97.0126211181216,96.513699066657,97.1234926851138,98.3430799220273,98.635477582846,99.0253411306043,99.2202729044834,99.0253411306043,99.1228070175439,99.317738791423,99.4152046783626,99.9025341130604,100,100.09746588694,100.779727095517,101.559454191033,102.534113060429,103.216374269006,103.411306042885,103.313840155945,103.606237816764,103.703703703704,103.898635477583,103.606237816764,103.703703703704,103.313840155945,103.898635477583,104.385964912281,104.970760233918,105.263157894737,105.068226120858,104.678362573099,104.678362573099,104.970760233918,105.458089668616,105.555555555556,105.458089668616,105.263157894737,105.555555555556,106.042884990253,106.335282651072,106.237816764133,106.042884990253,106.432748538012,106.72514619883,106.72514619883,106.627680311891,106.92007797271,106.627680311891,106.530214424951,106.92007797271,107.309941520468,107.992202729045,108.187134502924,108.284600389864,108.382066276803,108.771929824561,108.771929824561,108.284600389864,108.576998050682,107.992202729045,107.504873294347,106.92007797271,106.72514619883,107.017543859649,107.017543859649,107.407407407407,107.797270955166,107.992202729045,107.699805068226,107.115009746589,107.017543859649,106.627680311891,106.335282651072,106.92007797271,106.82261208577,106.92007797271,107.212475633528,107.407407407407,107.992202729045,107.992202729045,107.699805068226,107.797270955166,108.187134502924,107.992202729045,108.187134502924,108.771929824561,108.966861598441,109.259259259259,109.844054580897,109.844054580897,110.038986354776,110.136452241715,110.331384015595,110.623781676413,111.208576998051,111.208576998051,110.916179337232,111.598440545809,111.988304093567,112.475633528265,112.768031189084,113.255360623782,113.64522417154,113.840155945419,113.64522417154,113.64522417154,114.619883040936,114.132553606238,113.840155945419,113.74269005848,114.132553606238,114.717348927875,115.497076023392,115.594541910331,115.497076023392,115.692007797271,115.789473684211,115.302144249513,115.789473684211,115.302144249513,115.399610136452,115.98440545809,115.399610136452,115.107212475634,113.74269005848,114.327485380117,114.717348927875,115.399610136452,115.497076023392,115.692007797271,116.471734892788,116.276803118908,116.374269005848,117.836257309942,118.810916179337,119.883040935673,121.150097465887,122.319688109162,123.391812865497,124.584795321637,125.492202729045,125.844054580897,126.800194931774,127.768031189084,128.01559454191,129.701754385965,131.163742690058,133.719298245614,129.701754385965,131.170565302144,133.860623781676,134.67738791423,135.894736842105,137.33820662768,136.85477582846,136.433723196881,...,...,...,...,...,...,...
"Prices, Consumer Price Index, All items, Index",PCPI_IX,2010=100,58.4254925924822,58.7006518982553,59.0216710883238,59.1133908569149,59.2509705098014,59.57198969987,59.8012891213475,60.3516077328937,60.8560664601443,61.2229455345084,61.360525187395,61.360525187395,61.727404261759,61.8191240303501,61.9108437989411,62.0025635675321,62.1860031047142,62.3694426418962,62.4611624104872,62.6446019476693,62.9197612534423,63.0114810220334,63.1949205592154,63.2407804435109,63.332500212102,63.5617996335795,63.8828188236481,63.9745385922391,64.0662583608301,64.2955577823077,64.4331374351942,64.6165769723763,64.8000165095583,65.0293159310359,65.1210356996269,65.0751758153314,65.3961950054,65.6254944268776,65.8547938483551,66.0382333855372,66.1299531541282,66.2216729227192,66.2216729227192,66.4051124599013,66.5426921127878,66.8178514185609,66.8637113028564,66.8637113028564,67.0471508400384,67.276450261516,67.5057496829935,67.5974694515846,67.6433293358801,67.8726287573576,68.0560682945397,68.3312276003128,68.5146671374948,68.5605270217903,68.6522467903813,68.6522467903813,68.9274060961544,69.2025654019275,69.4318648234051,69.6611642448826,69.7987438977691,69.9363235506557,69.9363235506557,70.1197630878377,70.2573427407243,70.4866421622018,70.4407822779063,70.3949223936108,70.8076613522704,71.036960773748,71.4038398481121,71.6789991538851,71.8165788067717,71.8624386910672,72.0000183439537,72.1375979968403,72.3668974183178,72.5961968397954,72.7337764926819,72.7337764926819,72.9630759141595,73.192375335637,73.3758148728191,73.4675346414101,73.4216747571146,73.5133945257056,73.6051142942966,73.7426939471832,73.9261334843652,74.1095730215473,74.0637131372518,73.9719933686607,74.1095730215473,74.2471526744338,74.3847323273203,74.5223119802069,74.6598916330934,74.7516114016844,74.8433311702754,74.9350509388665,75.0267707074575,75.2102102446395,75.2102102446395,75.164350360344,75.3477898975261,75.4395096661171,75.6688090875947,76.2191276991408,76.2191276991408,76.2191276991408,76.4484271206184,76.6318666578004,76.9987457321645,77.136325385051,77.1821852693466,77.1821852693466,77.4114846908241,77.8700835337793,78.5121219139164,78.5579817982119,78.6497015668029,79.0624405254625,79.2458800626446,79.2458800626446,79.6586190213042,79.7961986741907,79.8420585584863,79.7961986741907,80.3006574014414,80.62167659151,80.805116128692,81.1261353187606,81.4930143931247,81.6305940460112,81.4012946245336,81.4012946245336,81.7681736988978,81.4930143931247,81.3554347402381,81.0344155501696,81.2178550873516,81.5388742774202,81.9974731203753,82.4560719633304,82.4560719633304,82.5019318476259,82.593651616217,82.86881092199,83.0063905748766,83.1439702277631,83.1439702277631,82.9605306905811,83.3274097649451,83.9694481450823,84.4739068723329,84.2904673351509,84.1528876822644,84.2446074508554,84.3363272194464,84.657346409515,84.9325057152881,84.8407859466971,84.6114865252195,84.5197667566285,84.9325057152881,85.3911045582432,85.9414231697893,86.2165824755624,86.721041202813,86.9962005085861,86.8586208556996,86.9044807399951,87.0879202771771,87.5465191201322,87.5923790044278,87.2713598143592,87.4547993515412,87.9592580787919,88.6471563432245,89.2433348390662,89.1516150704752,89.1974749547707,89.6102139134303,90.0688127563854,91.1694499794777,91.3528895166597,90.6191313679315,90.2522522935675,90.9401505580001,91.1235900951822,91.6280488224328,92.4076668554565,92.8662656984116,93.0497052355937,93.3248645413668,93.5083040785488,93.0497052355937,92.5452465083431,92.4076668554565,92.5452465083431,92.8277433956034,93.3244059425238,94.1741895985196,94.7859604550218,95.3651707936741,95.549986127385,95.5256803887084,95.3504956306995,95.6132727677128,95.8178078516708,96.3869290157781,96.3222665789214,96.8010437709666,97.082164861698,97.9236937385207,98.5175792401476,99.3471845470534,100.348305821224,100.87523589178,100.472586107665,100.33363065825,99.320127215319,97.4178592147412,96.4103175567688,96.8299354980727,97.3114642831756,97.5481012861404,97.7916172717496,98.07411415901,98.9165602335185,98.7597194292279,98.9812226703752,99.0431335141741,99.1385220735088,99.2086876964809,99.033961537315,99.3724074834159,99.3971718209355,99.8053247911655,99.9786751538026,100.056178358262,99.9584968047126,99.9795923514885,100.117630603218,100.175872656273,100.300611541557,100.342802635109,100.51523580006,100.994012992105,101.492051335554,102.481707638652,103.141631373664,103.626828949511,103.515848029515,103.607567798106,103.893274877267,104.051032879244,103.836408620741,103.748816241737,103.492918087368,103.948306738422,104.405988383691,105.198905783161,105.516714781329,105.392893093731,105.238345283655,105.06682931639,105.651542841157,106.122982451715,106.081708555849,105.57908422397,105.294752941338,105.606141555705,106.471058973518,106.749428471192,106.638447551197,106.82830747218,107.084664225392,107.126855318944,107.255721593814,107.380460479098,107.103925376796,106.885173728707,106.876001751848,107.27360694869,107.670294947846,108.363696398394,108.720944897056,109.100664739023,109.303824026452,109.261174334057,109.078651994561,109.16074118745,108.886499079363,108.298575362694,107.684511511977,107.177759790512,107.643237616111,108.28390019972,108.504027644338,109.057097848942,109.439110685124,109.446448266611,109.291441857692,109.121301686956,109.07223161076,108.842014991596,108.47009132996,108.649403477555,108.738830251931,109.207059670588,109.724817764285,110.168741444265,110.530575931357,110.351722382604,110.453072726897,110.718601456969,110.856639708698,110.684206543747,110.72043585234,111.365684424378,111.716053940396,111.806856511301,112.138423474758,112.234270632935,112.336079576071,112.258576371612,112.594729323498,113.19090781934,113.119366399839,113.122117992896,113.055621160668,113.671519406757,114.186984506238,114.445175654822,114.900105707033,115.377965701393,115.561863837418,115.569660017748,115.633863855761,115.768233316747,115.972768400705,115.584335180722,115.215163112143,115.434831957919,115.922781126823,116.576743076877,117.194017119495,117.443494890062,117.466883431053,117.663163735838,117.657201950879,117.749380318313,118.018577839128,117.9552911988,117.847979069549,118.305202115975,118.629431497944,118.371240349361,117.57969874642,117.581991740635,118.225405917301,118.823418808514,119.198094063209,119.364106844358,119.413635519398,119.340718303368,119.453075019892,119.961202537886,120.617916080998,121.472285725423,122.470655406536,123.452515529303,124.599471235534,125.198859923276,125.457509670703,125.798248611019,126.843395374113,127.466631201689,127.858274613573,128.934147499146,130.111829327855,131.849001744969,132.585052887912,134.04660740041,135.887881754874,135.871830795371,135.823677916861,136.115805379823,136.667958386741,136.529920135011,136.110760792551,137.199015846883,137.964875914618,138.421640362201
Production,,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
