Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08
Central Bank Policy Rate,FPOLM_PA,8.25,8.25,8.25,8.25,8.25,8.25,8.0,8.0,8.0,7.75,7.5,7.0,6.75,6.25,6.0,5.75,5.75,5.75,5.75,5.5,5.25,5.0,4.75,4.0,4.0,4.0,4.0,3.75,3.75,3.75,3.25,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.5,3.75,4.25,4.25,4.25,4.75,4.75,4.75,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,5.75,5.75,5.75,5.75,5.75,5.5,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.25,5.0,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.0,5.0,5.25,5.25,5.25,5.5,5.5,5.5,5.75,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0161,5.5,5.3065,4.7833,4.2258,3.9667,3.75,3.6613,3.2667,2.5161,2.0833,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.5,1.75,1.75,2.0,2.25,2.25,2.5,2.75,2.75,3.0,3.25,3.25,3.5,3.75,3.75,4.0,4.25,4.5,4.5,4.75,4.75,5.0,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,4.75,4.5,4.5,4.25,3.0,3.0,2.25,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.625,0.625,0.625,0.875,0.875,0.875,1.125,1.125,1.125,1.125,1.125,1.125,1.375,1.375,1.375,1.625,1.625,1.625,1.875,1.875,1.875,2.125,2.125,2.125,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.125,1.875,1.625,1.625,1.625,1.625,1.625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.375,0.375,0.875,1.625,2.375,2.375
Discount Rate,FID_PA,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.79,6.5,6.0,6.0,5.98,5.5,5.5,5.5,5.5,5.2,5.0,4.58,4.11,3.5,3.5,3.5,3.5,3.5,3.5,3.02,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.24,3.5,3.5,3.76,4.0,4.0,4.4,4.75,4.75,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,4.63,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.56,4.75,4.75,4.86,5.0,5.0,5.24,5.34,5.5,5.71,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.52,5.0,4.81,4.28,3.73,3.47,3.25,3.16,2.77,2.02,1.58,1.33,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.83,0.75,2.25,2.25,2.25,2.25,2.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.25,2.25,2.5,2.75,2.75,3.0,3.25,3.25,3.5,3.75,3.75,4.0,4.25,4.25,4.5,4.75,4.75,5.0,5.25,5.5,5.5,5.75,5.75,6.0,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,5.75,5.25,5.0,5.0,4.75,3.5,3.5,2.5,2.25,2.25,2.25,2.25,2.25,2.25,1.25,1.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,2.0,2.0,2.0,2.25,2.25,2.25,2.5,2.5,2.5,2.75,2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.75,2.5,2.25,2.25,2.25,2.25,2.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,...,...,...,...,...,...,...,...,...,...,...,...
Money Market Rate,FIMM_PA,8.23,8.24,8.28,8.26,8.18,8.29,8.15,8.13,8.2,8.11,7.81,7.31,6.91,6.25,6.12,5.91,5.78,5.9,5.82,5.66,5.45,5.21,4.81,4.43,4.03,4.06,3.98,3.73,3.82,3.76,3.25,3.3,3.22,3.1,3.09,2.92,3.02,3.03,3.07,2.96,3.0,3.04,3.06,3.03,3.09,2.99,3.02,2.96,3.05,3.25,3.34,3.56,4.01,4.25,4.26,4.47,4.73,4.76,5.29,5.45,5.53,5.92,5.98,6.05,6.01,6.0,5.85,5.74,5.8,5.76,5.8,5.6,5.56,5.22,5.31,5.22,5.24,5.27,5.4,5.22,5.3,5.24,5.31,5.29,5.25,5.19,5.39,5.51,5.5,5.56,5.52,5.54,5.54,5.5,5.52,5.5,5.56,5.51,5.49,5.45,5.49,5.56,5.54,5.55,5.51,5.07,4.83,4.68,4.63,4.76,4.81,4.74,4.74,4.76,4.99,5.07,5.22,5.2,5.42,5.3,5.45,5.73,5.85,6.02,6.27,6.53,6.54,6.5,6.52,6.51,6.51,6.4,5.98,5.49,5.31,4.8,4.21,3.97,3.77,3.65,3.07,2.49,2.09,1.82,1.73,1.74,1.73,1.75,1.75,1.75,1.73,1.74,1.75,1.75,1.34,1.24,1.24,1.26,1.25,1.26,1.26,1.22,1.01,1.03,1.01,1.01,1.0,0.98,1.0,1.01,1.0,1.0,1.0,1.03,1.26,1.43,1.61,1.76,1.93,2.16,2.28,2.5,2.63,2.79,3.0,3.04,3.26,3.5,3.62,3.78,4.0,4.16,4.29,4.49,4.59,4.79,4.94,4.99,5.24,5.25,5.25,5.25,5.25,5.24,5.25,5.26,5.26,5.25,5.25,5.25,5.26,5.02,4.94,4.76,4.49,4.24,3.94,2.98,2.61,2.28,1.98,2.0,2.01,2.0,1.81,0.97,0.39,0.16,0.15,0.22,0.18,0.15,0.18,0.21,0.16,0.16,0.15,0.12,0.12,0.12,0.11,0.13,0.16,0.2,0.2,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.14,0.1,0.09,0.09,0.07,0.1,0.08,0.07,0.08,0.07,0.08,0.1,0.13,0.14,0.16,0.16,0.16,0.13,0.14,0.16,0.16,0.16,0.14,0.15,0.14,0.15,0.11,0.09,0.09,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.08,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.12,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.125,0.125,0.12,0.24,0.34,0.38,0.36,0.37,0.37,0.38,0.39,0.4,0.4,0.4,0.41,0.54,0.65,0.66,0.79,0.9,0.91,1.04,1.15,1.16,1.15,1.15,1.16,1.3,1.41,1.42,1.51,1.69,1.7,1.82,1.91,1.91,1.95,2.19,2.2,2.27,2.4,2.4,2.41,2.42,2.39,2.38,2.4,2.13,2.04,1.83,1.55,1.55,1.55,1.58,0.65,0.05,0.05,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.08,0.1,0.09,...,...,...,...,...,...,...,...,...,...,...,...
Treasury Bill Rate,FITB_PA,7.64,7.76,7.87,7.78,7.78,7.74,7.66,7.44,7.38,7.19,7.07,6.81,6.3,5.95,5.91,5.67,5.51,5.6,5.58,5.39,5.25,5.03,4.6,4.12,3.84,3.84,4.05,3.81,3.66,3.7,3.28,3.14,2.97,2.84,3.14,3.25,3.06,2.95,2.97,2.89,2.96,3.1,3.05,3.05,2.96,3.04,3.12,3.08,3.02,3.21,3.52,3.74,4.19,4.18,4.39,4.5,4.64,4.96,5.25,5.64,5.81,5.8,5.73,5.67,5.7,5.5,5.47,5.41,5.26,5.3,5.35,5.16,5.02,4.87,4.96,4.99,5.02,5.11,5.17,5.09,5.15,5.01,5.03,4.87,5.05,5.0,5.14,5.17,5.13,4.92,5.07,5.13,4.97,4.95,5.15,5.16,5.09,5.11,5.03,5.0,5.03,4.99,4.96,4.94,4.74,4.08,4.44,4.42,4.34,4.45,4.48,4.28,4.51,4.59,4.6,4.75,4.73,4.87,5.06,5.23,5.33,5.56,5.72,5.66,5.92,5.74,5.93,6.11,5.99,6.1,6.18,5.83,5.27,4.93,4.5,3.91,3.66,3.48,3.54,3.39,2.87,2.22,1.93,1.72,1.66,1.73,1.81,1.72,1.74,1.71,1.68,1.63,1.63,1.59,1.25,1.2,1.17,1.16,1.12,1.14,1.08,0.94,0.9,0.95,0.94,0.92,0.94,0.9,0.89,0.92,0.94,0.94,1.03,1.27,1.35,1.48,1.65,1.75,2.06,2.2,2.32,2.53,2.75,2.78,2.85,2.98,3.21,3.45,3.46,3.7,3.9,3.89,4.2,4.41,4.51,4.59,4.72,4.79,4.96,4.98,4.82,4.89,4.95,4.84,4.96,5.02,4.96,4.87,4.77,4.63,4.83,4.34,4.01,3.96,3.49,3.08,2.86,2.21,1.38,1.32,1.71,1.89,1.72,1.79,1.46,0.84,0.3,0.04,0.12,0.31,0.25,0.17,0.19,0.17,0.19,0.18,0.13,0.08,0.06,0.07,0.06,0.1,0.15,0.15,0.16,0.12,0.16,0.15,0.15,0.13,0.13,0.15,0.15,0.14,0.11,0.06,0.04,0.04,0.03,0.05,0.02,0.02,0.01,0.02,0.02,0.08,0.09,0.08,0.09,0.09,0.1,0.11,0.1,0.1,0.11,0.08,0.07,0.1,0.09,0.06,0.05,0.05,0.04,0.04,0.02,0.05,0.07,0.07,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.07,0.02,0.02,0.12,0.23,0.26,0.31,0.29,0.23,0.27,0.27,0.3,0.3,0.29,0.33,0.45,0.51,0.51,0.52,0.74,0.8,0.89,0.98,1.07,1.01,1.03,1.07,1.23,1.32,1.41,1.57,1.7,1.76,1.86,1.9,1.96,2.03,2.13,2.25,2.33,2.37,2.37,2.39,2.4,2.38,2.35,2.17,2.13,1.97,1.93,1.68,1.55,1.54,1.53,1.54,0.46,0.15,0.12,0.16,0.13,0.1,0.11,0.1,0.09,0.09,0.09,0.04,0.03,0.02,0.02,0.03,0.05,0.06,...,...,...,...,...,...,...,...,...,...,...,...
Lending Rate,FILR_PA,10.11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.52,9.05,9.0,9.0,8.5,8.5,8.5,8.5,8.2,8.0,7.58,7.21,6.5,6.5,6.5,6.5,6.5,6.5,6.02,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.06,6.45,6.99,7.25,7.25,7.51,7.75,7.75,8.15,8.5,8.5,9.0,9.0,9.0,9.0,9.0,8.8,8.75,8.75,8.75,8.75,8.65,8.5,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.3,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.49,8.12,7.89,7.75,7.75,7.75,7.75,7.75,7.75,7.75,8.0,8.06,8.25,8.25,8.37,8.5,8.5,8.73,8.83,9.0,9.24,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.05,8.5,8.32,7.8,7.24,6.98,6.75,6.67,6.28,5.53,5.1,4.84,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.35,4.25,4.25,4.25,4.25,4.25,4.25,4.22,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25,4.42,4.59,4.75,4.92,5.15,5.25,5.49,5.59,5.75,5.99,6.01,6.25,6.43,6.6,6.75,7.0,7.16,7.26,7.5,7.54,7.75,7.92,8.02,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.03,7.74,7.5,7.33,6.98,6.0,5.66,5.24,5.0,5.0,5.0,5.0,5.0,4.56,4.0,3.61,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.37,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.64,3.75,3.75,3.88,4.0,4.0,4.13,4.25,4.25,4.25,4.25,4.25,4.4,4.5,4.5,4.58,4.75,4.75,4.89,5.0,5.0,5.03,5.25,5.25,5.35,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.25,5.15,4.99,4.75,4.75,4.75,4.75,3.78,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,...,...,...,...,...,...,...,...,...,...,...,...
Government Bonds,FIGB_PA,8.21,8.47,8.59,8.79,8.76,8.48,8.47,8.75,8.89,8.72,8.39,8.08,8.09,7.85,8.11,8.04,8.07,8.28,8.27,7.9,7.65,7.53,7.42,7.09,7.03,7.34,7.54,7.48,7.39,7.26,6.84,6.59,6.42,6.59,6.87,6.77,6.6,6.26,5.98,5.97,6.04,5.96,5.81,5.68,5.36,5.33,5.72,5.77,5.75,5.97,6.48,6.97,7.18,7.1,7.3,7.24,7.46,7.74,7.96,7.81,7.78,7.47,7.2,7.06,6.63,6.17,6.28,6.49,6.2,6.04,5.93,5.71,5.65,5.81,6.27,6.51,6.74,6.91,6.87,6.64,6.83,6.53,6.2,6.3,6.58,6.42,6.69,6.89,6.71,6.49,6.22,6.3,6.21,6.03,5.88,5.81,5.54,5.57,5.65,5.64,5.65,5.5,5.46,5.34,4.81,4.53,4.83,4.65,4.72,5.0,5.23,5.18,5.54,5.9,5.79,5.94,5.92,6.11,6.03,6.28,6.66,6.52,6.26,5.99,6.44,6.1,6.05,5.83,5.8,5.74,5.72,5.24,5.16,5.1,4.89,5.14,5.39,5.28,5.24,4.97,4.73,4.57,4.65,5.09,5.04,4.91,5.28,5.21,5.16,4.93,4.65,4.26,3.87,3.94,4.05,4.03,4.05,3.9,3.81,3.96,3.57,3.33,3.98,4.45,4.27,4.29,4.3,4.27,4.15,4.08,3.83,4.35,4.72,4.73,4.5,4.28,4.13,4.1,4.19,4.23,4.22,4.17,4.5,4.34,4.14,4.0,4.18,4.26,4.2,4.46,4.54,4.47,4.42,4.57,4.72,4.99,5.11,5.11,5.09,4.88,4.72,4.73,4.6,4.56,4.76,4.72,4.56,4.69,4.75,5.1,5.0,4.67,4.52,4.53,4.15,4.1,3.74,3.74,3.51,3.68,3.88,4.1,4.01,3.89,3.69,3.81,3.53,2.42,2.52,2.87,2.82,2.93,3.29,3.72,3.56,3.59,3.4,3.39,3.4,3.59,3.73,3.69,3.73,3.85,3.42,3.2,3.01,2.7,2.65,2.54,2.76,3.29,3.39,3.58,3.41,3.46,3.17,3.0,3.0,2.3,1.98,2.15,2.01,1.98,1.97,1.97,2.17,2.05,1.8,1.62,1.53,1.68,1.72,1.75,1.65,1.72,1.91,1.98,1.96,1.76,1.93,2.3,2.58,2.74,2.81,2.62,2.72,2.9,2.86,2.71,2.72,2.71,2.56,2.6,2.54,2.42,2.53,2.3,2.33,2.21,1.88,1.98,2.04,1.94,2.2,2.36,2.32,2.17,2.17,2.07,2.26,2.24,2.09,1.78,1.89,1.81,1.81,1.64,1.5,1.56,1.63,1.76,2.14,2.49,2.43,2.42,2.48,2.3,2.3,2.19,2.32,2.21,2.2,2.36,2.35,2.4,2.58,2.86,2.84,2.87,2.98,2.91,2.89,2.89,3.0,3.15,3.12,2.83,2.71,2.68,2.57,2.53,2.4,2.07,2.06,1.63,1.7,1.71,1.81,1.86,1.76,1.5,0.87,0.66,0.67,0.73,0.62,0.65,0.68,0.79,0.87,0.93,1.08,1.26,1.61,1.64,1.62,1.52,1.32,1.28,...,...,...,...,...,...,...,...,...,...,...,...
