Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Labor Markets, Wage Rates, Index",LWR_IX,50.3185878691712,50.4216759293808,50.4216759293808,50.4216759293808,51.5043282966185,51.6074922685072,51.9683763909198,51.9683763909198,51.9683763909198,52.0199204210246,53.0510287581575,53.1025727882623,54.2367691856048,54.3914771875983,54.4430212177031,54.6492732498013,56.8661220143816,56.9177419561655,57.3817141387877,57.6395102009907,57.6395102009907,57.6395102009907,58.7737065983332,58.7737065983332,59.3408427528441,59.3408427528441,59.3923867829488,59.4439308130536,59.4954748431584,59.5986388150471,59.7017268752567,59.7017268752566,59.8048149354662,60.0110669675645,60.0110669675645,60.1656990578788,61.0421753046974,61.0421753046974,61.0421753046974,61.0421753046974,61.0937193348022,62.1248276719352,62.1764476137191,62.1764476137191,62.3310797040334,62.3826237341382,62.3826237341382,62.3826237341382,63.4137320712712,63.6199841033694,63.723072163579,63.8262361354677,63.8262361354677,63.9293241956772,64.0324122558868,64.0839562859916,64.0839562859916,64.1871202578803,64.238664287985,64.238664287985,65.1666845649085,65.1666845649085,65.2182285950132,65.269772625118,65.3213166552228,65.3213166552228,66.2493369321462,66.2493369321462,66.6102210545588,66.7133091147684,66.7648531448731,66.7648531448731,67.2990436306572,67.2990436306572,67.2990436306572,67.4325722741834,67.499298640107,67.6328272836333,68.3672727788671,68.3672727788671,68.3672727788671,68.6343300659196,68.7010564318432,68.8345850753694,69.9028142235793,69.9028142235793,69.969616501182,70.0363428671056,70.0363428671056,70.1698715106318,70.7039860847368,70.7039860847368,70.7039860847368,70.9710433717893,71.0378456493919,71.0378456493919,71.0378456493919,71.1045720153155,71.9725461540756,72.1728770752045,72.2396034411281,72.3064057187307,72.439934362257,72.8405202928357,72.8405202928357,73.1075775798882,73.1743039458117,73.1743039458117,73.5081635104669,73.5081635104669,73.5081635104669,73.7752207975194,73.7752207975194,73.7084185199167,74.3760617375479,74.3760617375479,74.3760617375479,74.5095903810741,74.5095903810741,74.5095903810741,74.8434499457293,74.8434499457293,74.8434499457293,75.4446021541288,75.6449862235952,75.8453702930617,75.8453702930617,75.945562327795,75.945562327795,75.945562327795,75.945562327795,76.0457543625282,76.2461384319946,76.4465225014611,76.4465225014611,76.6469065709276,76.6469065709276,76.7470986056608,77.5486348835267,77.5486348835267,77.5486348835267,77.64882691826,77.7490189529932,77.7490189529932,77.8492109877265,77.8492109877265,78.8511313350589,79.1517074392586,79.1517074392586,79.352091508725,79.352091508725,79.352091508725,79.4522835434583,79.8530516823913,79.8530516823913,79.8530516823913,80.153627786591,80.2538198213241,80.2538198213241,80.5543959255239,80.5543959255239,80.6545879602572,81.9570844117893,81.9570844117893,82.0572764465225,82.0572764465225,82.0572764465225,82.0572764465225,82.1574684812558,82.9590047591217,82.9590047591217,83.5601569675211,83.5601569675211,83.6603490022543,83.7605410369875,83.7605410369875,83.7605410369875,83.9609251064541,84.0611171411873,84.6622693495867,85.3636135927194,85.3636135927194,85.3636135927194,85.4638056274527,85.5639976621858,85.5639976621858,85.8645737663856,86.064957835852,86.2653419053186,86.2653419053186,86.2653419053186,86.3655339400518,86.3655339400518,87.9686064957836,88.2691825999833,88.569758704183,88.6699507389163,88.8703348083827,88.8703348083827,88.8703348083827,88.8703348083827,89.7720631209818,89.7720631209818,89.7720631209818,90.1728312599149,90.4734073641146,91.074559572514,91.074559572514,91.074559572514,91.074559572514,91.1747516072473,91.1747516072473,91.3751356767137,91.7759038156467,91.7759038156467,91.7759038156467,92.0764799198464,93.7797445103114,93.7797445103114,94.0803206145111,94.0803206145111,94.2807046839777,94.7816648576439,94.8818568923771,94.8818568923771,94.8818568923771,94.8818568923771,94.8818568923771,96.5851214828421,96.5851214828421,96.5851214828421,96.8856975870418,96.8856975870418,96.8856975870418,96.8856975870418,96.8856975870418,97.9878099691075,98.2883860733071,98.2883860733071,98.5889621775069,99.4906904901061,99.5908825248393,99.5908825248393,99.891458629039,100.091842698505,100.192034733239,100.192034733239,100.192034733239,100.192034733239,100.192034733239,100.192034733239,100.192034733239,102.09568339317,102.09568339317,102.09568339317,102.496451532103,102.496451532103,102.496451532103,102.596643566836,102.596643566836,102.596643566836,102.596643566836,102.596643566836,102.596643566836,104.400100192035,104.400100192035,104.400100192035,104.700676296234,104.700676296234,104.800868330968,105.001252400434,105.001252400434,105.101444435167,105.101444435167,105.301828504634,105.301828504634,106.704516990899,106.704516990899,106.704516990899,106.804709025632,106.904901060366,107.205477164565,107.205477164565,107.205477164565,107.305669199299,107.305669199299,107.405861234032,107.405861234032,109.309509893963,109.409701928697,109.409701928697,109.610085998163,109.81047006763,109.81047006763,109.81047006763,109.81047006763,109.81047006763,109.910662102363,110.010854137096,110.111046171829,112.215078901227,112.215078901227,112.215078901227,112.415462970694,112.415462970694,112.415462970694,112.515655005427,112.515655005427,112.716039074894,112.716039074894,112.816231109627,112.816231109627,112.816231109627,112.91642314436,113.016615179094,113.016615179094,113.016615179094,113.016615179094,113.016615179094,113.016615179094,113.016615179094,113.116807213826,113.116807213826,113.116807213826,113.317191283293,113.317191283293,113.51757535276,113.617767387493,113.617767387493,113.717959422226,113.717959422226,113.717959422226,113.818151456959,113.918343491693,113.918343491693,113.918343491693,114.018535526425,114.018535526425,114.118727561159,114.218919595893,114.218919595893,114.820071804291,114.920263839025,114.920263839025,115.020455873758,115.120647908491,115.120647908491,115.120647908491,115.873925022961,115.873925022961,115.986423979294,116.098922935627,116.098922935627,116.323920848293,116.323920848293,116.323920848293,116.436419804626,116.436419804626,116.436419804626,116.436419804626,116.548918760958,116.548918760958,116.661417717291,116.661417717291,116.773916673624,116.886415629957,116.886415629957,116.886415629957,116.99891458629,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Unemployment, Persons, Number of",LU_PE_NUM,2164,2135,2063,2030,2073,2090,2064,2056,2078,2088,2089,2073,2061,2063,2033,1999,1972,1955,1968,1992,2016,2066,2100,2052,2049,2098,2084,2040,2002,1999,2029,2054,2079,2084,2078,2076,2046,2036,2169,2334,2285,2386,2484,2206,2085,2521,2514,2480,2322,2525,2580,2594,2428,2493,2608,2314,2186,2621,2620,2619,2511,2749,2779,2720,2528,2622,2807,2509,2327,2687,2604,2551,2433,2682,2751,2763,2596,2677,2811,2486,2312,2690,2632,2590,2480,2736,2808,2820,2638,2687,2779,2453,2291,2712,2670,2615,2470,2712,2786,2829,2671,2747,2865,2546,2374,2786,2724,2662,2519,2745,2779,2755,2583,2652,2793,2476,2277,2592,2492,2456,2395,2644,2657,2572,2372,2426,2569,2287,2097,2379,2275,2222,2148,2357,2356,2273,2101,2159,2303,2069,1919,2209,2122,2062,1960,2146,2180,2179,2049,2097,2194,1949,1802,2070,2026,2041,2039,2267,2265,2160,1970,2009,2122,1911,1787,2106,2026,1943,2116,2038,2152,1954,1959,1844,1699,1616,1984,2050,2111,1895,1952,2079,2005,1897,1786,1829,1562,1519,2007,2100,1996,1865,1880,1947,1778,1683,1693,1496,1369,1400,1699,1827,1749,1506,1640,1582,1421,1353,1482,1334,1417,1276,1504,1615,1638,1636,1803,1799,1596,1745,1671,1657,1480,1401,1647,1817,1790,1627,1939,1952,1977,1898,1728,1810,1763,1607,2010,2166,2094,2089,2262,2287,2199,2223,2094,1935,1862,1620,2010,2253,2177,2046,2097,2128,2164,1968,1980,1846,1810,1637,2133,2261,2477,2468,2576,2727,2928,2800,2645,2612,2501,2253,2679,3052,3025,2832,3278,3276,3164,3144,3080,2901,2739,2693,3041,3257,3315,3051,3479,3496,3338,3212,3217,2818,2987,2695,3191,3477,3677,3018,3230,3294,3337,3079,3118,3037,2660,2446,2839,3071,3071,2923,3027,3077,3050,3019,2932,2934,2722,2532,3011,3067,3259,3068,3172,3041,3102,2854,2848,2734,2752,2590,2799,2915,2966,2730,3017,2871,2953,2929,2681,2701,2452,2146,2533,2886,2816,2587,2877,2896,2683,2654,2481,2369,2408,2078,2500,2539,2555,2487,2665,2546,1843,1516,1915,2281,2633,2388,2591,2629,2216,2329,2640,2608,2532,2494,2389,2301,2225,2148,2250,2436,2223,2200,2242,2156,2134,2064,1963,1993,1873,1911,1982,2071,1963,...,...,...,...
"Labor Markets, Unemployment Rate, Percent",LUR_PT,9.3,9.1,8.9,8.7,8.9,8.9,8.7,8.7,8.8,8.8,8.8,8.8,8.7,8.8,8.6,8.5,8.3,8.3,8.2,8.3,8.4,8.7,8.8,8.6,8.7,8.9,8.9,8.6,8.5,8.5,8.7,8.8,8.9,9,9,9,8.8,8.7,9.2,9.9,9.7,10.1,10.4,9.3,8.9,10.6,10.6,10.5,10.1,10.8,11,11,10.4,10.6,11,9.9,9.4,11.2,11.2,11.2,10.9,11.8,11.9,11.6,10.9,11.2,11.8,10.7,10,11.4,11.1,10.9,10.6,11.5,11.8,11.7,11.1,11.4,11.8,10.6,9.9,11.4,11.2,11,10.7,11.7,12,11.9,11.2,11.4,11.6,10.4,9.8,11.5,11.3,11.1,10.6,11.6,11.8,11.9,11.3,11.6,11.9,10.7,10,11.6,11.4,11.2,10.7,11.6,11.7,11.5,10.9,11.1,11.5,10.3,9.6,10.8,10.4,10.3,10.2,11.1,11.2,10.7,10,10.2,10.5,9.5,8.8,9.8,9.4,9.2,9,9.8,9.8,9.4,8.8,9,9.4,8.5,8,9.1,8.8,8.5,8.2,8.9,9,9,8.5,8.6,8.9,8,7.4,8.5,8.3,8.4,8.5,9.4,9.4,8.8,8.1,8.3,8.6,7.9,7.4,8.6,8.3,7.9,8.8,8.5,8.9,8.2,8,7.5,7,6.8,8.1,8.3,8.6,7.9,8.1,8.6,8.3,7.8,7.4,7.5,6.6,6.4,8.2,8.6,8.2,7.7,7.8,8,7.3,6.9,6.9,6.1,5.7,5.9,7,7.5,7.1,6.2,6.9,6.6,5.9,5.6,6.1,5.5,5.8,5.3,6.1,6.6,6.7,6.7,7.4,7.3,6.5,7,6.7,6.7,6,5.7,6.7,7.3,7.3,6.7,8,8,8.1,7.8,7,7.4,7.2,6.7,8.3,8.8,8.6,8.6,9.3,9.4,9,9,8.5,8,7.7,6.8,8.3,9.2,8.9,8.4,8.7,8.7,8.8,8.1,8.1,7.6,7.4,6.8,8.8,9.1,10,10,10.5,11,11.6,11.2,10.5,10.4,10,9.2,10.8,12,12,11.4,13.1,13.1,12.7,12.6,12.4,11.7,11.1,11,12.3,12.9,13.2,12.3,14,14,13.2,12.9,12.8,11.3,11.9,11,12.7,13.6,14.4,12.1,12.9,13.2,13.3,12.2,12.4,12.1,10.7,9.9,11.3,12.1,12.2,11.7,12.1,12.3,12.1,11.9,11.5,11.5,10.8,10.2,11.8,12,12.7,12.1,12.4,12,12.2,11.2,11.2,10.7,10.7,10.2,10.9,11.3,11.5,10.8,11.9,11.3,11.5,11.3,10.4,10.4,9.6,8.5,9.9,11.2,11,10.2,11.3,11.3,10.5,10.3,9.6,9.2,9.4,8.2,9.8,9.9,9.9,9.8,10.5,10,7.6,6.4,8,9.4,10.6,9.6,10.4,10.5,9,9.6,10.9,10.7,10.4,10.1,9.6,9.2,8.8,8.7,9,9.7,8.8,8.8,9.1,8.7,8.5,8.2,7.8,7.8,7.4,7.7,7.9,8.1,7.8,...,...,...,...
