Trade_Direction,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00
Import,8693.83,7632.302,8450.738000000001,9509.648000000001,6680.257,6954.161,1592.6539999999998,2121.72,2545.721,2481.238,2334.381,2772.1690000000003,11677.339,12358.754,13719.378999999999,11872.514,11165.154,11722.824,11056.017,11427.743999999999,9357.807,9342.18,8143.893,7991.619000000001,10488.076,10981.051,11254.647,13279.321,11993.961,14328.128999999999,12984.315999999999,11590.718,9813.178,10016.861,9158.216,8435.585,10435.131,11712.666000000001,12749.737,13818.381999999998,14003.44,13230.994999999999,13527.866,12368.516,10659.24,11376.125,10929.777,10098.36,11383.062,12391.605,14111.684000000001,13510.999,13086.943,14908.313,13678.214,14066.233,12504.211,14079.628,12808.780999999999,12175.726,13111.619,13597.887,14303.964,14276.06,12392.545,13055.262,13267.734,14672.360999999999,11663.073,12766.392,11436.038,12615.747,13106.135,12914.343,13373.195,12073.94,10360.36,12837.93,12626.75,13427.327,12763.196,14070.208,11286.775,12570.063,12956.783,11960.52,14259.874,13112.126,13359.435,13938.134,13567.643,12964.059000000001,11965.943,13005.212,11253.249,11688.653,13783.363000000001,17459.832000000002,14092.547,15223.718,12716.916000000001,13864.966,13839.512999999999,13119.885,11711.041000000001,13223.551,13100.858,11873.593,14938.282,14356.039,14330.317,14390.725,10772.021,14509.386,13794.827,14715.219,13078.219000000001,11910.026,14244.564,13183.151,13958.912,14325.465,14285.802,14587.608,13052.6,14711.311,13645.844000000001,14368.089,12755.543,9757.022,12787.323,11444.035,12987.779,14367.008,17792.253,15390.051,12043.677,14220.731,13305.029000000002,13208.519,12093.373,9641.832,11929.814999999999,12242.133,13065.916000000001,13639.074999999999,13723.61,13253.849,12758.325,15178.332,14557.692000000001,13841.976999999999,12183.031,10519.885,9389.034,12273.313,13042.13,12656.001,13410.322,14233.786,13909.452,15163.519,16719.682,15367.343,12713.836,11923.049,11077.127,9450.209,10772.648000000001,9849.714,10128.328,10169.06,8880.304
Export,3873.459,3554.107,3802.371,3797.904,2919.351,3570.84,2268.811,2016.5100000000002,1881.781,1822.732,1170.4969999999998,1750.566,3708.033,4336.575,4445.723,5129.788,4910.981,4619.215,4193.186,3971.474,3384.12,3258.157,2429.961,2901.954,2696.624,3574.0159999999996,4355.604,4807.6939999999995,4227.972,5617.920999999999,4454.8949999999995,4027.8549999999996,3926.2700000000004,3942.722,3529.774,3442.455,2913.067,3593.67,4493.646,5408.011,6276.3240000000005,5247.295,5891.814,6005.724999999999,4967.895,5097.184,4820.960999999999,5003.871999999999,4940.005,5388.857,6517.984,6202.856000000001,6091.082,9335.806,7056.538,6626.206,5112.613,5756.79,5714.843,5632.0779999999995,5625.295,6631.81,8007.938,7054.4310000000005,6255.503000000001,6574.699,7175.214,7928.231,7042.575,7134.741,6518.428,7220.55,6949.677,6709.5,7340.686,6550.3099999999995,5390.393,6366.388,7123.383,7317.474999999999,6783.011,7277.161,5287.587,6017.758,5494.82,6018.706,6958.159,4715.363,5991.278,6170.005,6175.728,6275.216,6016.924,6424.226,5415.537,5940.138,6390.823,6732.855,7770.203,8881.896,6530.379,6310.719,5785.706,5729.823,5307.019,5537.721,5264.378,5103.7,7335.981,7070.022,8536.101,8203.586,7813.579,7999.89,7082.467000000001,7298.662,6590.603,5169.908,7063.744000000001,6658.296,6620.155,6510.731,6750.304,6526.446,5153.5650000000005,5853.368,5746.555,5951.967000000001,6095.6320000000005,4527.063,5753.184,5551.218,6016.032,5166.638,5173.236,6790.576,6089.462,6495.8060000000005,6393.114,6163.618,6823.66,5674.354,6859.6539999999995,6802.706,5976.901999999999,5968.084,6468.986,8630.842,5487.892,6039.549,6157.9400000000005,6446.36,5694.6140000000005,4995.106,5610.129,6111.956,4970.361,5132.351,5167.826,5743.1449999999995,4903.779,5475.779,5654.791,6012.862,4755.024,4171.752,2579.357,1842.8029999999999,2559.915,2075.96,1270.2289999999998,2235.5339999999997,1784.559
