TIME,Value
1973-01,103.716784350038
1973-02,102.985013578113
1973-03,102.201175297624
1973-04,101.41657971645
1973-05,100.801318976837
1973-06,100.468320158377
1973-07,100.320171955053
1973-08,100.190014978064
1973-09,99.9896899591443
1973-10,99.6477862119182
1973-11,99.1178581351753
1973-12,98.528220444458
1974-01,98.1355507018834
1974-02,98.1460929442999
1974-03,98.3398933633009
1974-04,98.6365836097289
1974-05,98.9015803746746
1974-06,99.0336121743295
1974-07,99.0839396163201
1974-08,99.1243236000533
1974-09,99.1966978747259
1974-10,99.272785055591
1974-11,99.3738308649261
1974-12,99.4945169511677
1975-01,99.6940235952162
1975-02,99.9753436241948
1975-03,100.277884283041
1975-04,100.580364236808
1975-05,100.790381427461
1975-06,100.826150151384
1975-07,100.790700900016
1975-08,100.744003120283
1975-09,100.738414465966
1975-10,100.865378577433
1975-11,101.261013735959
1975-12,101.787040236618
1976-01,102.211470776675
1976-02,102.451018017491
1976-03,102.530881075747
1976-04,102.537306798263
1976-05,102.537726703748
1976-06,102.574331260281
1976-07,102.663649979826
1976-08,102.759946861699
1976-09,102.858010188666
1976-10,102.896855645065
1976-11,102.853771505484
1976-12,102.705473178358
1977-01,102.471187345553
1977-02,102.168841773851
1977-03,101.857242632112
1977-04,101.5542030317
1977-05,101.356033652579
1977-06,101.356365312448
1977-07,101.460101314575
1977-08,101.575194303575
1977-09,101.70101877892
1977-10,101.813278105937
1977-11,101.93028855611
1977-12,102.000719980055
1978-01,101.978693872994
1978-02,101.945460466444
1978-03,101.939316319644
1978-04,101.9888377261
1978-05,102.119024860387
1978-06,102.301780371692
1978-07,102.517830765169
1978-08,102.766079406274
1978-09,103.039664642926
1978-10,103.269819680045
1978-11,103.436504374177
1978-12,103.530358712019
1979-01,103.578126631925
1979-02,103.548801686066
1979-03,103.497967636162
1979-04,103.405014883699
1979-05,103.223974519838
1979-06,102.976471077878
1979-07,102.740654381468
1979-08,102.514485955299
1979-09,102.259447205864
1979-10,101.934599331993
1979-11,101.559513558643
1979-12,101.154901979494
1980-01,100.733486299013
1980-02,100.512500895965
1980-03,100.374565925693
1980-04,100.280781238807
1980-05,100.216552835814
1980-06,100.093269038365
1980-07,100.004637407888
1980-08,99.9657515117548
1980-09,99.8096140381229
1980-10,99.4181312077041
1980-11,98.8782502473985
1980-12,98.4892251894329
1981-01,98.1498467378244
1981-02,97.7474673263468
1981-03,97.3052710544983
1981-04,97.000436067699
1981-05,96.8378967665787
1981-06,96.5709617624956
1981-07,96.2480702099372
1981-08,95.9034012636823
1981-09,95.8797656313601
1981-10,96.0206234258634
1981-11,96.0779368289513
1981-12,96.1476378436664
1982-01,96.228097859967
1982-02,96.3425351556516
1982-03,96.6506633956988
1982-04,96.9500373053021
1982-05,97.1363584923837
1982-06,97.0962100536316
1982-07,96.7128439030577
1982-08,96.2905462420305
1982-09,95.9774611316483
1982-10,95.9957796381258
1982-11,96.1863908806156
1982-12,96.5668890716517
1983-01,97.3330707902991
1983-02,98.2863282754784
1983-03,99.2201188011589
1983-04,99.7351412537404
1983-05,99.8424137314943
1983-06,99.8324681232625
1983-07,99.783860599423
1983-08,99.7652257357618
1983-09,99.6917755216726
1983-10,99.7281512550981
1983-11,99.9776567253388
1983-12,100.253773963987
1984-01,100.406983321609
1984-02,100.240754744731
1984-03,99.9346639651453
1984-04,99.634295529864
1984-05,99.3731165494241
1984-06,99.1807366175291
1984-07,99.3440867914888
1984-08,99.6392569459137
1984-09,99.9365796613154
1984-10,100.097568585323
1984-11,100.253921264199
1984-12,100.262313187558
1985-01,100.124370656403
1985-02,99.9782788597704
1985-03,99.8909290777349
1985-04,99.8695345170899
1985-05,99.872136687129
1985-06,99.8866325149825
1985-07,99.9858047302708
1985-08,100.12071752161
1985-09,100.271285391657
1985-10,100.388203772025
1985-11,100.45370052044
1985-12,100.575936907581
1986-01,100.789034907712
1986-02,100.988473366238
1986-03,101.121417882413
1986-04,101.217812569586
1986-05,101.295857242154
1986-06,101.419299540901
1986-07,101.542546854171
1986-08,101.656175941022
1986-09,101.682896469514
1986-10,101.671295554887
1986-11,101.634641270122
1986-12,101.581694412127
1987-01,101.457308528685
1987-02,101.272220182705
1987-03,101.169802280968
1987-04,101.111670279451
1987-05,101.056943491311
1987-06,100.962744533715
1987-07,100.877347819107
1987-08,100.86148084873
1987-09,100.939244966279
1987-10,100.825819554827
1987-11,100.541288575573
1987-12,100.29353576053
1988-01,100.167239193295
1988-02,100.179515608445
1988-03,100.290951849399
1988-04,100.393328453258
1988-05,100.40950277706
1988-06,100.402351761124
1988-07,100.424121644303
1988-08,100.581211534606
1988-09,100.781873307256
1988-10,100.944127894101
1988-11,100.968001175039
1988-12,100.919064719331
1989-01,100.812453989014
1989-02,100.757859052437
1989-03,100.797183392677
1989-04,100.901506289428
1989-05,101.047023588141
1989-06,101.245200764222
1989-07,101.358833921194
1989-08,101.364933052151
1989-09,101.394775695294
1989-10,101.401223326392
1989-11,101.43625234066
1989-12,101.529241312279
1990-01,101.53667687074
1990-02,101.414170908944
1990-03,101.30507928256
1990-04,101.355634146796
1990-05,101.439818551507
1990-06,101.512239459796
1990-07,101.52394334331
1990-08,101.369206125512
1990-09,101.085148665373
1990-10,100.891208865783
1990-11,100.820030180514
1990-12,100.700082046607
1991-01,100.399736233716
1991-02,100.062480087402
1991-03,99.8501476466629
1991-04,99.9151696105356
1991-05,99.959736825655
1991-06,99.7086821661759
1991-07,99.2299194983689
1991-08,99.0126006760239
1991-09,99.1203294503392
1991-10,99.3124260344472
