Time,Balance,Product,Value,Unit
September 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
September 2022,Net Electricity Production,Hydro,2459.5055,GWh
September 2022,Net Electricity Production,Wind,2289.7914,GWh
September 2022,Net Electricity Production,Solar,1950.5968,GWh
September 2022,Net Electricity Production,Geothermal,7.9717,GWh
September 2022,Net Electricity Production,Other Renewables,39.8221,GWh
September 2022,Net Electricity Production,Not Specified,43.6602,GWh
September 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7572.1313,GWh
September 2022,Total Imports,Electricity,5624.9953,GWh
September 2022,Total Exports,Electricity,2162.9319,GWh
September 2022,Used for pumped storage,Electricity,600.7147,GWh
September 2022,Distribution Losses,Electricity,2233.9286,GWh
September 2022,Final Consumption (Calculated),Electricity,30184.0067,GWh
August 2022,Net Electricity Production,Electricity,29597.3189,GWh
August 2022,Net Electricity Production,Nuclear,18133.0465,GWh
August 2022,Net Electricity Production,Total Combustible Fuels,4148.9915,GWh
August 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",123.1271,GWh
August 2022,Net Electricity Production,Oil and Petroleum Products,492.8859,GWh
August 2022,Net Electricity Production,Natural Gas,2726.5913,GWh
August 2022,Net Electricity Production,Combustible Renewables,630.9807,GWh
August 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
August 2022,Net Electricity Production,Hydro,2705.9597,GWh
August 2022,Net Electricity Production,Wind,2067.4917,GWh
August 2022,Net Electricity Production,Solar,2450.3755,GWh
August 2022,Net Electricity Production,Geothermal,7.9717,GWh
August 2022,Net Electricity Production,Other Renewables,39.8221,GWh
August 2022,Net Electricity Production,Not Specified,43.6602,GWh
August 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7902.6014,GWh
August 2022,Total Imports,Electricity,5269.6915,GWh
August 2022,Total Exports,Electricity,1920.5825,GWh
August 2022,Used for pumped storage,Electricity,544.2453,GWh
August 2022,Distribution Losses,Electricity,2254.2274,GWh
August 2022,Final Consumption (Calculated),Electricity,30147.9552,GWh
July 2022,Net Electricity Production,Electricity,31445.7706,GWh
July 2022,Net Electricity Production,Nuclear,18780.9554,GWh
July 2022,Net Electricity Production,Total Combustible Fuels,4435.8559,GWh
July 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",126.5018,GWh
July 2022,Net Electricity Production,Oil and Petroleum Products,587.8169,GWh
July 2022,Net Electricity Production,Natural Gas,2863.2268,GWh
July 2022,Net Electricity Production,Combustible Renewables,682.904,GWh
July 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
July 2022,Net Electricity Production,Hydro,3506.8053,GWh
July 2022,Net Electricity Production,Wind,1868.8483,GWh
July 2022,Net Electricity Production,Solar,2761.8516,GWh
July 2022,Net Electricity Production,Geothermal,7.9717,GWh
July 2022,Net Electricity Production,Other Renewables,39.8221,GWh
July 2022,Net Electricity Production,Not Specified,43.6602,GWh
July 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",8868.2029,GWh
July 2022,Total Imports,Electricity,5637.3407,GWh
July 2022,Total Exports,Electricity,2278.4611,GWh
July 2022,Used for pumped storage,Electricity,463.9448,GWh
July 2022,Distribution Losses,Electricity,2302.0179,GWh
July 2022,Final Consumption (Calculated),Electricity,32038.6874,GWh
June 2022,Net Electricity Production,Electricity,32489.2404,GWh
June 2022,Net Electricity Production,Nuclear,20174.8203,GWh
June 2022,Net Electricity Production,Total Combustible Fuels,3938.8496,GWh
June 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",136.2249,GWh
June 2022,Net Electricity Production,Oil and Petroleum Products,534.6558,GWh
June 2022,Net Electricity Production,Natural Gas,2338.0522,GWh
June 2022,Net Electricity Production,Combustible Renewables,754.5103,GWh
June 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
June 2022,Net Electricity Production,Hydro,4071.7718,GWh
June 2022,Net Electricity Production,Wind,1834.0469,GWh
June 2022,Net Electricity Production,Solar,2378.2978,GWh
June 2022,Net Electricity Production,Geothermal,7.9717,GWh
June 2022,Net Electricity Production,Other Renewables,39.8221,GWh
June 2022,Net Electricity Production,Not Specified,43.6602,GWh
June 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",9086.4206,GWh
June 2022,Total Imports,Electricity,3921.8754,GWh
June 2022,Total Exports,Electricity,2765.9337,GWh
June 2022,Used for pumped storage,Electricity,444.0784,GWh
June 2022,Distribution Losses,Electricity,2205.7799,GWh
June 2022,Final Consumption (Calculated),Electricity,30995.3238,GWh
May 2022,Net Electricity Production,Electricity,34640.3272,GWh
May 2022,Net Electricity Production,Nuclear,20531.226,GWh
May 2022,Net Electricity Production,Total Combustible Fuels,4484.2245,GWh
May 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",141.2965,GWh
May 2022,Net Electricity Production,Oil and Petroleum Products,477.3355,GWh
May 2022,Net Electricity Production,Natural Gas,2753.5674,GWh
May 2022,Net Electricity Production,Combustible Renewables,936.6187,GWh
May 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
May 2022,Net Electricity Production,Hydro,5062.6466,GWh
May 2022,Net Electricity Production,Wind,2061.2465,GWh
May 2022,Net Electricity Production,Solar,2409.5295,GWh
May 2022,Net Electricity Production,Geothermal,7.9717,GWh
May 2022,Net Electricity Production,Other Renewables,39.8221,GWh
May 2022,Net Electricity Production,Not Specified,43.6602,GWh
May 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10517.835,GWh
May 2022,Total Imports,Electricity,3171.6732,GWh
May 2022,Total Exports,Electricity,3726.4709,GWh
May 2022,Used for pumped storage,Electricity,517.4509,GWh
May 2022,Distribution Losses,Electricity,2230.2974,GWh
May 2022,Final Consumption (Calculated),Electricity,31337.7812,GWh
April 2022,Net Electricity Production,Electricity,37152.7266,GWh
April 2022,Net Electricity Production,Nuclear,21766.342,GWh
April 2022,Net Electricity Production,Total Combustible Fuels,4689.7391,GWh
April 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",186.8799,GWh
