TIME,Value
1975-12,102.406834798518
1976-01,102.021581014583
1976-02,101.726339704542
1976-03,101.90860765414
1976-04,102.30413364917
1976-05,102.467110267616
1976-06,102.500007602659
1976-07,102.298582764126
1976-08,101.874546435402
1976-09,101.26009186218
1976-10,100.635035331404
1976-11,100.230142960578
1976-12,100.063277498658
1977-01,99.8696129011134
1977-02,99.5653956416337
1977-03,99.0860454177156
1977-04,98.6317043679708
1977-05,98.3767914699611
1977-06,98.2132158060331
1977-07,98.1244033651331
1977-08,98.0519768569518
1977-09,97.9845681528253
1977-10,97.9111308901105
1977-11,97.8883491763123
1977-12,98.0554068096255
1978-01,98.3598731429504
1978-02,98.8653232463399
1978-03,99.3882035315019
1978-04,99.7035094323203
1978-05,99.9108148495802
1978-06,100.060298207977
1978-07,100.301000930813
1978-08,100.553562135621
1978-09,100.744193707088
1978-10,100.849014942031
1978-11,100.88120292391
1978-12,100.78617128788
1979-01,100.645832227064
1979-02,100.595846182608
1979-03,100.729510916343
1979-04,100.969965609267
1979-05,101.233421977593
1979-06,101.544273471774
1979-07,101.712970866012
1979-08,101.736298547982
1979-09,101.687345166769
1979-10,101.692175950896
1979-11,101.623222197587
1979-12,101.391346338415
1980-01,101.133909596422
1980-02,100.794188103549
1980-03,100.378809642632
1980-04,99.8832432061469
1980-05,99.2929455229977
1980-06,98.6646955608747
1980-07,98.0644324676657
1980-08,97.5430457918411
1980-09,97.1446246955585
1980-10,96.835830750381
1980-11,96.7265370875831
1980-12,96.9039445475676
1981-01,96.889415600926
1981-02,96.8246544141018
1981-03,96.7751080121221
1981-04,96.8533955075942
1981-05,97.091072556708
1981-06,97.419011905936
1981-07,97.8439582770476
1981-08,98.2983709638587
1981-09,98.7488232990525
1981-10,99.0971538593237
1981-11,99.2633599681173
1981-12,99.2514990694852
1982-01,99.1612645652699
1982-02,99.1411786715643
1982-03,99.3010449769497
1982-04,99.435138486418
1982-05,99.3956851539197
1982-06,99.1365503188733
1982-07,98.7526920386627
1982-08,98.3837320317294
1982-09,98.2422500658277
1982-10,98.2716161810473
1982-11,98.4652546016934
1982-12,98.6594956750888
1983-01,98.7541693850557
1983-02,98.5770323206931
1983-03,98.144657858365
1983-04,97.6031232379125
1983-05,97.1857062292223
1983-06,96.9241780649634
1983-07,96.9471065454733
1983-08,97.208038365083
1983-09,97.6403525775857
1983-10,97.8376607344542
1983-11,97.9246343363532
1983-12,97.9454647421437
1984-01,97.9546715129616
1984-02,98.0549400485992
1984-03,98.2101328707102
1984-04,98.3814710753223
1984-05,98.4914554145308
1984-06,98.6080919838418
1984-07,98.7157939791588
1984-08,98.7178590312765
1984-09,98.5652171987144
1984-10,98.313033957771
1984-11,98.0369020469363
1984-12,97.7881288580523
1985-01,97.6920864011706
1985-02,97.8360871431016
1985-03,97.9743061831456
1985-04,98.0949082950723
1985-05,98.1751597194898
1985-06,98.3097207762868
1985-07,98.3992779104442
1985-08,98.4959938893776
1985-09,98.6606160849865
1985-10,98.8835386893185
1985-11,99.0268496865474
1985-12,99.0103067243892
1986-01,98.9169208412422
1986-02,99.116168595931
1986-03,99.3617990533801
1986-04,99.4103829814209
1986-05,99.2912500366784
1986-06,99.1690138635412
1986-07,99.2849230929261
1986-08,99.5101952882878
1986-09,99.6212279973845
1986-10,99.4832250326639
1986-11,99.3302840433181
1986-12,99.2633844744842
1987-01,99.2788811944063
1987-02,99.3531822578669
1987-03,99.6050341322426
1987-04,99.8834349366858
1987-05,99.9246810434975
1987-06,99.9450978089746
1987-07,100.137560407056
1987-08,100.455516923269
1987-09,100.829424232401
1987-10,101.16879898504
1987-11,101.308317801206
1987-12,101.379570301618
1988-01,101.369310983373
1988-02,101.385992416887
1988-03,101.474464423563
1988-04,101.634849031477
1988-05,101.769624857894
1988-06,102.021031950093
1988-07,102.440735818374
1988-08,102.773976733058
1988-09,103.071001142868
1988-10,103.37159895485
1988-11,103.390300929963
1988-12,103.335807130753
1989-01,103.234491746126
1989-02,103.162678836535
1989-03,103.027950215846
1989-04,102.960965863693
1989-05,103.041294070411
1989-06,103.222170232414
1989-07,103.232390450876
1989-08,103.053228569846
1989-09,102.819324984795
1989-10,102.624506437096
1989-11,102.453460290912
1989-12,102.092101967328
1990-01,101.778632344682
1990-02,101.55153899007
1990-03,101.314171057624
1990-04,101.079610837726
1990-05,101.012481548875
1990-06,100.987936162871
1990-07,100.801012250452
1990-08,100.28006834028
1990-09,99.6159333881449
1990-10,99.0472755410443
1990-11,98.6891619432214
1990-12,98.5150361615402
1991-01,98.3770460859517
1991-02,98.0735005435879
1991-03,97.9668706284898
1991-04,98.096196205922
1991-05,98.3014940220681
1991-06,98.5211087969448
1991-07,98.5864154082558
1991-08,98.5711063436432
1991-09,98.4947685596061
1991-10,98.373748935308
1991-11,98.33304844581
1991-12,98.3362215052176
1992-01,98.4394147913528
1992-02,98.5926340457703
1992-03,98.5721071768179
1992-04,98.4848582053366
1992-05,98.5047830200481
1992-06,98.4087743165065
1992-07,98.1968117879052
1992-08,97.903519715055
1992-09,97.4901219922253
1992-10,96.9243958648216
1992-11,96.3807313170419
1992-12,95.9347256639909
1993-01,95.6090586507216
1993-02,95.3928214349409
1993-03,95.2293979029216
1993-04,95.1260327176959
1993-05,95.0683601267069
1993-06,94.9637653956538
1993-07,95.0368430968386
1993-08,95.3117550292977
1993-09,95.6458216852037
1993-10,95.9701779607415
1993-11,96.4534959489385
1993-12,97.0709594965415
1994-01,97.6542920537514
1994-02,98.1632028565084
1994-03,98.8842949315834
1994-04,99.6732595694523
