Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Labor Markets, Wage Rates, Index",LWR_IX,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,70.7173394398064,70.7173394398064,70.8542558762823,71.2650051857101,71.401921622186,71.4703798404239,71.9495873680896,72.0865038045655,72.3603366775173,72.7026277687071,72.9764606416589,73.1818352963728,74.2087085699421,74.345625006418,74.5509996611319,74.6879160976078,74.8248325340837,74.9617489705596,75.2355818435114,75.2355818435114,75.3040400617493,75.783247589415,75.851705807653,76.2624551170807,77.4947030453639,77.6316194818398,77.7685359183157,78.0423687912675,78.3162016642193,78.4531181006952,78.6584927554091,78.795409191885,78.9323256283609,79.0692420648368,79.4115331560266,79.7538242472164,80.30148999312,80.5068646478339,80.7122393025477,80.9176139572616,81.1914468302134,81.3283632666893,81.4652797031652,81.5337379214032,81.6706543578791,82.2867783220207,82.7659858496864,83.1082769408761,83.4505680320659,83.5874844685418,83.7928591232557,83.9297755597316,84.4089830873972,84.6143577421111,84.819732396825,84.9566488333009,85.0251070515388,85.1620234880148,85.5727727974425,85.8466056703943,86.1888967615841,86.32581319806,86.5311878527738,86.7365625074877,86.9419371622016,86.6681042892497,87.0103953804395,87.1473118169154,87.2157700351534,87.2157700351534,87.694977562819,87.9688104357709,88.4480179634365,88.5849343999124,88.7218508363883,88.9272254911022,89.0641419275781,89.3379748005299,89.5433494552438,89.6802658917197,89.7487241099576,89.8171823281956,90.2279316376233,90.5702227288131,90.9125138200028,91.1178884747167,91.3917213476685,91.5970960023824,91.7340124388583,91.9393870935722,92.0763035300481,92.213219966524,92.3501364029999,92.2816781847619,92.6239692759517,92.8978021489035,93.3085514583312,93.5139261130451,93.9931336407108,94.0615918589487,94.1985082954246,94.4038829501385,94.5407993866144,94.6092576048523,94.7461740413283,94.8830904778042,95.156923350756,95.5676726601837,95.9784219696114,96.3891712790392,96.7314623702289,97.0737534614187,97.3475863343705,97.5529609890844,97.6214192073223,97.8952520802741,97.8952520802741,97.8952520802741,97.7973568281939,97.7973568281939,97.6994615761136,97.6994615761136,97.6015663240333,97.4057758198728,97.3078805677925,97.3078805677925,97.3078805677925,97.3078805677925,97.503671071953,97.6994615761136,97.7973568281939,98.1889378365149,98.4826235927558,98.7763093489966,99.265785609398,99.8531571218796,100.244738130201,100.636319138522,101.027900146843,101.419481155164,101.908957415565,102.398433675967,102.887909936368,103.279490944689,103.57317670093,103.964757709251,104.454233969653,104.943710230054,105.433186490455,105.628976994616,105.824767498776,106.118453255017,106.510034263338,106.803720019579,107.09740577582,107.1953010279,107.29319627998,107.586882036221,107.684777288302,107.880567792462,108.076358296623,108.272148800783,108.467939304944,108.565834557024,108.859520313265,109.055310817425,109.251101321586,109.153206069506,109.153206069506,109.153206069506,109.348996573666,109.446891825746,109.642682329907,109.740577581987,109.838472834068,109.936368086148,110.034263338228,110.132158590308,110.230053842389,110.523739598629,110.81742535487,111.013215859031,111.013215859031,111.111111111111,111.306901615272,111.404796867352,111.404796867352,111.502692119432,111.698482623593,111.796377875673,111.894273127753,112.187958883994,112.481644640235,112.677435144396,112.775330396476,112.971120900636,113.069016152717,113.166911404797,113.264806656877,113.362701908957,113.558492413118,113.754282917279,113.852178169359,114.1458639256,114.34165442976,114.635340186001,114.831130690162,115.026921194322,115.222711698483,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Unemployment, Persons, Number of",LU_PE_NUM,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2425,2417,2386,2363,2291,2203,2147,2193,2298,2471,2567,2605,2651,2608,2526,2440,2375,2284,2269,2392,2439,2577,2657,2599,2589,2512,2455,2439,2424,2341,2329,2461,2496,2629,2699,2670,2749,2705,2621,2540,2463,2373,2372,2493,2438,2480,2480,2449,2569,2537,2443,2348,2266,2143,2127,2217,2194,2260,2254,2174,2209,2134,2097,2091,2055,1985,1959,2071,2099,2241,2358,2386,2544,2605,2633,2661,2645,2500,2432,2570,2616,2829,2924,2854,2927,2860,2764,2710,2663,2524,2462,2608,2615,2738,2825,2784,2854,2803,2697,2639,2587,2495,2467,2592,2601,2775,2876,2857,2948,2904,2847,2821,2799,2679,2624,2752,2810,3036,3162,3138,3250,3192,3124,3079,3016,2902,2838,2919,2965,3050,3140,3106,3197,3155,3065,2967,2922,2825,2809,2960,3000,3145,3258,3203,3247,3187,3109,3043,3029,2914,2885,3046,3004,3113,3169,3133,3228,3211,3063,2938,2879,2772,2750,2950,2907,3063,3107,3040,3042,2954,2859,2765,2741,2665,2721,2881,2739,2775,2768,2768,2922,2890,2784,2660,2607,2519,2563,2739,2647,2695,2697,2692,2772,2700,2588,2451,2404,2350,2395,2557,2444,2512,2530,2524,2620,2414,2205,2090,1863,1957,2465,2827,2733,2538,2458,2397,2512,2502,2412,2358,2274,2214,2327,2523,2372,2325,2291,2273,2319,2285,2232,2201,2178,2132,2186,2361,2213,2209,2176,...,...,...,...
"Labor Markets, Unemployment Rate, Percent",LUR_PT,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8.7,8.7,8.6,8.5,8.3,8,7.7,7.9,8.2,8.9,9.2,9.4,9.5,9.4,9.1,8.8,8.5,8.2,8.1,8.5,8.7,9.2,9.5,9.3,9.2,9,8.8,8.7,8.6,8.3,8.2,8.7,8.8,9.3,9.5,9.5,9.7,9.6,9.3,9,8.7,8.4,8.3,8.7,8.5,8.7,8.7,8.6,9,8.9,8.6,8.2,7.9,7.5,7.4,7.7,7.6,7.9,7.9,7.6,7.7,7.5,7.3,7.3,7.1,6.9,6.8,7.2,7.3,7.7,8.1,8.3,8.8,9,9.1,9.1,9.1,8.6,8.4,8.8,9,9.7,10,9.8,10,9.8,9.5,9.3,9.1,8.7,8.4,8.9,8.9,9.4,9.7,9.6,9.8,9.6,9.3,9.1,8.9,8.6,8.5,8.8,8.9,9.5,9.8,9.8,10.1,9.9,9.7,9.6,9.5,9.1,8.9,9.3,9.5,10.2,10.7,10.6,11,10.8,10.6,10.4,10.2,9.8,9.6,9.8,10,10.3,10.6,10.5,10.8,10.7,10.4,10,9.9,9.6,9.5,10,10.1,10.6,10.9,10.8,11,10.8,10.5,10.3,10.2,9.8,9.7,10.2,10.1,10.4,10.6,10.6,10.8,10.8,10.3,9.9,9.7,9.3,9.3,9.9,9.8,10.3,10.4,10.3,10.3,10,9.7,9.3,9.2,8.9,9.1,9.6,9.2,9.3,9.2,9.3,9.8,9.7,9.3,8.9,8.7,8.4,8.6,9.1,8.8,9,9,9,9.3,9,8.7,8.2,8,7.9,8.1,8.6,8.2,8.4,8.4,8.4,8.7,8.1,7.5,7.2,6.5,6.8,8.3,9.4,9.1,8.5,8.2,8.1,8.5,8.4,8.1,7.9,7.6,7.4,7.7,8.3,7.8,7.7,7.6,7.5,7.7,7.5,7.4,7.2,7.1,7,7.1,7.6,7.2,7.2,7.1,...,...,...,...
