Indicator,Indicator_Code,Base Year,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Financial Market Prices, Equities, Index",FPE_IX,,42.070848557767,40.7218934385836,39.6311506342096,38.6384361639311,39.0816947181019,41.5824827629073,41.2738355805559,38.1887844575366,35.824738835292,35.8517321446806,35.7661349399088,36.9470922256605,35.9007463117283,38.9023312807171,42.2978054617055,43.2344022624655,42.7542054954471,42.5769731088035,42.923624029373,44.201188948726,44.9445704822834,44.2281822581146,42.986134851115,41.0902100416887,42.7304087621703,43.285192305131,42.5869180122624,43.5146354349341,46.5538689670176,44.7620104687868,41.6130278235312,39.5956331218561,41.0905652168122,43.3825102889794,45.6385826736695,47.0280277569359,48.0054696969024,49.1913994343836,50.2714869850516,49.500756966982,49.6215165089837,50.4327364911362,50.1997416100976,53.2247681372397,53.4559871426605,54.867453083586,54.5232883888812,57.8537655222628,60.7473772536972,60.7026251881318,57.5312665100936,56.190835593875,55.3813914873402,53.1853436985274,53.9049284988079,56.5250553851208,55.1945693723612,53.8676351108368,54.4646844934981,53.3622209100475,53.3426862782531,53.4954115813728,53.6683818665341,55.6552315075852,57.3497720219676,58.3762281289818,59.6978347636532,61.0237034998069,61.9162585852487,61.7947886929999,62.3392721573781,63.3383797798802,64.5964100674389,65.3444088776022,65.2115733814004,67.2158266035047,67.1266776474976,66.5971115383079,65.5180895130105,67.4640940148552,68.8460804205273,70.109438334939,69.3269875377929,70.197166590452,72.5264050505903,74.79348786411,75.3642542876297,74.3289188025271,78.2592867195582,78.3956739669953,80.6226219915557,82.5522884377178,83.7431906269285,86.0500530542841,81.457638706985,84.8218574771023,87.1972687033,93.20470074276,97.3360977797115,99.4380241607878,99.9722075465834,98.5845383389347,99.5978529663782,92.264197015641,85.1635359459423,83.0399438823305,91.3222725880279,92.1991999680343,96.4446082196403,97.9420265404611,100.932956255744,105.720716920987,104.273023117461,105.928849543378,106.584502821422,103.739905257036,102.306773633575,100.725889158723,107.414191909999,111.762245772306,109.108377249257,104.673660656808,111.106592494262,106.390577203973,105.225957973904,109.359486061596,109.563001407381,110.684644447503,110.547191674695,107.10376885203,108.338357581435,105.97431195919,105.786779493964,104.965259433229,98.018389192021,98.426485408962,100.935087306485,98.9631550206224,93.7491842071381,93.5421171101176,83.588689448191,85.8277134269516,89.6085526169747,89.0448896959257,89.3620610812419,87.9406502368574,90.2773473745899,89.8827478123432,89.3180193659236,82.6080509321127,73.1987515594408,73.0644953627448,68.0952402093757,67.5773948792627,69.9663027601547,67.477945844673,65.0077028604917,62.3488618857135,62.0718252893567,65.8761060375331,68.5832508291119,71.3582340692858,71.1344737414591,73.345794060584,74.534920374177,75.4757792764195,76.391420744891,77.1010606417127,78.7316696338588,78.7625698696064,78.9419333069912,80.0110104288296,78.5412957676444,79.1085104399288,77.2402892901381,77.3503935784338,80.459951784977,81.8884661318321,83.8049910984235,84.3473435120604,86.0255459707602,89.1084660430384,88.4240435799877,87.0626573314805,87.2565829489302,89.8280508433189,92.884332781332,94.5355419306432,96.0976021239472,94.2165946697093,97.4813644052371,99.6553913363908,102.878250407341,105.062932592201,107.582544918554,109.681274723518,105.967918806967,102.4218503736,105.175523106362,106.033271029697,106.941098645451,110.942146412065,112.551089721676,113.28807810301,114.682495638006,117.132493640145,114.535453136862,118.889900151393,121.284490834262,121.12856895503,120.378439094126,113.408837645011,116.082951150101,120.416798007468,115.139606021994,116.040330135277,108.957072646632,107.372636420545,103.331453864971,108.582362891303,111.885846715296,104.445638227499,96.8381422565164,98.8502093313384,94.6907534596277,76.8091066901674,74.9678788497654,75.6096802979919,76.1619776150878,72.6762889527218,67.5553740216035,73.3937427022611,79.6760802873367,78.862729254443,79.3219706891729,86.6250815792862,91.8582318494413,94.1437837693848,95.2128608912232,96.1846200292132,98.2989775396131,95.1652674246696,102.138065449896,104.402662037551,95.7122371149125,94.2347086010096,94.6385427164681,96.7266172677266,101.100243738929,104.420065618604,105.19541291328,107.967199577342,110.056339653971,110.883542516682,108.053151957237,110.694589350962,109.862058861397,107.383646849375,109.310471894549,97.2352280446278,96.3028933453501,99.1073561207773,98.8800440417153,99.9530280899126,104.056011116981,108.239263721969,108.356471512735,105.756589608464,100.795503482936,100.968828943221,103.885527057685,106.920498488286,107.575796591207,108.197353057392,107.415257435369,110.071257009159,114.717657975235,117.97603455854,120.48037435458,119.081339542978,124.427790677541,118.204056987849,122.653335760363,123.191426072518,123.913852273787,124.417490598958,126.568075971959,124.828783392011,127.794495673523,127.667698154421,126.910464791046,126.819184784298,129.390652678686,128.977939185139,128.227098973988,127.230832752474,128.354251668213,121.566499882348,126.116293214823,124.71512735248,126.312705058138,131.389223098814,132.019658943088,134.553478274382,134.477825973069,131.396681776408,128.809231001461,125.556537220133,119.147046940832,123.326747794584,122.885620291155,120.801097491132,115.93306724797,114.666157582323,120.08541961721,122.12341447605,120.370980416532,120.188420403035,127.852744393783,131.846333482803,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Financial Market Prices, Equities, End of Period, Index",FPE_EOP_IX,,41.7737670358933,40.1670974542275,39.9051054440294,37.3360089287259,41.3117018922242,41.9215849323576,41.0543627455952,37.6194756938583,34.4376328377636,35.5289083010069,36.9619902802874,36.9455263015044,37.0883334218173,41.1603048699376,42.7107821761921,43.0479358286601,43.0157236962587,41.5604511368795,44.2340581261965,45.405506007861,45.3103012609857,44.3321261737296,41.8381913006961,42.5092773923922,43.945938497495,44.0175210139425,41.9369751733938,45.9112364865631,46.9506146253819,43.5443605802241,40.9144189259402,39.2626523589124,43.1699840192033,44.9778004720868,46.9946378729972,48.8117600530188,48.8310873324597,49.9835658472656,50.3965969671681,49.7097627218537,50.2301676164275,51.2641770665128,51.852943264294,55.018680054188,53.9213200770467,56.0265618857699,55.7073038624137,60.2069808463082,62.4897472958214,59.9678952413733,55.904871607809,56.5659361472024,53.7305526707139,52.3751377217791,55.3239794868369,58.2194922771413,54.0795174383959,54.9789517575596,54.6933375169338,54.4542519119989,52.9911052758105,53.2216009787717,55.0698615534481,56.5025856201463,58.4313765258262,58.1074656389009,60.9532285802742,61.5409210403088,62.0523781203267,62.0670525361985,64.0162444590659,64.51589042387,65.9260659978872,65.8834744006009,65.9790370600584,68.5263009078454,67.4944389332536,66.440386378563,65.6927069942681,68.5753349316119,69.6139972452662,70.0399132181293,71.0517320881158,72.0714250349115,74.7181885805606,75.4429615595922,75.1509048924861,76.4254315978352,78.7346835784339,78.13589582835,82.1473800500721,81.5550347264684,87.8682547645622,82.1004935017989,81.9133052212885,86.2927235775511,90.7909689111167,96.0422623177108,99.5591113507801,99.8214612735605,100.293547969532,98.1918852866314,97.8790696897555,87.3607347229489,83.9240581083009,89.6517331618536,94.0186245777378,95.7029611897493,96.4910846958371,101.124263072906,103.608176393637,108.390246404917,103.424209326367,105.447131241175,104.694441080729,105.194444958115,101.150032778827,103.951414560003,110.484035011009,116.037406637012,106.510131610422,106.995461071936,111.330856180584,107.442493887152,107.990458050558,108.438206690937,109.607507097108,114.817998469327,108.424606012812,109.360189502782,105.407402944547,106.794314200719,108.449301980987,102.649328585822,97.0444175479768,102.686551494375,100.617100943875,97.6428473854785,95.3450486075114,92.7054433135071,81.5299808457117,86.3822017231106,89.9817285626769,90.3328408058522,89.3356963517375,88.2963182129187,90.6009173299484,89.9090723084826,88.6037651210611,80.9995543988352,73.4010702779252,73.2364304900958,64.4772358649883,69.3888702310386,71.6888164844992,67.7789794361327,61.6425682136643,62.9596865162997,62.1236027241921,67.6991649302936,70.4669029287391,70.5538756862229,73.2224718993885,73.8996425049825,72.5746501255379,76.0696664910907,76.8338098541686,79.0049075780235,78.2790608612451,80.2944666118266,78.6323205799139,80.0772136744082,78.805550269717,79.766903465608,78.4623121033509,79.2486460465276,81.3059275692308,82.2361423704671,83.9380166990082,86.2837757629952,87.3743354010739,89.3156532471322,87.9652490743487,85.7934355253293,88.8822211100421,91.6317055667935,94.6589301873614,95.1764717812774,98.2752789182929,95.3622284114588,98.1056283543121,101.898427988287,104.816847183854,105.803254260502,109.090323415775,110.03163350706,104.397731550054,106.213422079747,107.52696125656,107.642567020622,109.17908573617,112.401372714057,111.663356969483,115.298675067273,114.955794813489,114.470465351974,117.510216912921,120.101146095741,123.075399654137,121.838453769923,117.721743249023,116.696681613494,118.715666489898,123.627300855948,117.426465368677,117.634054666375,107.377353797184,107.839776853436,104.762802383937,110.950753018247,110.317963572851,102.208738197087,98.3976850214182,102.674024553996,88.8936743126737,78.157012670702,76.3781871369798,79.073268881231,74.4071625465958,69.0681805573535,71.015940829892,77.7765515957832,80.6248199252322,77.7414761627239,84.2336524919366,90.2175929543716,94.3024492554525,92.4348614013353,94.7906420176249,98.8125057042319,95.2222845918038,97.953515506861,104.159361770283,102.482899235081,95.6761177460814,91.0339915544562,97.186150930543,96.5190018772516,102.634296257368,105.088502833773,102.420622445772,109.623255250727,108.958253672929,111.188406972853,109.797916590859,112.922493433796,111.707022304516,110.835505166767,108.305063210345,100.233776568299,95.0036000040565,102.393779002104,101.498281721345,102.287121052597,104.972539157128,108.945368819968,107.473274369224,106.825094682791,99.0376327184595,103.48863359117,104.770676460746,106.394167933777,107.332972636987,108.247081372022,109.710943833375,110.717036102046,117.659466459714,119.878882382171,120.997359201664,121.338807805119,124.332388642957,117.742860091375,125.62516889,122.063580784151,123.25972463399,128.323113934909,127.003490244198,129.193199422329,125.144492292054,131.234374878832,127.259039827916,129.558270256212,130.817406720525,128.855329944697,128.333851312376,130.263715955803,126.483801174789,125.39324153671,128.609444000699,126.441209577502,129.629136947495,134.011776516998,131.124137803503,134.577278396934,135.903702426707,127.79555078869,130.737950127268,122.930802970913,119.396774133896,124.718218406609,124.987726581034,123.274399049862,119.396058308732,119.751823415476,121.51812200882,122.466948264333,122.755783718199,125.822378722813,130.775173035821,132.327081992404,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Prices, Producer Price Index, All Commodities, Index",PPPI_IX,2010=100,55.1107207176602,55.2551787011927,55.616323660024,56.3386135776867,56.6275295447518,56.699758536518,56.699758536518,57.2053614788819,57.783193413012,58.2165673636096,58.1443383718433,58.0721093800771,58.7221703059735,58.7973587442654,59.0229240591411,59.7748084420601,60.0755621952277,60.0003737569357,60.1507506335195,60.1507506335195,60.2259390718114,60.3763159483952,60.526692824979,60.3763159483952,60.6770697015628,60.9026350164385,61.3537656461899,61.6545193993575,61.8048962759413,61.8800847142332,61.8800847142332,61.8048962759413,61.8048962759413,62.105650029109,62.3312153439847,62.4064037822766,62.782345973736,63.1582881651955,63.6094187949469,64.1357378629902,64.286114739574,64.3613031778659,64.4364916161578,64.5116800544497,64.5116800544497,64.5868684927416,64.5868684927416,64.9628106842011,65.1131875607849,65.1883759990768,65.2635644373687,65.4891297522444,65.7146950671201,65.7146950671201,65.789883505412,65.9402603819958,66.0154488202877,66.0906372585796,66.2410141351634,66.6169563266229,67.4440291478338,67.5944060244176,67.8199713392933,68.1207250924609,68.3462904073366,68.4214788456285,68.5718557222123,68.7222325987961,68.797421037088,68.8726094753799,68.797421037088,69.3989285434232,69.7748707348827,69.8606946841261,70.0323425826129,70.2898144303431,70.2898144303431,70.1181665318563,70.0323425826129,70.2039904810997,70.4614623288299,70.4614623288299,70.5472862780733,70.7189341765601,70.8905820750469,70.7189341765601,70.6331102273167,70.7189341765601,70.7189341765601,70.7189341765601,70.8905820750469,71.0622299735337,71.1480539227771,71.1480539227771,71.0622299735337,71.2338778720205,71.2338778720205,70.8905820750469,70.9764060242903,71.0622299735337,71.1480539227771,71.0622299735337,70.9764060242903,70.9764060242903,70.8905820750469,70.8905820750469,70.7189341765601,70.7189341765601,70.7189341765601,70.8047581258035,71.1480539227771,71.4913497197507,71.4913497197507,71.4913497197507,71.4055257705073,71.4055257705073,71.5771736689941,71.5771736689941,71.4913497197507,71.5771736689941,71.6629976182375,71.7650816604287,71.5609135760463,70.8463252807077,70.9484093228989,71.4588295338551,71.3567454916638,71.2546614494726,71.7650816604287,71.7650816604287,72.5817539979585,72.377585913576,72.377585913576,72.377585913576,71.8671657026199,71.9692497448112,71.9692497448112,71.9692497448112,71.3567454916638,71.2546614494726,71.1525774072814,71.2546614494726,71.2546614494726,71.6629976182375,71.8671657026199,71.5609135760463,71.3567454916638,71.2546614494726,70.9484093228989,70.8463252807077,70.8463252807077,70.9484093228989,71.7650816604287,71.9692497448112,71.9692497448112,71.6629976182375,71.5609135760463,72.0713337870024,72.2755018713848,71.5609135760463,71.2546614494726,70.9484093228989,71.1525774072814,71.4588295338551,71.0504933650901,71.5609135760463,71.8671657026199,71.9692497448112,71.6629976182375,71.5609135760463,71.9692497448112,71.9692497448112,72.7859220823409,72.2755018713848,72.6838380401497,73.6025944198707,74.6234348417829,76.2567795168425,76.1546954746512,75.4401071793127,76.2567795168425,76.5630316434161,77.4817880231371,77.5838720653283,77.2776199387547,77.890124191902,79.3193007825791,80.0338890779177,80.1359731201089,81.0547294998299,82.8922422592719,84.1172507655665,84.7297550187138,84.5255869343314,84.7297550187138,84.7297550187138,84.0151667233753,83.8109986389928,85.0360071452875,84.6276709765226,82.9943263014631,83.402662470228,84.3214188499489,84.7297550187138,83.6068305546104,83.8109986389928,84.5255869343314,83.9130826811841,84.0151667233753,84.7297550187138,85.0360071452875,84.8318390609051,86.0568475671997,87.2818560734944,89.5277050017013,90.5485454236135,92.0798060564818,93.2027305205852,94.3256549846887,97.0819241238516,100.042361347397,102.390294317795,102.900714528751,101.165285811501,100.654865600544,99.531941136441,98.5111007145287,97.0738346376318,97.3800612453215,96.7676080299422,97.4821367812181,96.4613814222524,96.6655324940456,96.2572303504593,95.9510037427697,96.3593058863559,96.9717591017353,98.0945899965975,97.7883633889078,98.5028921401837,98.91119428377,99.2174208914597,101.258931609391,101.361007145288,99.8298741068391,99.4215719632528,99.1153453555631,98.7070432119769,99.3194964273562,100.442327322218,100.544402858115,101.87138482477,102.892140183736,103.402517863219,105.546104117047,106.873086083702,106.464783940116,106.873086083702,107.179312691392,106.260632868322,107.281388227288,107.179312691392,107.179312691392,106.975161619599,111.058183055461,112.385165022117,113.303844845185,112.793467165703,111.874787342633,109.833276624702,108.506294658047,111.160258591358,111.67063627084,111.67063627084,111.97686287853,111.466485199047,112.58931609391,114.324600204151,114.732902347737,115.447431099013,114.426675740048,115.039128955427,116.264035386186,116.059884314393,115.651582170806,114.630826811841,113.405920381082,114.222524668255,107.587614834978,107.587614834978,107.587614834978,106.873086083702,106.566859476013,105.954406260633,105.239877509357,105.44402858115,105.648179652943,105.44402858115,105.546104117047,104.933650901667,104.525348758081,103.912895542701,104.423273222184,104.117046614494,101.87138482477,101.361007145288,100.952705001701,100.442327322218,100.850629465805,101.054780537598,100.442327322218,101.054780537598,101.769309288874,102.075535896564,102.381762504253,102.483838040149,101.973460360667,102.79006464784,105.341953045254,105.75025518884,105.75025518884,108.09799251446,107.791765906771,107.791765906771,108.506294658047,108.404219122151,108.608370193944,107.995916978564,108.200068050357,108.71044572984,108.608370193944,109.629125552909,109.424974481116,109.833276624702,110.547805375979,110.445729840082,110.343654304186,110.241578768289,110.343654304186,110.343654304186,111.67063627084,112.385165022117,112.487240558013,113.610071452875,114.324600204151,114.732902347737,114.528751275944,114.834977883634,114.528751275944,114.426675740048,113.712146988771,114.528751275944,115.039128955427,115.753657706703,116.264035386186,117.080639673358,116.468186457979,115.957808778496,115.54950663491,115.345355563117,115.447431099013,115.345355563117,115.957808778496,114.222524668255,113.916298060564,114.528751275944,115.039128955427,114.324600204151,114.834977883634,115.54950663491,115.345355563117,116.468186457979,116.774413065669,116.876488601565,117.386866281048,117.89724396053,118.50969717591,118.8159237836,120.142905750256,121.163661109221,123.613473970739,124.7363048656,127.798570942498,126.879891119428,129.023477373256,130.656685947601,134.943858455257,140.864239537258,142.191221503913,144.538958829533,146.172167403879,147.192922762845,149.540660088465,151.071793126914,...,...,...,...,...
"Prices, Consumer Price Index, All items, Index",PCPI_IX,2010=100,58.1468466802293,58.701683003514,58.9236175328278,60.3661919733679,61.0319955613094,61.2539300906233,61.2539300906233,61.8087664139079,62.3636027371925,62.9184390604772,63.140373589791,63.2513408544479,63.2513408544479,63.4732753837618,63.8061771777326,65.1377843536157,65.6926206769003,66.0255224708711,65.8035879415572,66.4693915294988,66.6913260588126,67.0242278527834,67.1351951174403,67.3571296467542,67.1351951174403,67.4680969114111,67.8009987053819,68.5777695579804,69.0216386166081,69.0216386166081,68.7997040872942,68.9106713519512,69.132605881265,69.3545404105789,69.3545404105789,69.4655076752358,69.2435731459219,69.5764749398927,69.9093767338635,70.3532457924912,70.5751803218051,70.5751803218051,70.3532457924912,70.686147586462,71.0190493804328,71.0190493804328,70.7971148511189,71.0190493804328,71.0190493804328,71.2409839097466,71.4629184390605,72.0177547623451,72.2396892916589,72.2396892916589,71.7958202330313,72.2396892916589,72.3506565563159,72.2396892916589,72.3506565563159,72.6835583502867,72.6835583502867,72.9054928796005,73.2383946735713,73.682263732199,74.0151655261698,74.1261327908267,73.9041982615128,74.2371000554836,74.5700018494544,74.4590345847975,74.4590345847975,74.9029036434252,74.7919363787683,75.124838172739,75.3467727020529,75.7906417606806,76.1235435546514,76.2345108193083,75.7906417606806,76.2345108193083,76.5674126132791,76.678379877936,76.7893471425929,77.0112816719068,76.7893471425929,76.9003144072499,77.0112816719068,77.3441834658776,77.6770852598483,77.7880525245053,77.6770852598483,78.0099870538191,78.231921583133,78.3428888477899,78.3428888477899,78.4538561124468,78.1209543184761,78.3428888477899,78.5648233771038,79.0086924357314,79.3415942297022,79.2306269650453,79.0086924357314,79.2306269650453,79.5635287590161,79.5635287590161,79.674496023673,79.8964305529869,79.674496023673,79.7854632883299,80.2293323469576,80.5622341409284,80.7841686702423,80.6732014055853,80.3402996116146,80.5622341409284,80.7841686702423,80.7841686702423,80.8951359348992,81.117070464213,80.5622341409284,80.7841686702423,81.0061031995561,81.3390049935269,81.5609395228408,81.6719067874977,81.3390049935269,81.3390049935269,81.8938413168115,81.8938413168115,82.1157758461254,82.1157758461254,81.5609395228408,81.7828740521546,82.0048085814685,82.5596449047531,83.1144812280377,83.2254484926947,82.67061216941,83.0035139633808,83.2254484926947,83.1144812280377,83.1144812280377,83.2254484926947,83.0035139633808,83.2254484926947,83.4473830220085,83.8912520806362,84.11318660995,84.11318660995,83.8912520806362,84.11318660995,84.3351211392639,84.4460884039208,84.4460884039208,84.6680229332347,84.224153874607,84.4460884039208,84.7789901978916,85.2228592565193,85.2228592565193,85.1118919918624,85.0009247272055,85.2228592565193,85.4447937858332,85.5557610504901,85.5557610504901,85.7776955798039,85.4447937858332,85.666728315147,85.7776955798039,86.1105973737747,86.4434991677455,86.4434991677455,86.2215646384317,86.4434991677455,86.4434991677455,86.6654336970594,86.8873682263732,87.220270020344,86.8873682263732,87.1093027556871,87.4422045496578,87.7751063436286,88.1080081375994,88.1080081375994,88.2189754022563,88.4409099315702,88.662844460884,88.773811725541,88.773811725541,89.1067135195117,88.773811725541,88.9957462548548,89.2176807841687,89.7725171074533,90.216386166081,90.4383206953949,90.4383206953949,90.7712224893656,90.8821897540226,90.9931570186795,91.2150915479933,91.658960606621,91.1041242833364,91.4370260773072,91.8808951359349,92.2137969299057,92.4357314592195,92.6576659885334,92.2137969299057,92.5466987238764,92.6576659885334,92.9905677825042,93.3234695764749,93.7673386351026,93.3234695764749,93.8783058997596,94.2112076937303,94.9879785463288,95.5428148696135,96.0976511928981,96.0976511928981,96.6524875161827,97.0963565748104,96.8744220454966,96.8744220454966,96.6524875161827,96.0976511928981,96.7634547808397,96.8744220454966,97.0963565748104,97.5402256334381,97.762160162752,97.651192898095,97.9840946920658,97.9840946920658,98.0950619567228,98.3169964860366,98.6498982800074,98.5389310153505,98.7608655446643,99.204734603292,99.7595709265767,99.9815054558905,100.092472720547,99.8705381912336,100.314407249861,100.314407249861,100.536341779175,100.869243573146,101.756981690401,101.867948955058,102.422785278343,102.755687072314,103.532457924912,103.754392454226,103.754392454226,103.754392454226,104.198261512854,104.864065100795,104.864065100795,105.085999630109,105.41890142408,105.085999630109,105.640835953394,105.862770482708,106.417606805992,106.417606805992,106.084705012021,106.195672276678,106.639541335306,106.972443129277,107.416312187905,107.638246717218,107.971148511189,107.638246717218,108.193083040503,108.525984834474,108.747919363788,108.969853893102,108.747919363788,108.747919363788,109.191788422415,109.524690216386,109.635657481043,109.635657481043,110.079526539671,109.524690216386,109.968559275014,110.190493804328,110.523395598298,110.523395598298,110.745330127612,110.523395598298,110.856297392269,110.967264656926,111.078231921583,110.856297392269,110.856297392269,110.079526539671,110.412428333642,110.523395598298,110.856297392269,111.078231921583,111.078231921583,110.967264656926,111.300166450897,111.18919918624,111.300166450897,111.300166450897,111.411133715554,110.856297392269,111.078231921583,111.411133715554,111.633068244868,111.855002774182,112.076937303495,111.965970038839,112.298871832809,112.63177362678,112.742740891437,112.964675420751,113.408544479379,112.964675420751,113.630479008692,113.963380802663,114.518217125948,114.851118919919,114.851118919919,114.851118919919,115.405955243203,115.738857037174,115.849824301831,116.182726095802,116.515627889773,115.960791566488,116.404660625116,116.626595154429,117.070464213057,117.514333271685,117.514333271685,117.514333271685,118.180136859626,118.291104124283,118.40207138894,118.624005918254,118.845940447568,118.069169594969,118.513038653597,118.734973182911,119.400776770853,119.733678564823,119.733678564823,119.84464582948,120.177547623451,120.288514888108,120.177547623451,120.399482152765,120.399482152765,120.177547623451,120.510449417422,120.510449417422,120.510449417422,120.510449417422,120.732383946736,121.176253005363,120.732383946736,121.176253005363,121.176253005363,121.065285740706,121.398187534677,121.28722027002,121.398187534677,121.731089328648,122.507860181247,123.173663769188,123.617532827816,123.617532827816,124.394303680414,124.727205474385,125.836878120954,126.613648973553,127.279452561494,127.168485296837,128.056223414093,129.276863325319,132.051044941742,132.827815794341,133.715553911596,134.492324764195,135.158128352136,135.712964675421,137.932309968559,138.487146291844,139.041982615129,138.487146291844,139.818753467727,140.706491584982
