Indicator,Indicator_Code,Base Year,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
"Economic Activity, Industrial Production, Manufacturing, Index",AIPMA_IX,2010=100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75.0795334040297,74.8481635013979,79.0128217487708,78.4343969921913,76.6991227224526,78.8971367974549,80.6324110671938,71.3776149619204,83.1774799961439,88.3833028053601,83.2931649474598,80.0539863106141,78.0873421382435,79.9383013592982,90.2342620264147,81.6735756290369,78.8971367974549,85.0284392171985,82.8304251421961,73.6913139882387,84.7970693145667,85.6068639737781,84.5656994119348,80.16967126193,77.2775474790321,78.8971367974549,92.663646004049,81.557890677721,80.7480960185096,87.3421382435169,84.4500144606189,81.4422057264051,92.8950159066808,90.9283717343102,96.0185095922106,86.8793984382532,82.946110093512,89.6558372698351,99.7204280343199,83.0617950448279,90.4656319290466,92.4322761014172,84.6813843632507,86.6480285356213,90.9283717343102,94.1675503711559,96.5969343487901,85.1441241685144,89.6558372698351,88.498987756676,99.604743083004,86.6480285356213,91.9695362961535,92.0852212474694,89.0774125132556,89.4244673672034,90.3499469777307,99.0263183264244,97.1753591053697,83.0617950448279,88.9617275619397,89.4244673672034,98.100838715897,94.2832353224718,98.6792634724766,87.8048780487805,98.100838715897,89.4244673672034,96.828304251422,101.687072206691,98.9106333751084,89.5401523185192,91.9695362961535,92.0852212474694,101.571387255374,95.0930299816832,94.6302901764195,97.4067290080016,98.9106333751084,89.0774125132556,101.918442109322,106.545840161959,99.1420032777403,95.6714547382628,95.2087149329991,97.2910440566856,111.751662971175,99.1420032777403,95.440084835631,101.108647450111,95.9028246408947,90.4656319290466,101.918442109322,99.4890581316881,104.579195989588,96.0185095922106,91.7381663935216,95.3243998843151,103.885086281693,99.2576882290562,99.3733731803722,105.967415405379,97.7537838619493,98.2165236672129,106.545840161959,102.612551817218,108.396799383014,100.183167839584,99.604743083004,101.224332401427,117.767280439603,99.604743083004,109.206594042225,111.520293068543,102.84392171985,104.694880940904,110.247758604068,112.44577267907,115.106526559337,100.877277547479,106.198785308011,102.034127060638,114.528101802758,102.496866865902,110.132073652752,108.165429480382,104.347826086957,105.504675600116,106.083100356695,114.990841608021,114.412416851442,99.1420032777403,106.892895015907,109.669333847488,109.900703750121,111.63597801986,108.396799383014,109.669333847488,111.404608117227,100.067482888268,113.255567338282,115.569266364601,103.075291622481,98.5635785211607,91.6224814422057,92.2009061987853,105.736045502748,98.3322086185288,94.1675503711559,102.034127060638,100.298852790899,90.3499469777307,104.232141135641,104.116456184325,102.728236768534,96.3655644461583,88.3833028053601,93.2420707606285,111.867347922491,97.8694688132652,96.5969343487901,104.81056589222,99.0263183264244,96.4812493974743,105.736045502748,103.653716379061,105.851730454063,96.4812493974743,91.159741636942,93.8204955172081,110.4791285067,93.9361804685241,99.0263183264244,104.579195989588,95.7871396895788,96.9439892027379,103.653716379061,98.9106333751084,103.653716379061,93.7048105658922,93.1263858093126,97.7537838619493,109.437963944857,94.9773450303673,103.422346476429,101.802757158006,101.687072206691,99.8361129856359,101.571387255374,108.281114431698,106.545840161959,94.5146052251037,96.3655644461583,95.440084835631,107.587004723802,103.653716379061,105.967415405379,105.273305697484,108.859539188277,100.183167839584,110.016388701437,114.412416851442,109.669333847488,101.571387255374,103.538031427745,102.26549696327,115.800636267232,107.239949869855,106.198785308011,110.941868311964,111.404608117227,98.7949484237925,114.412416851442,114.296731900125,107.008579967223,106.314470259327,100.183167839584,102.728236768534,120.775089173816,108.396799383014,105.273305697484,115.569266364601,111.751662971175,99.7204280343199,116.14769112118,112.44577267907,109.785018798805,105.041935794852,96.9439892027379,103.769401330377,116.72611587776,108.281114431698,107.818374626434,114.296731900125,104.463511038272,105.3889906488,115.337896461969,107.93405957775,113.833992094862,105.157620746168,102.149812011954,102.728236768534,121.353513930396,99.9517979369518,110.247758604068,114.528101802758,105.273305697484,105.967415405379,114.875156656705,115.222211510652,117.882965390919,105.504675600116,110.941868311964,108.628169285646,121.353513930396,111.520293068543,116.032006169864,118.11433529355,114.065361997493,111.63597801986,114.990841608021,121.237828979081,119.733924611973,104.000771233009,110.363443555384,109.553648896172,124.592692567242,110.132073652752,116.14769112118,114.065361997493,118.924129952762,108.628169285646,119.386869758026,126.096596934349,119.733924611973,110.4791285067,115.916321218548,115.453581413285,122.973103248819,84.334329509303,91.2754265882579,113.60262219223,119.849609563289,110.826183360648,129.914200327774,130.261255181721,131.533789646197,123.78289790803,115.106526559337,120.080979465922,143.102284777789,124.93974742119,123.551528005398,133.153378964619,126.675021690929,120.775089173816,133.616118769883,127.716186252772,133.153378964619,122.857418297504,113.486937240914,117.30454063434,138.821941579099,116.494745975128,121.122144027765,126.90639159356,116.494745975128,116.494745975128,125.633857129085,117.651595488287,...,...,...,...,...
"Economic Activity, Industrial Production, Index",AIP_IX,2010=100,83.923176113541,82.497527595191,93.4274995692082,81.1669223113976,84.208305817211,83.352916706201,77.9354523364707,76.985019990904,81.0718790768409,89.435683717828,88.865424310488,79.7412737930475,83.067787002531,81.7371817187376,86.6794299156845,79.8363170276042,80.1214467312742,77.5552793982441,77.1751064600174,71.9477285594004,79.2660576202641,86.7744731502412,85.2537813973345,79.8363170276042,80.5016196695009,81.2619655459542,89.2455972487147,79.9313602621608,75.8445011762239,80.4065764349442,77.6503226328007,71.2824259175037,82.2123978915209,86.8695163847978,85.7289975701178,82.4975275951909,78.5057117438107,81.5470952496242,92.5721104581981,81.0718790768409,79.8363170276041,81.1669223113975,77.7453658673574,74.6089391269872,84.5884787554377,86.1091705083445,91.7167213471881,85.0636949282211,82.0223114224076,84.6835219899944,96.4688830750217,84.3983922863244,86.0141272737878,86.5843866811278,80.5016196695009,81.8322249532943,89.9108998906113,90.9563754707348,95.6134939640117,88.1050784340346,86.3943002120145,88.133168542553,99.5730917697794,84.6554318814761,88.590765471642,87.9501297709173,82.6420053934842,83.3741604800267,88.590765471642,93.1667347625326,96.0953551087026,86.668858369468,89.5974787156379,92.4345796759901,97.6511846676054,87.8586103850995,89.5974787156379,85.204548196383,86.4858195978323,81.8183309211239,89.0483624007311,96.7359908094273,95.1801612505245,88.7738042432776,91.8854633610832,90.3485499954259,94.3006129356875,92.4343609916751,89.799652364834,91.2267862043729,93.3125972006221,84.0911170066783,95.7277467752264,101.985179763974,97.7037782453573,96.6059829841735,94.6299515140427,95.5081877229897,105.827463178117,96.3864239319367,92.1050224133199,97.045101088647,94.6299515140427,85.737809898454,96.6059829841735,99.2406916110146,99.7895892416065,97.8135577714757,95.3984081968713,96.9353215625286,111.096880431799,97.7037782453573,95.1788491446345,100.667825450553,97.1548806147654,93.7517153050956,104.949226969171,104.729667916934,110.218644222853,101.875400237856,97.045101088647,102.643856920684,112.633793797457,95.6179672491081,102.204738816211,104.070990760224,96.8255420364103,99.0211325587778,103.302534077395,107.254597017657,110.767541853444,102.094959290092,107.69371512213,104.949226969171,116.805415789955,102.973195499039,105.937242704236,104.400329338578,101.436282133382,100.777604976672,102.534077394566,111.865337114628,110.987100905681,99.6798097154881,104.729667916934,102.753636446803,112.743573323576,106.925258439301,110.218644222853,100.338486872198,107.913274174367,99.6798097154881,108.242612752722,113.292470954167,111.096880431799,105.498124599762,108.023053700485,107.254597017657,117.024974842192,108.462171804959,107.03503796542,108.791510383313,109.999085170616,100.448266398317,112.304455219102,118.342329155612,111.206659957918,109.340408013906,107.69371512213,108.132833226603,122.62373067423,109.889305644497,105.60790412588,110.657762327325,105.827463178117,99.8993687677249,109.779526118379,109.66974659226,114.500045741469,107.144817491538,102.424297868448,104.070990760224,112.853352849693,107.913274174367,107.03503796542,111.75555758851,104.729667916934,104.070990760224,111.645778062392,109.120848961669,114.280486689232,109.01106943555,107.803494648248,107.583935596011,123.392187357058,105.827463178117,112.633793797457,114.170707163114,106.266581282591,107.474156069893,113.182691428048,116.366297685481,119.440124416796,108.681730857195,113.402250480285,109.230628487787,120.208581099625,107.474156069893,113.07291190193,109.120848961669,105.717683651999,104.729667916934,105.937242704236,114.719604793706,114.719604793706,104.29054981246,109.779526118379,109.999085170616,111.316439484036,111.426219010155,107.583935596011,107.913274174367,109.01106943555,99.8993687677249,111.316439484036,114.170707163114,106.156801756473,105.937242704236,100.777604976672,99.2406916110146,109.889305644497,101.765620711737,97.2646601408838,102.314518342329,101.216723081145,90.2387704693075,102.204738816211,103.961211234105,104.29054981246,102.424297868448,97.4842191931205,99.350471137133,114.060927636995,100.118927819962,97.1548806147654,100.997164028909,95.7277467752264,92.5441405177935,100.558045924435,100.88738450279,103.302534077395,97.8135577714757,92.5441405177935,91.556124782728,105.168786021408,90.3485499954259,93.861494831214,97.8135577714757,91.1170066782545,90.5681090476626,96.6059829841735,94.6299515140427,98.4722349281859,92.3245814655567,91.4463452566097,93.2028176745037,102.314518342329,91.2267862043729,96.0570853535816,93.9712743573324,94.6299515140427,91.9952428872016,91.556124782728,97.8135577714757,98.8015735065411,92.5441405177935,93.7517153050956,92.2148019394383,102.314518342329,95.8375263013449,96.4962034580551,94.9592900923978,96.7157625102919,89.2507547342422,97.8135577714757,102.424297868448,100.997164028909,97.7037782453573,98.8015735065411,96.1668648797,105.717683651999,96.7157625102919,96.2766444058184,98.0331168237124,98.1428963498308,88.1529594730584,100.448266398317,102.424297868448,99.4602506632514,102.534077394566,100.777604976672,101.765620711737,114.719604793706,102.973195499039,99.6798097154881,106.047022230354,102.643856920684,93.0930381483854,105.717683651999,105.717683651999,105.168786021408,103.082975025158,99.1309120848962,103.63187265575,113.731589058641,104.949226969171,102.863415972921,106.486140334827,98.8015735065411,98.5820144543043,106.266581282591,102.204738816211,108.462171804959,102.643856920684,100.338486872198,99.4602506632514,113.621809532522,95.7277467752264,103.192754551276,105.717683651999,99.0211325587778,99.1309120848962,106.705699387064,107.913274174367,111.535998536273,102.973195499039,106.266581282591,103.851431707987,114.060927636995,104.400329338578,106.815478913183,108.462171804959,104.949226969171,103.192754551276,106.047022230354,112.853352849693,112.853352849693,103.412313603513,108.571951331076,105.937242704236,117.683651998902,105.388345073643,109.450187540024,106.705699387064,109.889305644497,101.546061659501,110.218644222853,117.573872472784,114.719604793706,109.889305644497,114.060927636995,112.963132375812,118.781447260086,87.6040618424665,91.7756838349648,108.35239227884,112.524014271339,104.510108864697,118.452108681731,120.867258256335,122.843289726466,121.086817308572,114.939163845943,116.695636263837,134.479919495015,117.464092946665,115.707620528772,120.867258256335,116.695636263837,112.194675692983,121.525935413046,118.561888207849,124.050864513768,119.330344890678,113.182691428048,114.609825267588,131.406092763699,112.524014271339,114.609825267588,118.671667733967,110.657762327325,109.01106943555,116.805415789955,109.66974659226,...,...,...,...,...
"Industrial Production, Seasonally adjusted, Index",AIP_SA_IX,2010=100,84.5147717918229,84.4050123479375,84.9538095673648,85.7221256745633,86.1611634501052,85.8318851184488,85.0635690112503,84.295252904052,83.8562151285101,83.7464556846246,83.6366962407391,83.4171773529682,82.9781395774262,82.6488612457698,82.3195829141132,82.1000640263423,81.7707856946859,81.4415073630294,81.0024695874875,80.892710143602,81.112229031373,81.5512668069149,81.9903045824568,82.1000640263423,82.1000640263423,81.8805451385713,81.6610262508004,81.4415073630294,81.3317479191439,81.5512668069149,81.9903045824568,82.3195829141132,82.5391018018842,82.6488612457698,82.7586206896552,82.8683801335406,82.8683801335406,82.9781395774262,82.9781395774262,82.9781395774262,83.0878990213117,83.4171773529682,83.7464556846246,84.1854934601665,84.6245312357084,84.9538095673648,85.2830878990214,85.5026067867923,85.8318851184488,86.3806823378762,87.1489984450746,87.917314552273,88.4661117717004,88.5758712155859,88.6856306594714,88.7953901033568,89.3441873227842,90.0027439860972,90.2222628738681,89.8929845422116,89.3441873227842,89.0149089911278,89.1246684350133,89.5637062105552,90.0027439860972,90.2222628738681,90.3320223177537,90.2222628738681,90.2222628738681,90.3320223177537,90.5515412055246,90.8808195371811,91.2100978688375,91.319857312723,91.100338424952,90.7710600932956,90.4417817616391,90.4417817616391,90.6613006494101,90.9905789810665,91.4296167566085,91.7588950882649,91.9784139760359,92.1979328638068,92.0881734199213,92.6369706393488,91.8686545321504,91.9784139760359,91.9784139760359,92.1979328638068,93.8443245220891,92.8564895271198,93.6248056343182,94.7224000731729,95.6004756242569,96.3687917314552,97.2468672825392,98.0151833897375,98.344461721394,98.124942833623,96.5883106192262,96.1492728436843,95.3809567364859,95.1614378487149,94.3931217415165,94.502881185402,95.0516784048295,96.6980700631117,99.3322967163633,98.7834994969359,99.6615750480198,99.3322967163633,100.100612823562,99.5518156041344,101.088447818531,101.856763925729,102.515320589042,102.405561145157,103.393396140126,101.966523369615,102.405561145157,102.625080032928,102.295801701271,102.295801701271,101.637245037958,102.295801701271,101.637245037958,102.954358364584,102.515320589042,102.954358364584,103.942193359553,106.576420012806,107.344736120004,107.344736120004,107.344736120004,106.795938900577,105.808103905607,105.917863349493,105.149547242295,106.576420012806,105.039787798409,104.381231135095,104.161712247324,104.490990578981,104.930028354524,106.137382237264,109.430165553828,106.356901125035,109.430165553828,104.161712247324,107.893533339432,106.46666056892,108.003292783317,106.137382237264,107.015457788348,108.003292783317,108.113052227202,110.198481661027,110.418000548798,109.649684441599,108.881368334401,110.088722217141,110.418000548798,110.308241104912,109.86920332937,111.07655721211,109.86920332937,109.86920332937,110.857038324339,110.637519436568,111.954632763194,111.625354431538,109.978962773256,109.649684441599,108.552090002744,107.234976676119,107.015457788348,107.893533339432,108.442330558859,107.783773895546,107.783773895546,107.674014451661,105.25930668618,108.771608890515,108.113052227202,109.539924997714,108.771608890515,107.893533339432,108.222811671088,107.45449556389,108.003292783317,111.515594987652,109.86920332937,110.418000548798,111.405835543767,111.296076099881,111.625354431538,112.393670538736,111.625354431538,112.722948870393,113.381505533705,112.722948870393,113.052227202049,112.503429982622,112.613189426507,111.954632763194,111.515594987652,110.418000548798,112.174151650965,110.088722217141,108.66184944663,110.198481661027,108.881368334401,108.66184944663,108.66184944663,108.881368334401,109.210646666057,109.759443885485,108.003292783317,110.527759992683,109.539924997714,109.430165553828,109.759443885485,110.088722217141,109.759443885485,108.552090002744,105.149547242295,105.149547242295,101.637245037958,102.186042257386,101.747004481844,102.625080032928,100.649410042989,101.747004481844,101.966523369615,99.3322967163633,101.088447818531,101.088447818531,100.978688374646,100.759169486875,99.8810939357908,101.856763925729,103.06411780847,101.637245037958,101.637245037958,99.9908533796763,98.8932589408214,99.3322967163633,99.1127778285923,100.210372267447,98.0151833897375,96.3687917314552,96.2590322875698,94.7224000731729,94.502881185402,93.6248056343182,94.941918960944,95.3809567364859,95.0516784048295,94.502881185402,94.3931217415165,94.0638434098601,93.6248056343182,94.1736028537456,93.5150461904327,93.6248056343182,94.1736028537456,94.6126406292876,95.1614378487149,93.8443245220891,97.0273483947682,96.1492728436843,93.8443245220891,93.9540839659746,94.283362297631,95.3809567364859,93.9540839659746,94.7224000731729,96.1492728436843,95.6004756242569,96.0395133997988,97.1371078386537,97.3566267264246,96.4785511753407,98.124942833623,97.9054239458521,98.5639806091649,98.4542211652794,99.3322967163633,99.2225372724778,98.0151833897375,98.2347022775085,97.6859050580811,97.5761456141956,98.6737400530504,97.5761456141956,98.2347022775085,98.124942833623,99.1127778285923,101.088447818531,102.734839476813,103.832433915668,104.381231135095,104.27147169121,103.722674471782,103.942193359553,103.393396140126,103.722674471782,103.503155584011,103.503155584011,102.186042257386,101.966523369615,103.503155584011,102.844598920699,103.722674471782,107.015457788348,105.25930668618,104.051952803439,104.051952803439,103.832433915668,103.612915027897,102.0762828135,102.954358364584,104.490990578981,103.173877252355,102.625080032928,101.417726150188,102.295801701271,102.515320589042,102.405561145157,103.393396140126,103.503155584011,105.369066130065,105.588585017836,106.356901125035,106.686179456691,106.576420012806,106.905698344462,106.686179456691,106.576420012806,106.356901125035,108.222811671088,107.344736120004,108.113052227202,108.332571114973,107.234976676119,107.125217232233,107.344736120004,108.442330558859,109.100887222172,110.088722217141,107.564255007775,108.881368334401,109.210646666057,109.649684441599,108.991127778286,110.637519436568,111.625354431538,111.296076099881,111.405835543767,113.820543309247,114.808378304217,108.991127778286,89.1246684350133,95.8199945120279,107.015457788348,112.942467758164,115.137656635873,116.893807738041,118.101161620781,119.967072166834,120.845147717918,118.869477727979,119.308515503521,120.406109942376,119.747553279063,121.723223269002,119.418274947407,119.637793835178,120.07683161072,118.869477727979,117.991402176896,118.101161620781,118.210921064667,117.662123845239,117.332845513583,117.332845513583,117.113326625812,117.552364401354,117.223086069697,116.454769962499,114.808378304217,115.137656635873,115.137656635873,...,...,...,...,...
Labor,,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
