Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01
Central Bank Policy Rate,FPOLM_PA,14.875,14.875,14.875,14.875,14.875,14.875,14.875,14.875,14.875,13.875,13.875,13.875,13.875,12.875,12.375,11.875,11.375,11.375,10.875,10.875,10.375,10.375,10.375,10.375,10.375,10.375,10.375,10.375,9.875,9.875,9.875,9.875,8.875,7.875,6.875,6.875,5.875,5.875,5.875,5.875,5.875,5.875,5.875,5.875,5.875,5.875,5.375,5.375,5.375,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.625,5.625,5.625,6.125,6.125,6.625,6.625,6.625,6.625,6.625,6.625,6.625,6.625,6.625,6.625,6.375,6.125,6.125,5.9375,5.9375,5.9375,5.6875,5.6875,5.6875,5.6875,5.9375,5.9375,5.9375,5.9375,5.9375,5.9375,5.9375,6.25,6.5,6.75,7.0,7.0,7.0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.5,7.5,7.5,7.5,7.25,6.75,6.25,6.0,5.5,5.5,5.25,5.25,5,5,5,5.25,5.25,5.5,5.5,5.75,6,6,6,6,6,6,6,6,6,6,6,6,5.75,5.75,5.5,5.25,5.25,5.25,5,4.75,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.75,3.75,3.75,3.75,3.75,3.5,3.5,3.5,3.5,3.75,3.75,3.75,4,4,4,4.25,4.5,4.5,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.75,4.75,4.75,5,5,5.25,5.25,5.25,5.25,5.5,5.5,5.75,5.75,5.75,5.75,5.75,5.5,5.5,5.25,5.25,5,5,5,5,5,5,4.5,3,2,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Money Market Rate,FIMM_PA,14.625,14.94,14.75,14.94,15.13,15.06,15.0,15.0,14.88,14.0,14.31,14.13,14.0,13.25,12.75,11.94,11.31,11.63,11.0,10.88,10.88,10.5,10.69,10.13,10.63,11.25,9.88,10.75,9.63,10.38,9.5,9.13,9.25,8.75,7.5,5.75,6.25,6.5,5.5,5.38,5.0,6.5,5.88,6.0,7.75,5.5,5.38,5.25,5.38,4.75,4.5,4.38,4.63,5.25,4.88,4.88,5.0,5.5,4.63,4.75,4.38,5.25,5.75,5.25,6.63,6.0,6.75,6.13,6.69,6.75,7.0,6.38,6.19,6.25,5.94,6.31,6.13,5.56,5.75,5.69,5.94,6.0,5.75,6.0,6.13,5.88,6.0,5.88,6.19,6.63,6.88,7.0,7.06,7.19,7.19,7.31,7.44,7.31,7.5,7.38,7.19,7.5,7.44,7.06,7.44,7.25,6.88,6.13,6.13,5.75,5.88,5.06,5.25,5.19,5.25,4.75,5.25,5.06,5.63,3.25,6.25,6,5.75,5.75,6.0625,5.5,5.6875,5.6875,5.9375,5.875,5.9375,4.75,5.875,5.6875,6.375,5.125,5.875,4.9375,5.5625,4.3125,5,3.875,3.25,5,3.625,3.75,3.3125,4.625,4.0625,3.3125,4.5,4,3.375,3.4375,3.9375,4.6875,3.875,3.625,4.125,3.75,4,3.25,3.5,3.375,3.5,3.125,3.625,3.3125,3.5625,3.625,3.625,3.75,4.3125,4.625,4.25,4.6875,4.6875,4.6563,4.9,4.75,4.7,4.95,4.8,4.75,4.75,4.85,4.65,4.7,4.4,4.42,4.6,4.8,4.6,4.48,4.7,4.42,4.6,4.6,4.65,4.91,4.965,4.91,5.1,5.32,5.31,5.32,5.32,5.27,5.57,6,5.78,6.15,5.8,5.82,5.95,5.8,5.5,5.29,5.45,5.05,5.05,5.2,5,5,6.5,4.1,2.5,1.5,1.25,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.48,0.48,0.49,0.49,0.49,0.5,0.5,0.51,0.5,0.5,0.5,0.52,0.5,0.55,0.5,0.5,0.6,0.5,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.49,0.45,0.45,0.45,0.43,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.35,0.4,0.4,0.35,0.4,0.4,0.35,0.4,0.4,0.4,0.45,0.45,0.4,0.4,0.18,0.13,0.18,0.1,0.1,0.19,0.19,0.1,0.18,0.18,0.1,0.18,0.19,0.19,0.19,0.31,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Treasury Bill Rate,FITB_PA,14.4986,14.4497,14.5806,14.5949,14.4991,14.3588,14.3218,14.3145,14.2611,13.3732,12.9204,12.958,12.9695,12.1498,11.5822,11.2503,10.8437,10.7163,10.523,10.2023,9.6626,9.8765,9.9885,10.1136,9.9515,9.7774,10.0984,9.8858,9.3905,9.4208,9.4279,9.6574,9.2868,7.4655,6.4932,6.3923,5.7909,5.3829,5.374,5.3232,5.2776,5.1746,5.1166,5.0767,5.183,5.0896,4.9002,4.8811,4.8846,4.7571,4.8459,4.8723,4.8129,4.8916,5.122,5.3392,5.3857,5.4434,5.6297,5.8695,5.9255,6.1575,6.0857,6.2998,6.197,6.3721,6.617,6.5843,6.5116,6.5709,6.3985,6.198,6.0813,5.9446,5.7931,5.7987,5.8203,5.5836,5.4909,5.5428,5.5359,5.6089,6.0545,6.0719,6.0147,5.8121,5.9177,6.0911,6.1462,6.367,6.6294,6.8282,6.8816,6.9366,7.0896,7.0697,6.8426,6.8778,6.9513,7.0027,7.01,7.2916,7.219,7.194,6.9448,6.5383,6.3118,5.7172,5.2781,5.0407,4.9192,4.9003,4.9302,4.7598,4.7596,4.8495,5.1223,5.2315,5.2018,5.4637,5.7218,5.8346,5.8582,5.9178,5.9501,5.8535,5.8333,5.8103,5.7798,5.7482,5.6833,5.6229,5.4852,5.4582,5.2286,5.1158,4.9765,4.991,5.0052,4.7198,4.4297,4.1567,3.7799,3.8296,3.8321,3.868,3.9672,3.9693,3.9525,3.9767,3.8408,3.7663,3.7861,3.7509,3.8033,3.8418,3.7993,3.4993,3.4721,3.4537,3.4366,3.4724,3.3119,3.3998,3.5239,3.6514,3.808,3.8298,3.8983,3.9788,4.1025,4.1862,4.34,4.5793,4.6424,4.7218,4.6937,4.679,4.6578,4.677,4.6568,4.6858,4.7691,4.7047,4.6618,4.6175,4.4609,4.4057,4.4037,4.402,4.4169,4.4287,4.3906,4.3839,4.3956,4.4196,4.5012,4.5414,4.534,4.7544,4.8359,4.9357,5.0095,5.0759,5.304,5.3393,5.3274,5.4329,5.5516,5.6702,5.7742,5.7943,5.6896,5.6058,5.4986,5.3034,5.1215,5.0178,4.8835,4.8258,4.9496,5.1138,5.0843,4.9539,4.7425,3.6788,1.9948,1.2875,0.8945,0.7177,0.6035,0.625,0.5271,0.5037,0.4397,0.3946,0.3761,0.4315,0.4459,0.3587,0.4874,0.4878,0.5109,0.5083,0.4976,0.4839,0.498,0.4945,0.4966,0.5061,0.4935,0.4913,0.5055,0.5363,0.5603,0.5676,0.5265,0.5174,0.4996,0.4531,0.4649,0.4608,0.4387,0.2996,0.3239,0.3912,0.4248,0.4236,0.3561,0.3422,0.2943,0.2398,0.2478,0.2368,0.2243,0.249,0.2677,0.3147,0.3391,0.3447,0.3065,0.3066,0.3124,0.2812,0.289,0.3141,0.2865,0.2555,0.3211,0.3624,0.3882,0.3688,0.284,0.3586,0.4271,0.3978,0.4351,0.3964,0.4114,0.4101,0.377,0.338,0.4295,0.4322,0.4511,0.467,0.4895,0.4643,0.4532,0.48,0.4806,0.4551,0.4823,0.4711,0.4505,0.4489,0.4362,0.4046,0.3689,0.2281,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Deposit Rate,FIDR_PA,12.31,12.31,12.51,12.51,12.95,12.95,12.95,12.95,12.95,12.16,11.99,11.99,12.6,11.95,10.98,10.73,10.3,10.2,9.78,9.78,9.26,9.26,9.26,9.26,9.24,8.73,8.53,8.53,8.09,8.04,8.04,7.69,6.99,5.84,4.9,4.92,4.38,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.95,3.68,3.63,3.63,3.51,3.63,3.55,3.55,3.55,3.55,3.55,3.65,3.87,3.92,3.92,3.92,4.26,4.26,4.26,4.26,4.2,4.22,4.16,4.16,3.87,3.87,3.87,3.5,3.38,3.25,3.13,3.07,3.02,2.94,2.86,2.86,2.83,2.83,2.87,2.95,2.99,2.99,2.97,2.97,3.24,3.96,4.12,4.31,4.31,4.31,4.46,4.44,4.44,4.44,4.44,4.42,4.44,4.61,4.61,4.61,4.49,4.43,4.43,2.65,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Lending Rate,FILR_PA,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.2174,14.0,14.0,14.0,13.65,12.875,12.1905,11.881,11.5,11.1957,11.0,10.5476,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.0263,10.0,10.0,10.0,9.7955,8.5114,7.4286,7.0,6.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.8636,5.5,5.5,5.3125,5.25,5.25,5.25,5.25,5.25,5.25,5.5909,5.75,5.75,6.15,6.25,6.7188,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.6053,6.3864,6.25,6.0595,6.0,6.0,5.7875,5.75,5.75,5.75,5.769,6.0,6.0,6.0,6.0,6.0,6.0,6.225,6.4494,6.6739,6.95,7.0,7.0,7.2125,7.25,7.25,7.25,7.25,7.25,7.25,7.4659,7.5,7.5,7.5,7.3068,6.8452,6.4167,6.0375,5.575,5.5,5.2875,5.25,5.0795,5,5,5.1875,5.25,5.4659,5.5,5.65,5.9167,6,6,6,6,6,6,6,6,6,6,6,5.8125,5.75,5.5395,5.3214,5.25,5.25,5.0114,4.8875,4.5326,4.1136,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.8,3.75,3.75,3.75,3.75,3.587,3.5,3.5,3.5,3.7125,3.75,3.75,3.9625,4,4,4.2105,4.4205,4.5,4.7143,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.5341,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.7273,4.75,4.75,4.9318,5,5.1705,5.25,5.25,5.25,5.4286,5.5,5.7159,5.75,5.75,5.75,5.75,5.5395,5.5,5.2976,5.25,5.0795,5,5,5,5,5,4.6087,3.225,2.1429,1.5952,1.075,0.5682,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Government Bonds,FIGB_PA,10.89,11.33,12.42,12.74,12.41,11.8,11.84,12.15,12.1,11.74,11.37,10.84,10.59,10.13,10.29,10.19,10.38,10.58,10.28,10.03,9.64,9.72,9.77,9.66,9.46,9.3,9.68,9.43,9.02,9.12,9.05,9.35,9.19,8.65,8.19,8.32,8.48,8.11,7.85,7.97,8.22,8.01,7.62,7.1,7.02,6.92,6.88,6.4253,6.3794,6.7572,7.417,7.8401,8.2825,8.7105,8.533,8.6524,8.8959,8.7797,8.6361,8.5814,8.7349,8.6557,8.5938,8.4378,8.1802,8.1097,8.2613,8.1169,7.9486,8.0967,7.7752,7.4926,7.4408,7.7618,8.057,8.0602,8.0871,8.054,7.9162,7.8219,7.8151,7.5413,7.5952,7.5716,7.5552,7.1962,7.4544,7.638,7.1681,7.1418,7.0577,7.0893,6.8216,6.5109,6.624,6.3739,6.0978,6.0461,5.992,5.8249,5.8648,5.7743,5.8319,5.5706,5.151,5.0114,4.9292,4.5175,4.2868,4.4319,4.6554,4.592,4.9068,5.1716,5.3721,5.4312,5.6909,5.8801,5.3145,5.389,5.8227,5.6347,5.3707,5.3213,5.4033,5.2097,5.2388,5.3312,5.3873,5.2179,5.0983,4.9118,4.8471,4.8248,4.703,4.9468,5.1153,5.1951,5.2037,4.9854,4.9876,4.8253,4.6271,4.8928,4.9171,4.9251,5.2202,5.2331,5.2689,5.099,5.0027,4.746,4.5006,4.616,4.6378,4.5644,4.3899,4.2131,4.3243,4.4663,4.2197,4.1127,4.4078,4.604,4.7132,4.9071,5.065,4.896,4.7875,4.8056,4.7088,4.957,5.1118,5.2,5.1083,5.0071,4.9109,4.7683,4.6903,4.5316,4.5419,4.5884,4.796,4.6218,4.4173,4.2847,4.3011,4.3249,4.2109,4.3482,4.3129,4.2186,4.0752,4.1543,4.3177,4.5177,4.6488,4.6645,4.656,4.6535,4.5522,4.6155,4.5452,4.6195,4.8694,4.896,4.8194,5.0439,5.1458,5.4321,5.4084,5.1499,4.9928,4.9576,4.7263,4.6937,4.4925,4.6234,4.445,4.6432,4.8683,5.2103,5.0494,4.7267,4.5701,4.5789,4.2571,3.6238,3.6699,3.6899,3.2497,3.4072,3.6206,3.7221,3.8238,3.7142,3.6566,3.5699,3.7592,3.8871,4.0025,4.0624,4.0915,4.1007,3.7772,3.6007,3.5087,3.233,3.1271,3.0685,3.311,3.6098,3.7273,3.8799,3.7386,3.7619,3.5053,3.4144,3.3137,2.7833,2.504,2.529,2.2917,2.1828,2.1104,2.2191,2.323,2.2117,1.9416,1.7698,1.6523,1.6735,1.7222,1.7721,1.7741,1.8467,2.0795,2.1781,1.9768,1.7824,1.9462,2.3063,2.471,2.7088,2.8443,2.6784,2.7598,2.9458,2.91,2.8147,2.7837,2.7417,2.6989,2.7842,2.7343,2.5347,2.4919,2.2469,2.1593,1.9287,1.589,1.7365,1.7941,1.755,2.0243,2.1696,2.1353,1.9799,1.8814,1.846,1.9779,1.9234,1.7833,1.5032,1.5434,1.5688,1.5366,1.3105,0.9569,0.7421,0.8243,1.078,1.3818,1.4336,1.4203,1.3058,1.194,1.0789,1.1175,1.0846,1.2713,1.1241,1.2436,1.3816,1.3299,1.2781,1.3931,1.6034,1.508,1.5108,1.5016,1.4229,1.3739,1.3991,1.5023,1.5462,1.4541,1.3125,1.3221,1.239,1.19,1.1906,1.13,0.919,0.8304,0.5776,0.5981,0.6373,0.765,0.8308,0.7235,0.633,0.4609,0.3577,0.2743,0.278,0.2094,0.2717,0.273,0.3058,0.3836,0.3224,0.3672,0.6222,0.8456,0.8515,0.9058,0.8549,0.6979,0.644,0.8023,1.083,0.9394,0.8375,1.2051,1.4891,1.5457,1.8362,1.9069,2.3824,2.1454,2.3278,3.5007,4.1096,3.4171,3.5015,3.5115
