TIME,Value
1974-01,97.603370758821
1974-02,97.6521788129932
1974-03,97.7403561850958
1974-04,97.897833456817
1974-05,98.0569251015008
1974-06,98.1516712616896
1974-07,98.2155651537055
1974-08,98.2868069074611
1974-09,98.3444096744435
1974-10,98.2369578739591
1974-11,97.8818234754155
1974-12,97.3726177988056
1975-01,96.8206878147229
1975-02,96.0938646731774
1975-03,95.3683936876785
1975-04,94.828481279723
1975-05,94.6213088165001
1975-06,94.8833069203183
1975-07,95.4336898332992
1975-08,96.0260954120883
1975-09,96.5686593626677
1975-10,97.0452477600954
1975-11,97.4865311964553
1975-12,98.0070344819581
1976-01,98.6206722578461
1976-02,99.2338838094192
1976-03,99.8024524379402
1976-04,100.231932007591
1976-05,100.32271641548
1976-06,99.8541981205204
1976-07,99.0076218340716
1976-08,98.0641456671032
1976-09,97.2241412195869
1976-10,96.7802125996717
1976-11,96.9299246741418
1976-12,97.4492745405387
1977-01,98.05661755122
1977-02,98.4069555454914
1977-03,98.5118700359836
1977-04,98.6460032636445
1977-05,98.9853246579834
1977-06,99.729816658674
1977-07,100.764153321216
1977-08,101.940484513302
1977-09,103.071375449333
1977-10,104.037570744656
1977-11,104.684379676589
1977-12,105.139576135422
1978-01,105.423408741748
1978-02,105.507042486158
1978-03,105.542364221446
1978-04,105.521529868934
1978-05,105.498461732445
1978-06,105.352863801555
1978-07,105.070108937342
1978-08,104.630017754018
1978-09,104.03279443387
1978-10,103.22547981206
1978-11,102.185536598243
1978-12,101.214525899847
1979-01,100.693955189571
1979-02,101.029012806719
1979-03,101.885043421157
1979-04,102.879766613217
1979-05,103.497703407062
1979-06,103.379548324939
1979-07,102.731508790397
1979-08,101.929822111882
1979-09,101.141518820216
1979-10,100.355652199324
1979-11,99.6579634793669
1979-12,98.9894722605772
1980-01,98.3305271346884
1980-02,97.5988397559297
1980-03,97.0516109176513
1980-04,96.9899417340247
1980-05,97.0219672319994
1980-06,96.8949826827221
1980-07,96.7202371528273
1980-08,96.8430990044495
1980-09,96.9905252280603
1980-10,97.1754757879046
1980-11,97.0358492998598
1980-12,96.933627717915
1981-01,97.0672266251568
1981-02,97.0600787171863
1981-03,96.8543110919343
1981-04,96.7178931576321
1981-05,96.9367661595345
1981-06,96.9239849171646
1981-07,96.7985781672618
1981-08,96.8846917076236
1981-09,97.0665379992146
1981-10,96.959101675069
1981-11,97.0103884950223
1981-12,97.0679473742697
1982-01,97.3548597604711
1982-02,97.6417236067098
1982-03,98.243836231614
1982-04,98.9638733253244
1982-05,99.7738715709123
1982-06,100.352010599933
1982-07,100.556709993163
1982-08,100.618947399368
1982-09,100.680740092811
1982-10,100.989726616313
1982-11,101.323735989281
1982-12,101.452258331997
1983-01,101.572892640443
1983-02,101.669186345062
1983-03,101.903639100832
1983-04,102.007770984125
1983-05,102.074945933992
1983-06,102.199420819606
1983-07,102.409170490393
1983-08,102.541412890423
1983-09,102.546497486148
1983-10,102.612481915639
1983-11,102.903228343592
1983-12,103.235599982577
1984-01,103.302352763615
1984-02,103.110220844979
1984-03,102.6563447819
1984-04,102.120403445199
1984-05,101.291213887308
1984-06,100.616310777501
1984-07,100.233402614935
1984-08,100.131636739923
1984-09,100.277688447243
1984-10,100.460707811878
1984-11,100.659906080231
1984-12,100.604717256218
1985-01,100.089237931455
1985-02,99.541054207789
1985-03,99.2783076806717
1985-04,99.0562848706919
1985-05,98.8694837541487
1985-06,98.7884079991343
1985-07,98.9152309377396
1985-08,99.1310065570241
1985-09,99.4568027540139
1985-10,99.7095161917846
1985-11,99.8438056305587
1985-12,99.9305156342737
1986-01,99.8169318923956
1986-02,99.6307550295128
1986-03,99.5341376782437
1986-04,99.5759965780758
1986-05,99.6602204020026
1986-06,99.8119937158085
1986-07,100.016527439363
1986-08,100.195695057447
1986-09,100.337363660242
1986-10,100.495999659731
1986-11,100.651000186903
1986-12,100.753512331677
1987-01,101.008024999477
1987-02,101.564401527052
1987-03,102.006547965404
1987-04,102.362632752732
1987-05,102.56021265637
1987-06,102.660831798774
1987-07,102.534032229243
1987-08,102.398782404682
1987-09,102.256865326119
1987-10,102.182219792819
1987-11,102.026265097106
1987-12,101.929138941404
1988-01,101.884968320648
1988-02,101.864677582912
1988-03,101.834477145234
1988-04,101.776154231357
1988-05,101.845682834038
1988-06,101.815180910687
1988-07,101.645429403854
1988-08,101.336600830086
1988-09,100.943919357209
1988-10,100.6039884239
1988-11,100.362470304185
1988-12,100.051742752071
1989-01,99.8405999803805
1989-02,99.6717954453621
1989-03,99.3190931888251
1989-04,99.0440285667597
1989-05,98.8699704989634
1989-06,98.6517308516946
1989-07,98.6348510793654
1989-08,98.6722475796797
1989-09,98.5492743250793
1989-10,98.1004177919878
1989-11,97.9743178385733
1989-12,98.0794356535761
1990-01,98.0697003786938
1990-02,97.5732560576225
1990-03,96.8442445341
1990-04,96.565838339963
1990-05,96.6017455393333
1990-06,96.839617831137
1990-07,97.0780976349541
1990-08,97.1741743731123
1990-09,97.2926608604718
1990-10,97.6817070416352
1990-11,98.0406754050589
1990-12,98.4408719531387
1991-01,98.3758940254772
1991-02,98.5957594794056
1991-03,99.1686960333822
1991-04,99.5437767672545
1991-05,99.6216254835754
1991-06,99.5334274032898
1991-07,99.5117166395604
1991-08,99.8501647534213
1991-09,100.385971514052
1991-10,100.700736788372
1991-11,100.560566167615
1991-12,100.24335331617
1992-01,100.165312493809
1992-02,100.530461879045
1992-03,101.049117722522
1992-04,101.368884014502
1992-05,101.275089979323
1992-06,100.653524737613
1992-07,99.6869589611759
