Time,Balance,Product,Value,Unit
September 2022,Used for pumped storage,Electricity,181.5711,GWh
September 2022,Distribution Losses,Electricity,1472.6478,GWh
September 2022,Final Consumption (Calculated),Electricity,22048.7858,GWh
August 2022,Net Electricity Production,Electricity,24945.3488,GWh
August 2022,Net Electricity Production,Nuclear,3246.1726,GWh
August 2022,Net Electricity Production,Total Combustible Fuels,15899.0787,GWh
August 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",330.3969,GWh
August 2022,Net Electricity Production,Oil and Petroleum Products,209.0785,GWh
August 2022,Net Electricity Production,Natural Gas,11898.7987,GWh
August 2022,Net Electricity Production,Combustible Renewables,3089.2253,GWh
August 2022,Net Electricity Production,Other Combustible Non-Renewables,371.5793,GWh
August 2022,Net Electricity Production,Hydro,391.0135,GWh
August 2022,Net Electricity Production,Wind,3666.1418,GWh
August 2022,Net Electricity Production,Solar,1742.4863,GWh
August 2022,Net Electricity Production,Other Renewables,0.4559,GWh
August 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",8889.3228,GWh
August 2022,Total Imports,Electricity,954.6942,GWh
August 2022,Total Exports,Electricity,1999.177,GWh
August 2022,Used for pumped storage,Electricity,192.3622,GWh
August 2022,Distribution Losses,Electricity,1633.7407,GWh
August 2022,Final Consumption (Calculated),Electricity,22074.763,GWh
July 2022,Net Electricity Production,Electricity,25398.2026,GWh
July 2022,Net Electricity Production,Nuclear,3436.9238,GWh
July 2022,Net Electricity Production,Total Combustible Fuels,15292.5186,GWh
July 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",515.0819,GWh
July 2022,Net Electricity Production,Oil and Petroleum Products,186.3432,GWh
July 2022,Net Electricity Production,Natural Gas,11175.5908,GWh
July 2022,Net Electricity Production,Combustible Renewables,3035.7435,GWh
July 2022,Net Electricity Production,Other Combustible Non-Renewables,379.7593,GWh
July 2022,Net Electricity Production,Hydro,465.6764,GWh
July 2022,Net Electricity Production,Wind,4418.732,GWh
July 2022,Net Electricity Production,Solar,1783.8959,GWh
July 2022,Net Electricity Production,Other Renewables,0.4559,GWh
July 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",9704.5037,GWh
July 2022,Total Imports,Electricity,1063.4825,GWh
July 2022,Total Exports,Electricity,2636.8175,GWh
July 2022,Used for pumped storage,Electricity,197.7901,GWh
July 2022,Distribution Losses,Electricity,1741.8422,GWh
July 2022,Final Consumption (Calculated),Electricity,21885.2353,GWh
June 2022,Net Electricity Production,Electricity,24690.7825,GWh
June 2022,Net Electricity Production,Nuclear,4034.9977,GWh
June 2022,Net Electricity Production,Total Combustible Fuels,13538.2691,GWh
June 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",163.1225,GWh
June 2022,Net Electricity Production,Oil and Petroleum Products,121.5673,GWh
June 2022,Net Electricity Production,Natural Gas,10189.117,GWh
June 2022,Net Electricity Production,Combustible Renewables,2687.6855,GWh
June 2022,Net Electricity Production,Other Combustible Non-Renewables,376.7767,GWh
June 2022,Net Electricity Production,Hydro,450.6509,GWh
June 2022,Net Electricity Production,Wind,4890.3677,GWh
June 2022,Net Electricity Production,Solar,1776.0412,GWh
June 2022,Net Electricity Production,Other Renewables,0.4559,GWh
June 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",9805.2012,GWh
June 2022,Total Imports,Electricity,650.9441,GWh
June 2022,Total Exports,Electricity,2535.2883,GWh
June 2022,Used for pumped storage,Electricity,171.5725,GWh
June 2022,Distribution Losses,Electricity,1648.4641,GWh
June 2022,Final Consumption (Calculated),Electricity,20986.4017,GWh
May 2022,Net Electricity Production,Electricity,26441.7432,GWh
May 2022,Net Electricity Production,Nuclear,3952.6325,GWh
May 2022,Net Electricity Production,Total Combustible Fuels,14296.2338,GWh
May 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",36.4778,GWh
May 2022,Net Electricity Production,Oil and Petroleum Products,144.4557,GWh
May 2022,Net Electricity Production,Natural Gas,11272.8905,GWh
May 2022,Net Electricity Production,Combustible Renewables,2464.3202,GWh
May 2022,Net Electricity Production,Other Combustible Non-Renewables,378.0896,GWh
May 2022,Net Electricity Production,Hydro,571.1859,GWh
May 2022,Net Electricity Production,Wind,5922.6031,GWh
May 2022,Net Electricity Production,Solar,1698.632,GWh
May 2022,Net Electricity Production,Other Renewables,0.4559,GWh
May 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10657.1972,GWh
May 2022,Total Imports,Electricity,487.6339,GWh
May 2022,Total Exports,Electricity,2443.2289,GWh
May 2022,Used for pumped storage,Electricity,231.9499,GWh
May 2022,Distribution Losses,Electricity,1701.2593,GWh
May 2022,Final Consumption (Calculated),Electricity,22552.939,GWh
April 2022,Net Electricity Production,Electricity,25573.3051,GWh
April 2022,Net Electricity Production,Nuclear,3808.5182,GWh
April 2022,Net Electricity Production,Total Combustible Fuels,14004.8388,GWh
April 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",329.4717,GWh
April 2022,Net Electricity Production,Oil and Petroleum Products,167.0378,GWh
April 2022,Net Electricity Production,Natural Gas,10315.5972,GWh
April 2022,Net Electricity Production,Combustible Renewables,2823.5248,GWh
April 2022,Net Electricity Production,Other Combustible Non-Renewables,369.2072,GWh
April 2022,Net Electricity Production,Hydro,481.1261,GWh
April 2022,Net Electricity Production,Wind,5639.1484,GWh
April 2022,Net Electricity Production,Solar,1639.2175,GWh
April 2022,Net Electricity Production,Other Renewables,0.4559,GWh
April 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10583.4729,GWh
April 2022,Total Imports,Electricity,1132.0272,GWh
April 2022,Total Exports,Electricity,1254.54,GWh
April 2022,Used for pumped storage,Electricity,197.6441,GWh
April 2022,Distribution Losses,Electricity,1944.1211,GWh
April 2022,Final Consumption (Calculated),Electricity,23309.0271,GWh
March 2022,Net Electricity Production,Electricity,26862.2606,GWh
March 2022,Net Electricity Production,Nuclear,4080.2336,GWh
March 2022,Net Electricity Production,Total Combustible Fuels,14849.5825,GWh
March 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",947.6093,GWh
March 2022,Net Electricity Production,Oil and Petroleum Products,192.0263,GWh
March 2022,Net Electricity Production,Natural Gas,10081.9036,GWh
March 2022,Net Electricity Production,Combustible Renewables,3259.5155,GWh
March 2022,Net Electricity Production,Other Combustible Non-Renewables,368.5277,GWh
March 2022,Net Electricity Production,Hydro,775.9527,GWh
March 2022,Net Electricity Production,Wind,6165.7691,GWh
March 2022,Net Electricity Production,Solar,990.2668,GWh
March 2022,Net Electricity Production,Other Renewables,0.4559,GWh
March 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",11191.96,GWh
March 2022,Total Imports,Electricity,2213.94,GWh
March 2022,Total Exports,Electricity,541.4025,GWh
March 2022,Used for pumped storage,Electricity,212.7177,GWh
March 2022,Distribution Losses,Electricity,2104.0405,GWh
March 2022,Final Consumption (Calculated),Electricity,26218.0399,GWh
February 2022,Net Electricity Production,Electricity,25538.7408,GWh
February 2022,Net Electricity Production,Nuclear,3309.3226,GWh
February 2022,Net Electricity Production,Total Combustible Fuels,10232.6506,GWh
February 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",929.8944,GWh
February 2022,Net Electricity Production,Oil and Petroleum Products,168.0014,GWh
February 2022,Net Electricity Production,Natural Gas,5739.6093,GWh
February 2022,Net Electricity Production,Combustible Renewables,3069.552,GWh
February 2022,Net Electricity Production,Other Combustible Non-Renewables,325.5936,GWh
February 2022,Net Electricity Production,Hydro,1017.9673,GWh
February 2022,Net Electricity Production,Wind,10369.6274,GWh
February 2022,Net Electricity Production,Solar,608.7169,GWh
February 2022,Net Electricity Production,Other Renewables,0.4559,GWh
February 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",15066.3196,GWh
February 2022,Total Imports,Electricity,2271.5498,GWh
February 2022,Total Exports,Electricity,419.4515,GWh
February 2022,Used for pumped storage,Electricity,236.9694,GWh
February 2022,Distribution Losses,Electricity,2474.2655,GWh
February 2022,Final Consumption (Calculated),Electricity,24679.6042,GWh
January 2022,Net Electricity Production,Electricity,30175.9076,GWh
