Time,Balance,Product,Value,Unit
August 2022,Net Electricity Production,Electricity,92433.1251,GWh
August 2022,Net Electricity Production,Nuclear,4888.4341,GWh
August 2022,Net Electricity Production,Total Combustible Fuels,67741.0628,GWh
August 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",29782.904,GWh
August 2022,Net Electricity Production,Oil and Petroleum Products,3758.8319,GWh
August 2022,Net Electricity Production,Natural Gas,28998.0564,GWh
August 2022,Net Electricity Production,Combustible Renewables,3407.9853,GWh
August 2022,Net Electricity Production,Other Combustible Non-Renewables,1793.2853,GWh
August 2022,Net Electricity Production,Hydro,8545.6303,GWh
August 2022,Net Electricity Production,Wind,536.7701,GWh
August 2022,Net Electricity Production,Solar,8985.7777,GWh
August 2022,Net Electricity Production,Geothermal,236.5159,GWh
August 2022,Net Electricity Production,Not Specified,1498.9342,GWh
August 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",21712.6793,GWh
August 2022,Used for pumped storage,Electricity,1254.3792,GWh
August 2022,Distribution Losses,Electricity,5769.094,GWh
August 2022,Final Consumption (Calculated),Electricity,85409.6518,GWh
July 2022,Net Electricity Production,Electricity,91154.825,GWh
July 2022,Net Electricity Production,Nuclear,3729.5768,GWh
July 2022,Net Electricity Production,Total Combustible Fuels,67792.9109,GWh
July 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",28505.6786,GWh
July 2022,Net Electricity Production,Oil and Petroleum Products,3431.6133,GWh
July 2022,Net Electricity Production,Natural Gas,31054.5179,GWh
July 2022,Net Electricity Production,Combustible Renewables,3098.9641,GWh
July 2022,Net Electricity Production,Other Combustible Non-Renewables,1702.137,GWh
July 2022,Net Electricity Production,Hydro,8390.2294,GWh
July 2022,Net Electricity Production,Wind,471.5928,GWh
July 2022,Net Electricity Production,Solar,9067.479,GWh
July 2022,Net Electricity Production,Geothermal,204.1019,GWh
July 2022,Net Electricity Production,Not Specified,1498.9342,GWh
July 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",21232.3673,GWh
July 2022,Used for pumped storage,Electricity,1188.465,GWh
July 2022,Distribution Losses,Electricity,5654.0922,GWh
July 2022,Final Consumption (Calculated),Electricity,84312.2678,GWh
June 2022,Net Electricity Production,Electricity,79015.7612,GWh
June 2022,Net Electricity Production,Nuclear,2591.8632,GWh
June 2022,Net Electricity Production,Total Combustible Fuels,56486.2799,GWh
June 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",21167.7337,GWh
June 2022,Net Electricity Production,Oil and Petroleum Products,2599.7238,GWh
June 2022,Net Electricity Production,Natural Gas,28367.0166,GWh
June 2022,Net Electricity Production,Combustible Renewables,2800.5794,GWh
June 2022,Net Electricity Production,Other Combustible Non-Renewables,1551.2263,GWh
June 2022,Net Electricity Production,Hydro,8122.7393,GWh
June 2022,Net Electricity Production,Wind,668.2958,GWh
June 2022,Net Electricity Production,Solar,9454.6915,GWh
June 2022,Net Electricity Production,Geothermal,192.9573,GWh
June 2022,Net Electricity Production,Not Specified,1498.9342,GWh
June 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",21239.2634,GWh
June 2022,Used for pumped storage,Electricity,1266.3549,GWh
June 2022,Distribution Losses,Electricity,4895.0289,GWh
June 2022,Final Consumption (Calculated),Electricity,72854.3774,GWh
May 2022,Net Electricity Production,Electricity,71919.7998,GWh
May 2022,Net Electricity Production,Nuclear,2845.5681,GWh
May 2022,Net Electricity Production,Total Combustible Fuels,47494.5605,GWh
May 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",17841.6083,GWh
May 2022,Net Electricity Production,Oil and Petroleum Products,1911.8758,GWh
May 2022,Net Electricity Production,Natural Gas,23439.0302,GWh
May 2022,Net Electricity Production,Combustible Renewables,2763.2985,GWh
May 2022,Net Electricity Production,Other Combustible Non-Renewables,1538.7476,GWh
May 2022,Net Electricity Production,Hydro,9394.164,GWh
May 2022,Net Electricity Production,Wind,620.7538,GWh
May 2022,Net Electricity Production,Solar,9836.5179,GWh
May 2022,Net Electricity Production,Geothermal,229.3014,GWh
May 2022,Net Electricity Production,Not Specified,1498.9342,GWh
May 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",22844.0356,GWh
May 2022,Used for pumped storage,Electricity,1462.8618,GWh
May 2022,Distribution Losses,Electricity,4473.6675,GWh
May 2022,Final Consumption (Calculated),Electricity,65983.2705,GWh
April 2022,Net Electricity Production,Electricity,74140.0696,GWh
April 2022,Net Electricity Production,Nuclear,3552.961,GWh
April 2022,Net Electricity Production,Total Combustible Fuels,50247.9409,GWh
April 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",19729.6848,GWh
April 2022,Net Electricity Production,Oil and Petroleum Products,3018.2954,GWh
April 2022,Net Electricity Production,Natural Gas,22977.0392,GWh
April 2022,Net Electricity Production,Combustible Renewables,2915.0759,GWh
April 2022,Net Electricity Production,Other Combustible Non-Renewables,1607.8457,GWh
April 2022,Net Electricity Production,Hydro,8628.9486,GWh
April 2022,Net Electricity Production,Wind,684.6303,GWh
April 2022,Net Electricity Production,Solar,9292.983,GWh
April 2022,Net Electricity Production,Geothermal,233.6716,GWh
April 2022,Net Electricity Production,Not Specified,1498.9342,GWh
April 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",21755.3094,GWh
April 2022,Used for pumped storage,Electricity,1403.4562,GWh
April 2022,Distribution Losses,Electricity,4548.4896,GWh
April 2022,Final Consumption (Calculated),Electricity,68188.1238,GWh
March 2022,Net Electricity Production,Electricity,84929.1904,GWh
March 2022,Net Electricity Production,Nuclear,3998.7727,GWh
March 2022,Net Electricity Production,Total Combustible Fuels,64197.2082,GWh
March 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",26123.6652,GWh
March 2022,Net Electricity Production,Oil and Petroleum Products,4613.0461,GWh
March 2022,Net Electricity Production,Natural Gas,28839.6674,GWh
March 2022,Net Electricity Production,Combustible Renewables,2958.0684,GWh
March 2022,Net Electricity Production,Other Combustible Non-Renewables,1662.761,GWh
March 2022,Net Electricity Production,Hydro,6248.7302,GWh
March 2022,Net Electricity Production,Wind,944.4562,GWh
March 2022,Net Electricity Production,Solar,7780.6333,GWh
March 2022,Net Electricity Production,Geothermal,260.4557,GWh
March 2022,Net Electricity Production,Not Specified,1498.9342,GWh
March 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",18192.3438,GWh
March 2022,Used for pumped storage,Electricity,1377.1277,GWh
March 2022,Distribution Losses,Electricity,5212.1332,GWh
March 2022,Final Consumption (Calculated),Electricity,78339.9295,GWh
February 2022,Net Electricity Production,Electricity,90925.1958,GWh
February 2022,Net Electricity Production,Nuclear,5188.096,GWh
February 2022,Net Electricity Production,Total Combustible Fuels,72825.5766,GWh
February 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",29138.2818,GWh
February 2022,Net Electricity Production,Oil and Petroleum Products,5581.2852,GWh
February 2022,Net Electricity Production,Natural Gas,33897.9465,GWh
February 2022,Net Electricity Production,Combustible Renewables,2699.1045,GWh
February 2022,Net Electricity Production,Other Combustible Non-Renewables,1508.9586,GWh
February 2022,Net Electricity Production,Hydro,4148.87,GWh
February 2022,Net Electricity Production,Wind,1118.2827,GWh
February 2022,Net Electricity Production,Solar,5901.184,GWh
February 2022,Net Electricity Production,Geothermal,244.2524,GWh
February 2022,Net Electricity Production,Not Specified,1498.9342,GWh
February 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",14111.6935,GWh
February 2022,Used for pumped storage,Electricity,1132.5085,GWh
February 2022,Distribution Losses,Electricity,5484.0457,GWh
February 2022,Final Consumption (Calculated),Electricity,84308.6416,GWh
January 2022,Net Electricity Production,Electricity,99724.3457,GWh
January 2022,Net Electricity Production,Nuclear,6477.7474,GWh
January 2022,Net Electricity Production,Total Combustible Fuels,79687.8184,GWh
January 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",31181.3141,GWh
January 2022,Net Electricity Production,Oil and Petroleum Products,5894.7796,GWh
January 2022,Net Electricity Production,Natural Gas,37988.85,GWh
January 2022,Net Electricity Production,Combustible Renewables,2934.3518,GWh
January 2022,Net Electricity Production,Other Combustible Non-Renewables,1688.5229,GWh
January 2022,Net Electricity Production,Hydro,5316.538,GWh
January 2022,Net Electricity Production,Wind,1149.7889,GWh
January 2022,Net Electricity Production,Solar,5321.2877,GWh
January 2022,Net Electricity Production,Geothermal,272.2312,GWh
January 2022,Net Electricity Production,Not Specified,1498.9342,GWh
January 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",14994.1975,GWh
January 2022,Used for pumped storage,Electricity,1633.7736,GWh
January 2022,Distribution Losses,Electricity,6029.2378,GWh
January 2022,Final Consumption (Calculated),Electricity,92061.3343,GWh
December 2021,Net Electricity Production,Electricity,92489.4757,GWh
December 2021,Net Electricity Production,Nuclear,6109.4565,GWh
December 2021,Net Electricity Production,Total Combustible Fuels,71859.1168,GWh
December 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",29578.5957,GWh
December 2021,Net Electricity Production,Oil and Petroleum Products,4977.2962,GWh
December 2021,Net Electricity Production,Natural Gas,32676.2187,GWh
December 2021,Net Electricity Production,Combustible Renewables,2927.914,GWh
December 2021,Net Electricity Production,Other Combustible Non-Renewables,1699.0922,GWh
December 2021,Net Electricity Production,Hydro,6372.7439,GWh
December 2021,Net Electricity Production,Wind,1132.1456,GWh
December 2021,Net Electricity Production,Solar,5249.6359,GWh
December 2021,Net Electricity Production,Geothermal,267.4428,GWh
December 2021,Net Electricity Production,Other Renewables,0.0,GWh
December 2021,Net Electricity Production,Not Specified,1498.9342,GWh
December 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",15949.8822,GWh
December 2021,Total Imports,Electricity,0.0,GWh
December 2021,Total Exports,Electricity,0.0,GWh
December 2021,Used for pumped storage,Electricity,1301.5227,GWh
December 2021,Distribution Losses,Electricity,5647.3525,GWh
December 2021,Final Consumption (Calculated),Electricity,85540.6005,GWh
November 2021,Net Electricity Production,Electricity,78421.2646,GWh
November 2021,Net Electricity Production,Nuclear,5248.5537,GWh
November 2021,Net Electricity Production,Total Combustible Fuels,59724.8436,GWh
November 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",25138.5744,GWh
November 2021,Net Electricity Production,Oil and Petroleum Products,3116.5391,GWh
November 2021,Net Electricity Production,Natural Gas,27964.9705,GWh
November 2021,Net Electricity Production,Combustible Renewables,2227.266,GWh
November 2021,Net Electricity Production,Other Combustible Non-Renewables,1277.4936,GWh
November 2021,Net Electricity Production,Hydro,4535.5555,GWh
November 2021,Net Electricity Production,Wind,883.7759,GWh
November 2021,Net Electricity Production,Solar,6303.9612,GWh
November 2021,Net Electricity Production,Geothermal,225.6407,GWh
November 2021,Net Electricity Production,Other Renewables,0.0,GWh
November 2021,Net Electricity Production,Not Specified,1498.9342,GWh
November 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",14176.1992,GWh
November 2021,Total Imports,Electricity,0.0,GWh
November 2021,Total Exports,Electricity,0.0,GWh
November 2021,Used for pumped storage,Electricity,1248.9955,GWh
November 2021,Distribution Losses,Electricity,4864.0903,GWh
November 2021,Final Consumption (Calculated),Electricity,72308.1788,GWh
October 2021,Net Electricity Production,Electricity,78353.7145,GWh
October 2021,Net Electricity Production,Nuclear,6172.6386,GWh
October 2021,Net Electricity Production,Total Combustible Fuels,57562.4753,GWh
October 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",25098.0842,GWh
October 2021,Net Electricity Production,Oil and Petroleum Products,2556.1077,GWh
October 2021,Net Electricity Production,Natural Gas,25734.2268,GWh
October 2021,Net Electricity Production,Combustible Renewables,2833.4682,GWh
October 2021,Net Electricity Production,Other Combustible Non-Renewables,1340.5884,GWh
October 2021,Net Electricity Production,Hydro,5226.9895,GWh
October 2021,Net Electricity Production,Wind,616.2262,GWh
October 2021,Net Electricity Production,Solar,7044.5524,GWh
October 2021,Net Electricity Production,Geothermal,231.8984,GWh
October 2021,Net Electricity Production,Other Renewables,0.0,GWh
October 2021,Net Electricity Production,Not Specified,1498.9342,GWh
October 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",15953.1347,GWh
October 2021,Total Imports,Electricity,0.0,GWh
October 2021,Total Exports,Electricity,0.0,GWh
