TIME,Value
1982-04,100.57067064252
1982-05,100.387127525028
1982-06,100.21685127747
1982-07,100.087525170841
1982-08,100.029131541124
1982-09,100.020884309553
1982-10,100.049622612333
1982-11,100.118058032207
1982-12,100.216036295679
1983-01,100.343298644953
1983-02,100.502700369014
1983-03,100.664145246165
1983-04,100.787577406338
1983-05,100.843930037566
1983-06,100.87408681218
1983-07,100.932529255576
1983-08,101.057179971609
1983-09,101.210960199192
1983-10,101.339532682627
1983-11,101.399915027655
1983-12,101.414300804387
1984-01,101.409677202275
1984-02,101.403439253377
1984-03,101.408013434476
1984-04,101.43709561597
1984-05,101.501076880778
1984-06,101.577961342846
1984-07,101.640581674154
1984-08,101.670911437194
1984-09,101.688641545484
1984-10,101.720850500522
1984-11,101.784274283499
1984-12,101.853097400261
1985-01,101.886725890146
1985-02,101.852161003771
1985-03,101.781567504969
1985-04,101.715641765339
1985-05,101.683008468506
1985-06,101.67494955793
1985-07,101.678037533746
1985-08,101.682194363331
1985-09,101.677603505495
1985-10,101.650553080891
1985-11,101.588026729857
1985-12,101.504754037012
1986-01,101.414540090483
1986-02,101.322341380194
1986-03,101.223282952582
1986-04,101.103660329071
1986-05,100.948801139134
1986-06,100.771490951986
1986-07,100.584438880159
1986-08,100.395194183018
1986-09,100.210804752226
1986-10,100.044668222514
1986-11,99.9185278188453
1986-12,99.8462152997644
1987-01,99.8685945692471
1987-02,100.034677401233
1987-03,100.288047378325
1987-04,100.57436743799
1987-05,100.861600273639
1987-06,101.12727865315
1987-07,101.344862961396
1987-08,101.491653198915
1987-09,101.604795051843
1987-10,101.725686446215
1987-11,101.878032489582
1987-12,102.038150868457
1988-01,102.165019391313
1988-02,102.222551193339
1988-03,102.235119799948
1988-04,102.230027324752
1988-05,102.224935862952
1988-06,102.232959966534
1988-07,102.267758106072
1988-08,102.335508567143
1988-09,102.400111310788
1988-10,102.406634304259
1988-11,102.307907571922
1988-12,102.149196993603
1989-01,101.984537450555
1989-02,101.853049820156
1989-03,101.761206932582
1989-04,101.723124409395
1989-05,101.76120675657
1989-06,101.85303309586
1989-07,101.984471609439
1989-08,102.149049995167
1989-09,102.307713744819
1989-10,102.406641344726
1989-11,102.400974109753
1989-12,102.338282169757
1990-01,102.273034912746
1990-02,102.238096130323
1990-03,102.218774482884
1990-04,102.187762282038
1990-05,102.12445713805
1990-06,102.045974160682
1990-07,101.979254311369
1990-08,101.94835058604
1990-09,101.949951072606
1990-10,101.984282676302
1990-11,102.053510633107
1990-12,102.127406906062
1991-01,102.165319020267
1991-02,102.133470584486
1991-03,102.058245968753
1991-04,101.966841948341
1991-05,101.871295524939
1991-06,101.768691155255
1991-07,101.645510382598
1991-08,101.489039412016
1991-09,101.319353091135
1991-10,101.163392294374
1991-11,101.042256660199
1991-12,100.944771801519
1992-01,100.857428148042
1992-02,100.770669010409
1992-03,100.675037441851
1992-04,100.556738584013
1992-05,100.402074440955
1992-06,100.224545945179
1992-07,100.03712351432
1992-08,99.8473819632933
1992-09,99.662529348788
1992-10,99.4967549339262
1992-11,99.37368821914
1992-12,99.3097797706669
1993-01,99.3461711435212
1993-02,99.5214065354166
1993-03,99.7438446220968
1993-04,99.8900135436207
1993-05,99.8557631958627
1993-06,99.6836866871695
1993-07,99.4149770997525
1993-08,99.0791104147511
1993-09,98.7801615132839
1993-10,98.6678836914546
1993-11,98.8718703890882
1993-12,99.2490458415644
1994-01,99.6356623467305
1994-02,99.9261087742354
1994-03,100.14227802491
1994-04,100.325514189627
1994-05,100.502836882259
1994-06,100.686098661324
1994-07,100.877055923719
1994-08,101.066500709287
1994-09,101.225697024787
1994-10,101.299329644693
1994-11,101.228701379319
1994-12,101.060494041286
1995-01,100.835003124523
1995-02,100.571951558676
1995-03,100.3135870395
1995-04,100.11414321653
1995-05,100.024613834073
1995-06,100.018606175999
1995-07,100.0818704482
1995-08,100.218307436661
1995-09,100.386704235259
1995-10,100.546690843669
1995-11,100.672736952395
1995-12,100.776558920726
1996-01,100.872270459828
1996-02,100.963757458958
1996-03,101.04016323818
1996-04,101.075598341048
1996-05,101.043931549939
1996-06,100.974551574998
1996-07,100.892837053427
1996-08,100.798339729884
1996-09,100.655302186234
1996-10,100.395958373275
1996-11,99.9723743598426
1996-12,99.524595353951
1997-01,99.2570489598646
1997-02,99.3391434276285
1997-03,99.6256332907942
1997-04,99.9393120686505
1997-05,100.14930957579
1997-06,100.222200314246
1997-07,100.103202758172
1997-08,99.7344854099344
1997-09,99.2653611479996
1997-10,98.8738238188129
1997-11,98.688491742371
1997-12,98.632964285048
1998-01,98.6111539360367
1998-02,98.5628137646723
1998-03,98.485347769443
1998-04,98.3909542575401
1998-05,98.2928950455361
1998-06,98.2086921794726
1998-07,98.16699035505
1998-08,98.2005629891398
1998-09,98.2968172523922
1998-10,98.4554182269613
1998-11,98.6832314378037
1998-12,98.9269186699239
1999-01,99.118715135713
1999-02,99.2063326210086
1999-03,99.2347533974865
1999-04,99.258612737365
1999-05,99.3137781369275
1999-06,99.3934899766431
1999-07,99.4843929134199
1999-08,99.5780208354395
1999-09,99.6710907171959
1999-10,99.7630714892896
1999-11,99.8543109512233
1999-12,99.9452517911221
2000-01,100.036388915615
2000-02,100.128525404488
2000-03,100.222832178002
2000-04,100.319908299843
2000-05,100.416670998148
2000-06,100.500476335489
2000-07,100.543553302378
2000-08,100.510395274474
2000-09,100.405879837515
2000-10,100.217230023404
2000-11,99.9273329526171
2000-12,99.6121928565
2001-01,99.3660409780595
2001-02,99.251688495349
2001-03,99.1818912299137
