Indicator,Indicator_Code,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02
"Employment, Persons, Number of",LE_PE_NUM,60360,60510,61520,62570,63400,63370,63340,62870,63260,63260,62980,62500,61750,61710,62630,63750,64470,64780,64430,64250,64370,64220,64120,63770,62640,63110,63500,64410,65110,65200,64800,64740,64780,64960,64870,64220,62960,62860,63550,64720,65270,65370,65200,64940,64930,65010,64830,64320,63260,63020,63650,64960,65570,65520,65160,64900,64840,64800,64580,64100,63240,63150,63810,64750,65260,65590,65420,64940,65290,64960,64390,63990,63220,62980,63980,64960,65300,65900,65890,65420,65690,65450,64970,64550,64200,64180,64890,65740,66320,66790,66490,65900,65960,65970,65290,65080,64550,64110,64680,65320,65970,66080,65770,65460,65260,65260,64810,64430,63800,63340,63840,64690,65320,65190,64970,65110,65140,65000,64810,64270,62757.116,62572.765,62538.344,63842.152,64216.827,63994.791,63960.777,64015.704,63829.659,64525.43,64365.916,63605.918,63096.431,62753.06,62879.125,63433.561,64194.81,63844.917,63860.669,63898.239,63276.997,63339.036,63713.73,62965.6,62212.798,61806.778,62073.706,62382.471,63060.145,62835.211,63077.233,62896.033,63036.357,62759.442,62969.809,62372.008,61312.585,61339.652,61853.249,62320.271,62584.207,63375.391,63036.923,63141.21,62770.136,62685.111,62588.976,62395.291,61223.742,61297.157,62021.45,62819.613,63156.619,62906.439,63051.676,63157.664,62794.876,62909.01,62574.483,62631.86,61819.314,61438.83,61729.891,62471.114,63690.287,63776.637,63541.996,63332.546,63373.013,63231.614,62909.43,62564.168,62487.209,62089.479,62027.597,62839.92,63570.852,63358.513,63536.741,63732.542,63322.363,63612.491,63262.71,62910.936,62352.721,62618.687,62940.31,63953.754,64221.197,64379.184,63789.935,63940.339,63609.898,63717.842,63665.312,62962.887,62227.749,62294.871,62562.576,63780.142,64273.608,64087.153,63638.578,63201.981,63165.898,63512.279,63382.939,62665.458,62589.256,62341.642,61914.785,62753.338,62791.133,62226.128,61957.476,62472.003,62308.193,62008.597,61920.409,61917.002,61665.603,61203.852,61548.423,62213.202,62247.137,62052.103,61837.083,62184.258,62433.771,61985.222,62143.638,61707.252,61410.568,61535.742,58596.312,59276.296,59641.585,59863.736,59518.161,59184.14,62479.665,61839.287,62031.562,61667.182,61701.548,61833.44,61698.199,62360.052,62294.931,62474.149,61918.392,62285.936,62514.403,62884.964,62319.446,61835.353,61799.766,61769.475,61863.422,62355.259,62804.343,62745.273,62534.461,62612.786,63121.019,63147.421,63432.918,62540.571,62231.379,62070.494,62507.835,62645.853,63318.997,63300.666,63305.471,63158.35,63458.566,63628.801,63208.899,63146.323,62580.453,62550.06,62654.805,62987.269,63401.466,63680.402,63519.367,63306.712,63769.949,63794.323,62879.776,63287.313,63525.311,62625.898,63118.45,63556.474,64059.258,64501.965,64310.39,64562.723,64439.335,64476.018,64052.632,64263.063,64124.008,64027.9,63915.185,64543.673,65010.862,65411.913,65307.165,64991.847,65286.44,65304.678,64815.168,65042.333,65061.102,65228.163,65614.052,65929.771,66522.412,66625.073,66036.162,65850.583,66644.485,66966.78,66589.715,66491.161,66015.678,65986.527,66270.518,66607.603,66773.79,67174.539,66808.135,67168.339,67123.784,67484.236,66893.547,66926.171,66870,66910,67000,66280,66560,66700,66550,66760,66890,66940,67070,66660,66370,66460,66490,66570,66670,66920,67110,66930,66790,66590,66500,66590,66460,66580,66840,67270,67300,67590,67550,67510,67660,67550,...,...,...,...
"Unemployment, Persons, Number of",LU_PE_NUM,1410,1420,1410,1410,1360,1320,1260,1300,1380,1390,1260,1190,1330,1360,1540,1450,1360,1320,1330,1390,1410,1320,1310,1270,1410,1370,1510,1410,1420,1330,1340,1440,1470,1450,1460,1440,1520,1570,1680,1570,1690,1590,1590,1670,1720,1760,1760,1750,1840,1940,2080,1940,1910,1830,1880,2000,2010,1990,1850,1770,1960,1990,2190,2140,2080,2020,2020,2160,2190,2140,2180,2110,2300,2240,2290,2350,2400,2260,2210,2240,2240,2270,2120,2080,2220,2300,2340,2310,2440,2290,2240,2310,2360,2360,2280,2180,2380,2460,2770,2900,2930,2840,2700,2970,2950,2900,2910,2730,2980,3130,3390,3420,3340,3290,3190,3200,3170,3110,2950,2880,3057.849,3261.137,3469.391,3414.895,3302.32,3183.047,3021.416,3006.767,3151.089,3136.581,3054.707,3037.306,3112.615,3161.499,3374.238,3517.015,3455.313,3321.806,3286.997,3301.159,3500.899,3450.449,3450.988,3305.32,3408.714,3513.909,3765.642,3713.472,3784.966,3693.767,3517.804,3603.981,3625.643,3543.832,3298.266,3310.671,3527.339,3419.397,3728.375,3819.988,3747.101,3553.695,3322.311,3300.731,3439.545,3456.358,3282.331,2937.607,3167.725,3305.139,3298.756,3222.943,3159.946,3062.316,3198.853,3147.074,3067.17,3134.359,2851.736,2683.618,2948.31,3060.116,2999.597,3091.725,3071.789,2775.1,2884.238,2844.08,2830.436,2985.388,2948.009,2641.705,2965.427,2752.754,2863.439,2864.263,2733.086,2827.817,2710.277,2724.199,2766.612,2886.044,2617.021,2397.451,2648.099,2660.512,2827.728,2681.435,2574.564,2414.975,2360.169,2496.279,2714.285,2694.122,2446.184,2313.632,2499.03,2643.372,2724.351,2761.621,2680.753,2610.435,2517.166,2748.111,2659.104,2545.291,2573.515,2670.376,2796.684,2998.491,3331.672,3406.632,3482.16,3461.131,3546.962,3511.523,3544.601,3434.309,3266.567,3108.161,3238.928,3231.355,3460.362,3566.24,3486.759,3405.851,3267.08,3369.319,3394.595,3386.665,3146.637,3007.946,3019.626,2949.579,3031.836,3117.807,2898.521,2920.976,2884.944,2761.069,2758.545,2873.944,2710.396,2731.352,2873.381,2885.526,3007.513,3128.682,2912.148,2819.423,2854.771,2792.337,2757.661,2765.486,2605.711,2594.839,2736.91,2756.189,2771.366,2876.666,2709.852,2628.511,2496.95,2736.778,2599.411,2571.108,2439.036,2268.161,2390.971,2242.05,2460.128,2545.623,2406.865,2432.379,2441.645,2301.322,2337.892,2328.488,2176.551,2074.833,2333.292,2200.797,2302.819,2334.491,2249.583,2195.359,2162.159,2258.766,2307.207,2100.007,2064.893,2063.959,2161.75,2080.773,2168.89,2166.733,2161.782,2113.485,2045.432,2099.22,2003.774,1929.247,1964.062,1915.541,1976.5,1837.324,1843.224,1970.788,2081.134,1954.983,1845.599,1869.102,1903.627,1758.242,1798.902,1749.955,1642.956,1707.271,1698.542,1778.776,1542.729,1661.548,1718.714,1675.373,1629.214,1657.583,1716.24,1644.006,1629.628,1551.539,1744.601,1782.066,1624.851,1601.785,1534.489,1587.718,1729.607,1610.48,1495.341,1395.402,1590,1590,1760,1890,1980,1950,1970,2060,2100,2150,1950,1940,1970,1940,1880,2090,2110,2060,1910,1930,1920,1830,1820,1710,1850,1800,1800,1880,1910,1860,1760,1770,1870,1780,...,...,...,...
"Labor Markets, Unemployment Rate, Percent",LUR_PT,2.3,2.3,2.2,2.2,2.1,2,2,2,2.1,2.2,2,1.9,2.1,2.2,2.4,2.2,2.1,2,2,2.1,2.1,2,2,2,2.2,2.1,2.3,2.1,2.1,2,2,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.6,2.4,2.5,2.4,2.4,2.5,2.6,2.6,2.6,2.6,2.8,3,3.2,2.9,2.8,2.7,2.8,3,3,3,2.8,2.7,3,3.1,3.3,3.2,3.1,3,3,3.2,3.2,3.2,3.3,3.2,3.5,3.4,3.5,3.5,3.5,3.3,3.2,3.3,3.3,3.4,3.2,3.1,3.3,3.5,3.5,3.4,3.5,3.3,3.3,3.4,3.5,3.5,3.4,3.2,3.6,3.7,4.1,4.3,4.3,4.1,3.9,4.3,4.3,4.3,4.3,4.1,4.5,4.7,5,5,4.9,4.8,4.7,4.7,4.6,4.6,4.4,4.3,4.65,4.95,5.26,5.08,4.89,4.74,4.51,4.49,4.7,4.64,4.53,4.56,4.7,4.8,5.09,5.25,5.11,4.95,4.9,4.91,5.24,5.17,5.14,4.99,5.19,5.38,5.72,5.62,5.66,5.55,5.28,5.42,5.44,5.34,4.98,5.04,5.44,5.28,5.69,5.78,5.65,5.31,5.01,4.97,5.19,5.23,4.98,4.5,4.92,5.12,5.05,4.88,4.76,4.64,4.83,4.75,4.66,4.75,4.36,4.11,4.55,4.74,4.63,4.72,4.6,4.17,4.34,4.3,4.28,4.51,4.48,4.05,4.53,4.25,4.41,4.36,4.12,4.27,4.09,4.1,4.19,4.34,3.97,3.67,4.07,4.08,4.3,4.02,3.85,3.62,3.57,3.76,4.09,4.06,3.7,3.54,3.86,4.07,4.17,4.15,4,3.91,3.8,4.17,4.04,3.85,3.9,4.09,4.28,4.59,5.11,5.15,5.25,5.27,5.41,5.32,5.38,5.25,5.01,4.78,4.99,5.01,5.32,5.42,5.3,5.2,5.02,5.14,5.16,5.18,4.82,4.65,4.69,4.57,4.92,5,4.63,4.65,4.62,4.46,4.23,4.44,4.19,4.24,4.45,4.46,4.65,4.78,4.47,4.32,4.41,4.29,4.22,4.21,4.01,4.03,4.24,4.27,4.29,4.41,4.14,4.02,3.84,4.19,3.96,3.91,3.7,3.5,3.7,3.49,3.79,3.9,3.66,3.7,3.71,3.52,3.55,3.53,3.33,3.18,3.59,3.4,3.55,3.57,3.43,3.33,3.29,3.45,3.49,3.19,3.18,3.16,3.29,3.22,3.32,3.3,3.26,3.17,3.08,3.15,3.02,2.91,2.98,2.89,2.99,2.79,2.8,2.96,3.1,2.9,2.75,2.8,2.83,2.62,2.7,2.62,2.46,2.55,2.52,2.63,2.27,2.43,2.54,2.48,2.39,2.42,2.51,2.41,2.41,2.3,2.57,2.61,2.38,2.33,2.25,2.31,2.51,2.33,2.19,2.04,2.3,2.3,2.6,2.8,2.9,2.8,2.9,3,3,3.1,2.8,2.8,2.9,2.8,2.7,3,3.1,3,2.8,2.8,2.8,2.7,2.7,2.5,2.7,2.6,2.6,2.7,2.8,2.7,2.5,2.6,2.7,2.6,...,...,...,...
